representation,outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
R2,2,w32_lr1e-3_neg3p0,32,0.001,3.0,163968,0.022653765427947836,0.01944018536702163,0.10985151803946304,0.27463285519125685,0.32808449063879136,0.05345163544753451,0.5810809902307221,0.3041020199063232,0.33317313403032917,0.02907111412400598,0.5282530004435104
R2,2,w64_lr1e-4_neg1p0,64,0.0001,1.0,163968,0.02429819901568378,0.019975767102464455,0.08069798430921575,0.27463285519125685,0.30162989925530986,0.02699704406405301,0.5458911255096514,0.3041020199063232,0.32758373564760296,0.023481715741279774,0.5383872858035645
R2,2,w64_lr1e-4_neg1p5,64,0.0001,1.5,163968,0.024654425647360555,0.020139341987079833,0.08009367320470853,0.27463285519125685,0.30168458939649817,0.027051734205241318,0.544536499310807,0.3041020199063232,0.3333204115860027,0.02921839167967949,0.5388098706172892
R2,2,w64_lr1e-4_neg2p0,64,0.0001,2.0,163968,0.025651525381997345,0.02062522597378601,0.05607725362247066,0.27463285519125685,0.29415391605037244,0.01952106085911559,0.5354353971757503,0.3041020199063232,0.3176200421296055,0.0135180222232823,0.5208460580351322
R2,2,w64_lr1e-4_neg3p0,64,0.0001,3.0,163968,0.02486343321814422,0.020244583168717207,0.06433040418930579,0.27463285519125685,0.2972258475015897,0.02259299231033285,0.5401529929529063,0.3041020199063232,0.3183922074871172,0.014290187580794034,0.522664647385095
R2,2,w64_lr3e-4_neg1p0,64,0.0003,1.0,163968,0.022334151015661163,0.019349011647465757,0.16840913716360936,0.27463285519125685,0.3570637380152253,0.08243088282396843,0.5987756564889292,0.3041020199063232,0.37219794727600364,0.06809592736968045,0.5765138158586076
R2,2,w64_lr3e-4_neg1p5,64,0.0003,1.5,163968,0.023178418019609365,0.01957399440193611,0.11431122819675163,0.27463285519125685,0.3154351319309335,0.040802276739676624,0.5607449325793521,0.3041020199063232,0.35003544648260454,0.045933426576281355,0.5556037283008166
R2,2,w64_lr3e-4_neg2p0,64,0.0003,2.0,163968,0.022971815334081002,0.019523167774536856,0.1217929645076759,0.27463285519125685,0.314092567765124,0.039459712573867156,0.5614820537629388,0.3041020199063232,0.3558834477397222,0.05178142783339901,0.5606487568848685
R2,2,w64_lr3e-4_neg3p0,64,0.0003,3.0,163968,0.02373125317333486,0.01977240033914608,0.08413388308311207,0.27463285519125685,0.3157860777490749,0.04115322255781806,0.5668736448200844,0.3041020199063232,0.3198179037143835,0.015715883808060327,0.5153856832608952
R2,2,w64_lr1e-3_neg1p0,64,0.001,1.0,163968,0.022174369520583753,0.01931904577906521,0.18279105973426785,0.27463285519125685,0.3625660448829902,0.08793318969173336,0.5982132157281379,0.3041020199063232,0.3825271452163587,0.07842512531003554,0.5907815732006798
