pair,label,split,population,total_n,n,fraction,active_n,action_rate,mean_abs_movement,harm_n,benefit_n,harm_rate,benefit_rate,utility,contribution,mean_loss,conditional_loss
db15k_mhyper_native,D-N,dev_oof,all,47532,47532,1.0,4807,0.10113186905663553,0.008514264074728604,783,1929,0.01647311285029033,0.04058318606412522,-8.819212839298039e-06,-8.819212839298039e-06,0.0005116635707827677,0.031060527262383796
db15k_mhyper_native,D-N,dev_oof,ties,47532,10527,0.22147185054279223,825,0.07836990595611286,0.0065973211741236805,13,23,0.0012349197302175359,0.002184857984231025,0.00020159882345727054,4.4648464498331376e-05,0.00011207352330179347,0.09075369075369076
db15k_mhyper_native,D-N,dev_oof,non_ties,47532,37005,0.7785281494572078,3982,0.10760708012430753,0.00905958654235914,770,1906,0.020807998919064992,0.051506553168490746,-6.867789864105395e-05,-5.346767733762942e-05,0.0006253369778853813,0.03005272060603706
db15k_mhyper_native,D-N,test,all,59412,59412,1.0,4678,0.07873830202652662,0.007954621961893218,846,2019,0.014239547566148253,0.033983033730559484,-8.12232546308676e-05,-8.12232546308676e-05,0.0006174638032597515,0.04336259985729121
db15k_mhyper_native,D-N,test,ties,59412,12832,0.21598330303642363,797,0.062110349127182045,0.006257793017456358,12,22,0.0009351620947630922,0.0017144638403990024,0.00018392601941549813,3.972494918770066e-05,8.472149214044476e-05,0.09059551559551561
db15k_mhyper_native,D-N,test,non_ties,59412,46580,0.7840166969635763,3881,0.08331902103907256,0.008422069557750106,834,1997,0.01790468012022327,0.04287247745813654,-0.00015426738268073804,-0.00012094820381856827,0.0007642252746269253,0.042682989558899494
db15k_mhyper_adamf,D-A,dev_oof,all,47532,47532,1.0,173,0.003639653286207187,0.000879407557014222,44,99,0.0009256921652781284,0.0020828073718757887,3.644332326432074e-05,3.644332326432074e-05,0.00012457054044366276,0.1345701574629131
db15k_mhyper_adamf,D-A,dev_oof,ties,47532,8607,0.181078010603383,15,0.001742767514813524,0.0004008365284071105,0,1,0.0,0.00011618450098756825,1.0327511198894958e-05,1.8700851823800577e-06,0.0,
db15k_mhyper_adamf,D-A,dev_oof,non_ties,47532,38925,0.818921989396617,158,0.0040590879897238275,0.0009852280025690432,44,98,0.001130378933847142,0.0025176621708413614,4.2217987219288474e-05,3.457323808194067e-05,0.00015211527112056976,0.1345701574629131
db15k_mhyper_adamf,D-A,test,all,59412,59412,1.0,267,0.0044940416077560085,0.0013869252002962366,56,174,0.0009425705244731704,0.002928701272470208,0.00021155358931433232,0.00021155358931433232,4.833164171053642e-05,0.05127641959475696
db15k_mhyper_adamf,D-A,test,ties,59412,10403,0.17509930653739986,27,0.0025954051715851197,0.0007882341632221476,1,2,9.612611746611554e-05,0.00019225223493223107,1.3350849648071606e-05,2.3377245150624274e-06,8.01050978884296e-06,0.08333333333333331
db15k_mhyper_adamf,D-A,test,non_ties,59412,49009,0.8249006934626002,240,0.004897059723724214,0.0015140076312514029,55,172,0.0011222428533534657,0.00350955946866902,0.00025362551693473086,0.0002092158647992699,5.689049284770259e-05,0.050693566617691935
mkgw_native_adamf,W-NA,dev_oof,all,25656,25656,1.0,1029,0.04010757717492984,0.008134549423136886,254,419,0.009900218272528844,0.01633146242594325,0.00014695963382712314,0.00014695963382712314,0.0008729359777026915,0.08817340725960729
mkgw_native_adamf,W-NA,dev_oof,ties,25656,5134,0.2001091362644216,206,0.04012465913517725,0.007947019867549669,6,10,0.001168679392286716,0.0019477989871445266,-7.73216384291893e-05,-1.547276628061498e-05,0.0003376184911050513,0.2888888888888889
mkgw_native_adamf,W-NA,dev_oof,non_ties,25656,20522,0.7998908637355784,823,0.040103303771562224,0.008181463794951757,248,409,0.012084592145015106,0.019929831400448298,0.00020306820276601352,0.00016243240010773813,0.0010068566470425356,0.08331738754276984
mkgw_native_adamf,W-NA,test,all,25644,25644,1.0,926,0.03610981126189362,0.008056465450007797,235,402,0.009163936983309936,0.0156761815629387,0.00013891958603661343,0.00013891958603661343,0.0008503619318319136,0.09279438885062805
mkgw_native_adamf,W-NA,test,ties,25644,5208,0.20308844174075807,165,0.03168202764976959,0.006691628264208908,4,9,0.0007680491551459293,0.0017281105990783411,3.6367580236774676e-05,7.385835200168558e-06,0.00019201228878648233,0.25000000000000006
mkgw_native_adamf,W-NA,test,non_ties,25644,20436,0.796911558259242,761,0.03723820708553533,0.008404286553141514,231,393,0.011303581914268937,0.019230769230769232,0.00016505438962858638,0.00013153375083644483,0.0010181386465011545,0.09007221376579044
db15k_native_adamf,D-NA,dev_oof,all,47532,47532,1.0,1829,0.038479340233947654,0.004010982075233527,238,902,0.005007153075822604,0.018976689388201632,3.0512798876784747e-05,3.0512798876784747e-05,0.0003926550927156182,0.07841883137377631
db15k_native_adamf,D-NA,dev_oof,ties,47532,9017,0.189703778507111,333,0.03693024287457026,0.003704114450482421,4,9,0.0004436065210158589,0.0009981146722856827,0.00018017114057925857,3.417914614582123e-05,2.930971656711925e-05,0.06607142857142857
db15k_native_adamf,D-NA,dev_oof,non_ties,47532,38515,0.810296221492889,1496,0.038842009606646764,0.004082824873425938,234,893,0.006075554978579774,0.02318577177722965,-4.524699945263962e-06,-3.66634726903647e-06,0.00047772026879587293,0.07862989808834636
db15k_native_adamf,D-NA,test,all,59412,59412,1.0,2416,0.040665185484413925,0.004704436814111627,351,1242,0.005907897394465764,0.020904867703494243,-1.487158520481653e-05,-1.487158520481653e-05,0.00044975842476749025,0.07612834054782375
db15k_native_adamf,D-NA,test,ties,59412,10881,0.1831448192284387,418,0.038415586802683574,0.0042229574487639,6,13,0.0005514199062586159,0.0011947431302270011,0.00011810438008695089,2.163020534111144e-05,5.0328007317254634e-05,0.09126984126984128
db15k_native_adamf,D-NA,test,non_ties,59412,48531,0.8168551807715613,1998,0.04116956172343451,0.004812387958212276,345,1229,0.007108858255548,0.025324019698749253,-4.4685755082620836e-05,-3.650179054592796e-05,0.0005393136033600603,0.0758650101004843
