pair,label,split,seed,direction,population,total_n,n,fraction,active_n,action_rate,mean_abs_movement,harm_n,benefit_n,harm_rate,benefit_rate,utility,contribution,mean_loss,conditional_loss
mkgw_mhyper_adamf,W-A,dev_oof,2,tail,ties,4276,1379,0.3224976613657624,43,0.03118201595358956,0.005511240029006526,1,0,0.0007251631617113851,0.0,-0.00012086052695189753,-3.897723729342065e-05,0.00012086052695189753,0.16666666666666669
mkgw_mhyper_adamf,W-A,dev_oof,3,head,ties,4276,354,0.08278765201122544,31,0.08757062146892655,0.011723163841807908,1,1,0.002824858757062147,0.002824858757062147,-0.00016749963783862083,-1.3866901729390032e-05,0.0002354048964218455,0.08333333333333331
mkgw_mhyper_adamf,W-A,dev_oof,3,tail,ties,4276,1365,0.3192235734331151,44,0.03223443223443224,0.005604395604395605,2,5,0.0014652014652014652,0.003663003663003663,0.0009758626601885645,0.0003115183655653392,0.00013133458511609773,0.08963585434173671
mkgw_mhyper_adamf,W-A,dev_oof,1,head,non_ties,4276,3949,0.9235266604303087,1118,0.283109648012155,0.0568118511015447,244,786,0.06178779437832363,0.19903773107115724,-0.0006131675233286846,-0.0005662765551040635,0.0019386686723168287,0.031376240110570316
mkgw_mhyper_adamf,W-A,dev_oof,1,tail,non_ties,4276,3019,0.7060336763330215,360,0.11924478304074197,0.020023186485591257,68,244,0.022524014574362372,0.08082146406094734,0.0021720299453300627,0.001533526287406796,0.0020348521773704046,0.09034145181590074
mkgw_mhyper_adamf,W-A,dev_oof,2,head,non_ties,4276,3866,0.9041159962581852,1473,0.3810139679255044,0.07807811691670978,300,1038,0.0775995861355406,0.26849456802897054,1.4268960121723589e-05,1.2900795096020437e-05,0.0017179696264674482,0.022138901919743853
mkgw_mhyper_adamf,W-A,dev_oof,2,tail,non_ties,4276,2897,0.6775023386342376,322,0.1111494649637556,0.018709009319986192,54,218,0.018639972385226095,0.07525025888850535,0.003438675502564981,0.002329710694792037,0.0020245093059600553,0.10861117517344965
mkgw_mhyper_adamf,W-A,dev_oof,3,head,non_ties,4276,3922,0.9172123479887746,1158,0.295257521672616,0.06088730239673636,230,838,0.05864354920958695,0.2136664966853646,0.0010075566539356103,0.0009241434042879942,0.001095034868465357,0.01867272501791796
mkgw_mhyper_adamf,W-A,dev_oof,3,tail,non_ties,4276,2911,0.680776426566885,336,0.11542425283407763,0.021315699072483683,61,221,0.02095499828237719,0.07591892820336654,0.0028859040905521716,0.001964655474180863,0.002349077792547072,0.112101073018107
mkgw_mhyper_adamf,W-A,test,1,head,all,4274,4274,1.0,1200,0.28076743097800655,0.056843706130088906,228,833,0.05334581188582124,0.19489939167056622,0.00041596373286390106,0.00041596373286390106,0.0019554198897394686,0.03665554652958986
mkgw_mhyper_adamf,W-A,test,1,tail,all,4274,4274,1.0,373,0.08727187646233037,0.014459522695367337,52,234,0.012166588675713618,0.05474964904071128,0.0008071121690007738,0.0008071121690007738,0.0016536168818549293,0.13591458755861474
mkgw_mhyper_adamf,W-A,test,2,head,all,4274,4274,1.0,1625,0.38020589611605055,0.07808844174075807,313,1127,0.07323350491343004,0.26368741226017783,0.0005613598981463231,0.0005613598981463231,0.0015240836398401963,0.02081128906286581
