pair,label,split,alignment,n,population_n,mass,utility,utility_contribution,harm_rate,benefit_rate,conditional_loss,loss_p95,mean_loss,mean_gain
db15k_mhyper_native,D-N,dev_oof,winner_aligned,1743,47532,0.03667003281999495,0.009591975617302748,0.00035173806069508306,0.01434308663224326,0.7796901893287436,0.01258419291721766,0.07666666666666655,0.00018049616920851494,0.009772471786511262
db15k_mhyper_native,D-N,dev_oof,winner_opposed,2239,47532,0.04710510813767567,-0.008602161295297405,-0.0004052057380327125,0.3327378293881197,0.2443054935238946,0.030638912810359856,0.16666666666666669,0.010194725343330992,0.0015925640480335885
db15k_mhyper_native,D-N,test,all,59412,59412,1.0,-8.12232546308676e-05,-8.12232546308676e-05,0.014239547566148253,0.033983033730559484,0.04336259985729121,0.5,0.0006174638032597515,0.000536240548628884
db15k_mhyper_native,D-N,test,unchanged,54734,59412,0.9212616979734733,0.0,0.0,0.0,0.0,,,0.0,0.0
db15k_mhyper_native,D-N,test,tied_endpoints,797,59412,0.013414798357234229,0.0029612781444663385,3.972494918770066e-05,0.015056461731493099,0.027603513174404015,0.09059551559551561,0.16666666666666669,0.0013640479136087667,0.0043253260580751055
db15k_mhyper_native,D-N,test,winner_aligned,1689,59412,0.02842860028277116,0.01384899899988066,0.0003937076568841048,0.012433392539964476,0.8211959739490823,0.013306468676757952,0.04999999999999999,0.00016544454837887326,0.014014443548259535
db15k_mhyper_native,D-N,test,winner_opposed,2192,59412,0.03689490338652124,-0.013949239961709495,-0.0005146558607026731,0.3708941605839416,0.2782846715328467,0.04344179268131644,0.5,0.016112307230798477,0.0021630672690889793
db15k_mhyper_adamf,D-A,dev_oof,all,47532,47532,1.0,3.644332326432074e-05,3.644332326432074e-05,0.0009256921652781284,0.0020828073718757887,0.1345701574629131,0.5,0.00012457054044366276,0.00016101386370798347
db15k_mhyper_adamf,D-A,dev_oof,unchanged,47359,47532,0.9963603467137928,0.0,0.0,0.0,0.0,,,0.0,0.0
db15k_mhyper_adamf,D-A,dev_oof,tied_endpoints,15,47532,0.0003155768745266347,0.005925925925925927,1.8700851823800577e-06,0.0,0.06666666666666667,,,0.0,0.005925925925925927
db15k_mhyper_adamf,D-A,dev_oof,winner_aligned,69,47532,0.0014516536228225195,0.10445608057868398,0.00015163404779788763,0.0,0.9710144927536232,,,0.0,0.10445608057868398
db15k_mhyper_adamf,D-A,dev_oof,winner_opposed,89,47532,0.0018724227888580324,-0.06251836412829652,-0.00011706080971594696,0.4943820224719101,0.34831460674157305,0.1345701574629131,0.5,0.06652906661087839,0.004010702482581881
db15k_mhyper_adamf,D-A,test,all,59412,59412,1.0,0.00021155358931433232,0.00021155358931433232,0.0009425705244731704,0.002928701272470208,0.05127641959475696,0.5,4.833164171053642e-05,0.00025988523102486873
db15k_mhyper_adamf,D-A,test,unchanged,59145,59412,0.995505958392244,0.0,0.0,0.0,0.0,,,0.0,0.0
