pair,learner,bin,lower,upper,n,mean_score,win_frequency
db15k_native_adamf,unweighted,7,0.7,0.8,2,0.7724326717646843,0.5
db15k_native_adamf,unweighted,8,0.8,0.9,2,0.8206417877373384,0.5
db15k_native_adamf,unweighted,9,0.9,1.0,3,0.9651715750190869,0.0
db15k_native_adamf,train_prior,0,0.0,0.1,0,,
db15k_native_adamf,train_prior,1,0.1,0.2,0,,
db15k_native_adamf,train_prior,2,0.2,0.3,0,,
db15k_native_adamf,train_prior,3,0.3,0.4,0,,
db15k_native_adamf,train_prior,4,0.4,0.5,0,,
db15k_native_adamf,train_prior,5,0.5,0.6,38515,0.513462311650327,0.5134622874204855
db15k_native_adamf,train_prior,6,0.6,0.7,0,,
db15k_native_adamf,train_prior,7,0.7,0.8,0,,
db15k_native_adamf,train_prior,8,0.8,0.9,0,,
db15k_native_adamf,train_prior,9,0.9,1.0,0,,
