dataset,pair_id,representation,delta_alpha,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_native,C3,-0.05,47532,0.008046860838941412,0.0054552542308927785,0.01802423409091815,0.2882689556509299,0.3052501229899569,0.016981167339026992,0.5380062236880091,0.14102078599680215,0.12226590753238435,-0.0187548784644178,0.4526564505450731,0.48652672267625896,-0.01347327732374104,0.39532368634961007,0.42928974164773204,-0.03396605529812197,-0.00034987847901422073,0.30338733431516934,0.11950347149168945,False,47532,47532
db15k,db15k_mhyper_native,C4,-0.3,47532,0.038835349375133554,0.034173273832697464,0.06930629363349941,0.36179836741563576,0.433710708971395,0.07191234155575926,0.5858188646275034,0.24208953967853236,0.22647557691345707,-0.01561396276507529,0.4670733953269974,0.531004483649892,0.031004483649891945,0.5605301174533758,0.6038879070941682,-0.0433577896407924,0.004178791198407874,0.4864296233957501,0.2268041237113402,False,47532,47532
db15k,db15k_mhyper_native,C4,-0.2,47532,0.025764389900461305,0.021867355983560665,0.06690167834777926,0.3490701001430615,0.4120671756001542,0.06299707545709271,0.5811633750098957,0.2092274678111588,0.1947895630919321,-0.014437904719226707,0.4659462813158005,0.5268492014663096,0.026849201466309647,0.5198196617719706,0.5582975679542204,-0.03847790618224978,0.0022755525448489985,0.4485588049652851,0.20071533768146435,False,47532,47532
db15k,db15k_mhyper_native,C4,-0.1,47532,0.013637840035758969,0.010626332435842975,0.04906439413518347,0.32201464276697805,0.3600132488815292,0.03799860611455114,0.5618550856472803,0.16900193553816376,0.15268352532705545,-0.016318410211108303,0.46527076921650445,0.5139854385775623,0.013985438577562292,0.45284462043335894,0.4910165783051418,-0.03817195787178285,-0.00017862687179605208,0.37386913528297916,0.15379760151483274,False,47532,47532
db15k,db15k_mhyper_native,C4,-0.05,47532,0.00795697372589111,0.00543460768399622,0.03875411068667075,0.2882689556509299,0.3116356058307587,0.023366650179828807,0.5475458357669671,0.14102078599680215,0.12708570085308019,-0.013935085143721965,0.4729109469558337,0.5117163839936163,0.011716383993616297,0.38808394031286775,0.42928974164773204,-0.04120580133486429,0.00016041691210411243,0.31769408794445614,0.11361245529139491,False,47532,47532
db15k,db15k_native_adamf,C0,-0.3,47532,0.05819087778308154,0.0525880155876936,0.09952054441264781,0.4239038963224775,0.5045853371215759,0.08068144079909845,0.5882635581729467,0.2642009593536986,0.2684216882632092,0.00422072890951064,0.4996232463925856,0.5512914888555497,0.05129148885554968,0.6583805927233323,0.6881048556761761,-0.029724262952843805,0.010938171616779855,0.5596465390279823,0.22448979591836735,True,47532,47532
db15k,db15k_native_adamf,C0,-0.2,47532,0.043685304024834545,0.03882638392053164,0.10195668473109652,0.41584616679289743,0.49688768084336854,0.08104151405047111,0.589406864900478,0.23369519481612389,0.23197984153501708,-0.0017153532811068073,0.49354536393515464,0.5486294798585292,0.04862947985852917,0.6170047163850662,0.6495413616090213,-0.03253664522395516,0.012007872131729772,0.5518619819061645,0.17820324005891017,False,47532,47532
db15k,db15k_native_adamf,C0,-0.1,47532,0.025034286629270864,0.021398909060376798,0.08435478368647228,0.39506016999074306,0.46106785857506316,0.0660076885843201,0.5747410606296063,0.19029285533956072,0.1836828470132885,-0.006610008326272232,0.48638050311633446,0.5355848095294701,0.035584809529470074,0.5660288373714852,0.5853530253303038,-0.019324187958818517,0.004950908384192454,0.5099936881969283,0.15421838838628235,False,47532,47532
db15k,db15k_native_adamf,C0,-0.05,47532,0.013948728035920146,0.011243203306306546,0.058069077809284164,0.36949844315408564,0.4115736213151235,0.04207517816103784,0.5559307230160722,0.1541908608937137,0.1440589577277836,-0.0101319031659301,0.47779422147840533,0.517530221029062,0.017530221029061988,0.5105945368236066,0.5236893040477993,-0.013094767224192783,0.0007249856672780892,0.4342520513359983,0.14601304439301493,False,47532,47532
db15k,db15k_native_adamf,C1,-0.3,47532,0.05760597701107475,0.05213592363222287,0.12509731036261135,0.4239038963224775,0.5151666692716708,0.09126277294919327,0.6047051436994878,0.2642009593536986,0.2698940509177523,0.005693091564053732,0.5024889715585412,0.5630745918223773,0.06307459182237729,0.6594486431942131,0.6881048556761761,-0.028656212481962928,0.015299926018119234,0.5750052598358931,0.22448979591836735,True,47532,47532
