dataset,pair_id,representation,direction,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_native_adamf,C3,tail,95064,0.04749521127367985,0.041978255097200524,0.09230983796289637,0.33575275603803756,0.4020773831155129,0.06632462707747533,0.5656451386915248,0.1538542455608853,0.1830860086716453,0.02923176311075998,0.527829688383898,0.5653835958626614,0.0653835958626614,0.5096495620219587,0.48960700159892284,0.020042560423035816,0.01034692225650786,0.46560067325899435,0.15274563433620872,True,95064,23766
db15k,db15k_native_adamf,C4,head,95064,0.025833498532422124,0.0212843851092329,0.05096647762508989,0.4664015820920643,0.5019161996181107,0.035514617526046455,0.553231824461394,0.2673356896406631,0.26409463523976945,-0.0032410544008936726,0.4969970695194259,0.5266402888443438,0.026640288844343774,0.687791615515927,0.7337372717327274,-0.04594565621680036,-0.004521230387883703,0.5071533768146433,0.24058489375131495,False,95064,23766
db15k,db15k_native_adamf,C4,tail,95064,0.047583818154110655,0.04195806437226218,0.0999222599971852,0.33575275603803756,0.40431033679831013,0.06855758076027257,0.5662892413194488,0.1538542455608853,0.18463758737352945,0.03078334181264414,0.5297948266265579,0.5674143556294565,0.06741435562945652,0.5151761704952513,0.48960700159892284,0.025569168896328487,0.0138257701378516,0.47054491899852724,0.14674942141805175,True,95064,23766
mkg_w,mkgw_mhyper_adamf,C0,head,51312,0.01679765495876967,0.013180153179890346,0.13985262901732984,0.5505339881509199,0.6384348698127288,0.08790088166180887,0.6147651942673,0.20088868101029,0.21440461347062828,0.013515932460338276,0.5253892871483014,0.5722625673762951,0.0722625673762951,0.6927233824665225,0.7514226691612098,-0.05869928669468727,6.674968044130475e-05,0.6961605924770999,0.1703371662443968,True,51312,12828
mkg_w,mkgw_mhyper_adamf,C0,tail,51312,0.029364823086118833,0.0246185844540561,0.13693742810008291,0.2916861552853134,0.3975704140688459,0.10588425878353253,0.6007908166986493,0.1213946055503586,0.14740049311908554,0.026005887568726946,0.5508103447889681,0.613113348751853,0.11311334875185297,0.4019639385868256,0.41308076083567197,-0.011116822248846359,0.009706787576595271,0.45566166439290584,0.10758136815435587,True,51312,12828
mkg_w,mkgw_mhyper_adamf,C1,head,51312,0.016929968050805478,0.013223776960656788,0.15560920933537092,0.5505339881509199,0.6434358105604228,0.09290182240950284,0.6156907219894736,0.20088868101029,0.2224284496111898,0.02153976860089979,0.5342542972231298,0.5795454117743571,0.07954541177435714,0.7047309363819266,0.7514226691612098,-0.04669173277928318,0.00015275099535333757,0.7016176183979731,0.16975248489573183,True,51312,12828
mkg_w,mkgw_mhyper_adamf,C1,tail,51312,0.029295134136825742,0.02461232761664081,0.12952873460394315,0.2916861552853134,0.3945699380992372,0.1028837828139238,0.5949149770252109,0.1213946055503586,0.14439127774378593,0.02299667219342734,0.541534020515707,0.5997669856292073,0.09976698562920727,0.41309883912107775,0.41308076083567197,1.8078285405787042e-05,0.016305443650832054,0.4595595400506724,0.12258818943675696,True,51312,12828
mkg_w,mkgw_mhyper_adamf,C2,head,51312,0.01737995325979623,0.013387516867977194,0.10888093816594949,0.5505339881509199,0.6141392838940631,0.06360529574314322,0.5881563752852164,0.20088868101029,0.21097405541474232,0.010085374404452313,0.5133546508064727,0.5499286786955402,0.049928678695540185,0.703411335501247,0.7514226691612098,-0.048011333659962796,-0.0005124891883998586,0.65191970376145,0.20444357824985382,False,51312,12828
mkg_w,mkgw_mhyper_adamf,C2,tail,51312,0.029600583248080924,0.024775321681935417,0.14153232552142667,0.2916861552853134,0.4103541256764707,0.11866797039115734,0.6031998143887387,0.1213946055503586,0.1436255781072399,0.022230972556881293,0.5400819655134792,0.6038682865454854,0.10386828654548541,0.41855967741265393,0.41308076083567197,0.0054789165769819625,0.01019414783255531,0.49308127070746444,0.12453712726564023,True,51312,12828
mkg_w,mkgw_mhyper_adamf,C3,head,51312,0.01701601487024508,0.013251045417868099,0.12705656717022074,0.5505339881509199,0.625881485367227,0.07534749721630707,0.6020668702668281,0.20088868101029,0.2132099105583179,0.01232122954802789,0.5230131312231404,0.5646834617914229,0.06468346179142292,0.6880719793735032,0.7514226691612098,-0.06335068978770664,0.002774664766827072,0.6643929058663028,0.17637887351393491,True,51312,12828
mkg_w,mkgw_mhyper_adamf,C3,tail,51312,0.029572137475008434,0.024817701938835465,0.10360570775643219,0.2916861552853134,0.37668321460588844,0.08499705932057505,0.5768511976405413,0.1213946055503586,0.1367035788638945,0.015308973313535909,0.5284908511461497,0.5783267577818737,0.0783267577818737,0.40765491843575963,0.41308076083567197,-0.0054258423999123395,0.01365199412195043,0.42857142857142855,0.1062171116741376,True,51312,12828
mkg_w,mkgw_mhyper_adamf,C4,head,51312,0.017214800727934212,0.013391031336341746,0.07685254621592211,0.5505339881509199,0.5833902656299063,0.03285627747898634,0.5633657532973257,0.20088868101029,0.21046738614034508,0.00957870513005507,0.5131874692501867,0.5389709091388127,0.03897090913881274,0.7120752170575918,0.7514226691612098,-0.03934745210361801,-0.003500717481052163,0.5661664392905866,0.1929448450594426,False,51312,12828
