dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_native,C1,3,63376,0.02367112330039443,0.020328571652352044,0.05857831693658148,0.3430320626104519,0.3985398223648656,0.055507759754413744,0.5717752943259155,0.19393776824034334,0.1882175407679583,-0.005720227472385042,0.46665091220777616,0.5192123266985357,0.019212326698535676,0.5403696427015348,0.5369698308507953,0.0033998118507394537,0.0013644515327463649,0.43625749447775325,0.24928999684443043,False,63376,15844
db15k,db15k_mhyper_native,C2,1,63376,0.02131904499709589,0.018085569938951437,0.05362307986913562,0.3203420853319869,0.3660807417315087,0.04573865639952179,0.5563297008046584,0.1976931330472103,0.19857057727713906,0.0008774442299287477,0.4936053687127183,0.5330266409257879,0.03302664092578789,0.5054515829833601,0.5180352183791972,-0.012583635395837067,0.0013729090343907496,0.3941306405806248,0.19170085200378667,True,63376,15844
db15k,db15k_mhyper_native,C2,2,63376,0.01828387736000648,0.015193213490897601,0.04664740914627628,0.32748990154001517,0.3689111875384087,0.04142128599839351,0.551393704324883,0.17937389548093916,0.175663012097679,-0.003710883383260144,0.48724646503932,0.5243674082248057,0.024367408224805653,0.4948100514791142,0.5068637970209543,-0.012053745541840077,0.00080486848223814,0.3999684443041969,0.1752918901861786,False,63376,15844
db15k,db15k_mhyper_native,C2,3,63376,0.0237919106751862,0.020366320568462166,0.06893806644632432,0.3430320626104519,0.3947663684259147,0.051734305815462844,0.5666100382356115,0.19393776824034334,0.20155300501433132,0.007615236773987982,0.4964406660711921,0.5404436099832063,0.040443609983206286,0.5235539558430251,0.5369698308507953,-0.013415875007770195,0.001071629278985093,0.4321552540233512,0.18097191543073524,True,63376,15844
db15k,db15k_mhyper_native,C3,1,63376,0.022059320865298764,0.018469039290205467,0.02424527685012714,0.3203420853319869,0.34841750119051185,0.028075415858524966,0.5424819879932808,0.1976931330472103,0.18562066446897665,-0.012072468578233658,0.46952802147943945,0.5045570977135823,0.004557097713582259,0.49380368748023873,0.5180352183791972,-0.024231530898958464,-0.001986516369979349,0.3714105396023982,0.19217418744083306,False,63376,15844
db15k,db15k_mhyper_native,C3,2,63376,0.01870676381584105,0.01536062225328715,0.035010875406984235,0.32748990154001517,0.3642166612757938,0.0367267597357786,0.5475574733815363,0.17937389548093916,0.16879561966440107,-0.010578275816538085,0.4702068728789194,0.5076163023213589,0.007616302321358903,0.4986429960043604,0.5068637970209543,-0.008220801016593893,0.0018619838539003098,0.3919217418744083,0.1866519406752919,False,63376,15844
db15k,db15k_mhyper_native,C3,3,63376,0.02462553322607701,0.02070589454785574,0.05001398156274516,0.3430320626104519,0.3951611191194324,0.05212905650898053,0.5744575888258542,0.19393776824034334,0.18115024937146826,-0.01278751886887508,0.44875410810216926,0.5065918215114207,0.006591821511420681,0.5112759833465648,0.5369698308507953,-0.025693847504230538,0.002162646265024815,0.42079520353423794,0.21315872514988957,False,63376,15844
db15k,db15k_mhyper_native,C4,1,63376,0.02175060704945365,0.018214460643343915,0.05208005627450937,0.3203420853319869,0.3646989682152023,0.04435688288321543,0.5638096449513813,0.1976931330472103,0.1903439397942819,-0.007349193252928404,0.4769970818369073,0.5247779323971146,0.024777932397114566,0.4891900754840894,0.5180352183791972,-0.02884514289510781,0.0005678238407640199,0.3933417481855475,0.17481855474913222,False,63376,15844
db15k,db15k_mhyper_native,C4,2,63376,0.018529848180288837,0.01529180545935564,0.03437302789082263,0.32748990154001517,0.36693322029234965,0.03944331875233448,0.5477547158932282,0.17937389548093916,0.1654468594611249,-0.013927036019814265,0.47164958960327763,0.510104756728367,0.01010475672836697,0.48827455511572193,0.5068637970209543,-0.018589241905232368,0.002412809677162215,0.3950773114547176,0.16456295361312717,False,63376,15844
db15k,db15k_mhyper_native,C4,3,63376,0.02436545954819121,0.02056991134937344,0.0805813565504537,0.3430320626104519,0.4046222759258379,0.061590213315386,0.5857697909635733,0.19393776824034334,0.18687570553179955,-0.007062062708543787,0.4782935727947379,0.53956668094028,0.03956668094028004,0.49921768903161123,0.5369698308507953,-0.03775214181918407,0.002055872498342196,0.43483748816661405,0.18807194698643104,False,63376,15844
