dataset,pair_id,representation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
mkg_w,mkgw_mhyper_native,C0,205248,0.02164887016720879,0.019185556136185004,0.2205860120892106,0.2762755300904272,0.38415666217946765,0.10788113208904043,0.6191166604836826,0.30351574680386656,0.41199716947179527,0.1084814226679287,0.6132515514353664,0.6582027408743331,0.15820274087433306,0.6457337725147599,0.5797912768942938,0.06594249562046617,0.006548052155703383,0.4687941534713764,0.22781973203410474,True,205248,25656
mkg_w,mkgw_mhyper_native,C1,205248,0.021810289927155002,0.019200421142103883,0.19630441709328633,0.2762755300904272,0.36153038731845766,0.08525485722803045,0.6037344282299384,0.30351574680386656,0.4032721593627517,0.09975641255888512,0.6001173828915214,0.6405737150324597,0.14057371503245975,0.6293088436607421,0.5797912768942938,0.04951756676644836,0.005657030922891128,0.4202679658952497,0.22567600487210718,True,205248,25656
mkg_w,mkgw_mhyper_native,C2,205248,0.021502430481044246,0.019168299195391307,0.24003641132106698,0.2762755300904272,0.4092399514886735,0.13296442139824627,0.6396716232169783,0.30351574680386656,0.4200500184515228,0.11653427164765623,0.6133689718549421,0.670538327887871,0.17053832788787104,0.6656614114936122,0.5797912768942938,0.08587013459931847,0.008711462092812407,0.5040194884287454,0.23356881851400732,True,205248,25656
mkg_w,mkgw_mhyper_native,C3,205248,0.02186500191869389,0.01922007296985509,0.17443342567247627,0.2762755300904272,0.35900707850216584,0.08273154841173863,0.5970902001834812,0.30351574680386656,0.3726599558294594,0.06914420902559282,0.5847795451036385,0.6273524819575949,0.12735248195759485,0.6066068131593959,0.5797912768942938,0.026815536265102136,0.004804145754088261,0.430353227771011,0.21432399512789282,True,205248,25656
mkg_w,mkgw_mhyper_native,C4,205248,0.02162668315101484,0.019187469184285978,0.21208890767240676,0.2762755300904272,0.37484060296192445,0.09856507287149724,0.6198535476502629,0.30351574680386656,0.39445275357370924,0.09093700676984268,0.6043295110977863,0.6551663374338047,0.1551663374338047,0.6201574705890269,0.5797912768942938,0.040366193694733155,0.005805068848573511,0.4356151035322777,0.21500609013398295,True,205248,25656
mkg_w,mkgw_native_adamf,C0,128280,0.03221160678999345,0.028992252413094784,0.04087048539309485,0.29045837231057064,0.3055642735265559,0.015105901215985262,0.5187060099748624,0.31273776114748986,0.3308152758650274,0.018077514717537546,0.5203198730755003,0.5271458818064809,0.02714588180648092,0.6119541364470331,0.6031961334580604,0.008758002988972668,-0.00280009064366067,0.3094792641097599,0.2964608668537574,False,128280,25656
mkg_w,mkgw_native_adamf,C1,128280,0.03224547209763743,0.028949375882400503,0.05410468083813824,0.29045837231057064,0.3143743019500613,0.02391592963949063,0.5349188725664512,0.31273776114748986,0.32533148468059336,0.012593723533103507,0.5169849587983953,0.5367352224116526,0.03673522241165261,0.5922927936252889,0.6031961334580604,-0.010903339832771586,-0.0003648987459303469,0.32483629560336763,0.272606797630184,False,128280,25656
mkg_w,mkgw_native_adamf,C2,128280,0.032249227059059325,0.029000166213165136,0.038583395735425026,0.29045837231057064,0.3093305269308424,0.018872154620271753,0.5234409419729615,0.31273776114748986,0.3245020115425484,0.011764250395058518,0.5121167873221852,0.5248676702974748,0.02486767029747483,0.6131181350932932,0.6031961334580604,0.009922001635232713,-0.002715374878553625,0.3193015279077019,0.295681322107889,False,128280,25656
mkg_w,mkgw_native_adamf,C3,128280,0.03279736947906671,0.029107263851030345,0.03153676232497459,0.29045837231057064,0.3136493463746289,0.023190974064058234,0.5281812019985108,0.31273776114748986,0.3151047572516553,0.002366996104165464,0.5015702345307586,0.5210594570627491,0.021059457062749143,0.6074189610300023,0.6031961334580604,0.004222827571941812,-0.0031399736801651285,0.3259276582475834,0.31633925787340195,False,128280,25656
mkg_w,mkgw_native_adamf,C4,128280,0.032482911440789665,0.029041169205828988,0.04380746759235809,0.29045837231057064,0.3107480535669492,0.020289681256378533,0.5329038591436965,0.31273776114748986,0.3167827346352729,0.0040449734877830434,0.5081414039015701,0.5292466190117575,0.029246619011757513,0.5853293598299156,0.6031961334580604,-0.017866773628144816,-0.0018076496584450415,0.31579357655129403,0.27580293108824444,False,128280,25656
