dataset,pair_id,representation,relation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_native,C1,80,1512,0.03338659730314478,0.028910333712567727,0.02901309354697463,0.3187830687830688,0.3541128937411826,0.03532982495811382,0.5045431656125368,0.1865079365079365,0.25694210119324273,0.07043416468530622,0.5602894539583694,0.5522497866454783,0.0522497866454783,0.5860413040821146,0.5052910052910053,0.08075029879110929,0.003937681019291299,0.40397350993377484,0.12582781456953643,True,1512,378
db15k,db15k_mhyper_native,C1,81,1992,0.029616229531266535,0.02599990091582987,0.06666774134577358,0.4538152610441767,0.4745236920667306,0.02070843102255393,0.5350494940786049,0.1536144578313253,0.1551356991397126,0.0015212413083872944,0.4806538273672458,0.5014713112383596,0.0014713112383596405,0.6171610803782087,0.607429718875502,0.009731361502706704,0.029678918233041512,0.4824120603015075,0.21608040201005024,True,1992,498
db15k,db15k_mhyper_native,C1,82,456,0.018696839584568428,0.015559650266664917,0.1039796220017167,0.16228070175438597,0.23511354728038764,0.07283284552600167,0.5738998160464129,0.12719298245614036,0.24034556195093695,0.1131525794947966,0.5321867960492116,0.5794501397949674,0.0794501397949674,0.39112898283281566,0.2894736842105263,0.10165529862228934,-0.03573616186009397,0.21739130434782608,0.21739130434782608,False,456,114
db15k,db15k_mhyper_native,C1,83,576,0.02091026477454139,0.017512769493524746,-0.04739673608958674,0.09722222222222222,0.15007641824414514,0.052854196021922914,0.5189217032967033,0.11631944444444445,0.13483952040091732,0.01852007595647287,0.41848224496378617,0.4554904051172708,-0.04450959488272921,0.27998162624491113,0.21354166666666666,0.06643995957824447,-0.004002868041943538,0.1724137931034483,0.3275862068965517,False,576,144
db15k,db15k_mhyper_native,C1,84,384,0.014313805162905013,0.010669876169777126,-0.035917860071130035,0.328125,0.45485856871563035,0.12673356871563035,0.5363910422049957,0.19010416666666666,0.15653967783746262,-0.03356448882920404,0.3946174514381359,0.4569471624266145,-0.043052837573385516,0.6188726691187768,0.5182291666666666,0.10064350245211018,0.015573786330673882,0.5526315789473685,0.15789473684210525,False,384,96
db15k,db15k_mhyper_native,C1,85,24,0.004156397422775566,0.0005257710548157965,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,False,24,6
db15k,db15k_mhyper_native,C1,87,5040,0.020248608286154556,0.016835034937952686,0.06819730468928342,0.37043650793650795,0.42093123390392817,0.05049472596742022,0.5436183984749471,0.19246031746031747,0.20342988832314118,0.010969570862823713,0.5123588490083335,0.5358809270067753,0.035880927006775254,0.6041905062680679,0.5628968253968254,0.04129368087124252,0.010045646289214822,0.49404761904761907,0.21626984126984128,True,5040,1260
db15k,db15k_mhyper_native,C1,88,96,0.015338383157552442,0.01055755754429869,-0.01724264325076229,0.46875,0.544570009069851,0.07582000906985098,0.550326797385621,0.13541666666666666,0.10935017914809422,-0.026066487518572434,0.37349397590361444,0.4341880341880342,-0.0658119658119658,0.641372470830937,0.6041666666666666,0.03720580416427033,0.004095026384437371,0.6,0.2,False,96,24
db15k,db15k_mhyper_native,C1,89,5136,0.01735275212286992,0.014236588749888528,0.02554106199186374,0.4686526479750779,0.49234354368663924,0.023690895711561355,0.5139739915170468,0.19840342679127726,0.210557058997847,0.012153632206569731,0.5131094342303139,0.5173178246470366,0.017317824647036573,0.7045611449639727,0.6670560747663551,0.03750507019761762,0.011940692929006977,0.5408560311284046,0.21206225680933852,True,5136,1284
db15k,db15k_mhyper_native,C1,90,4440,0.02279145607343617,0.02019587950517988,0.07812409700823778,0.11734234234234234,0.1752569164454827,0.057914574103140354,0.6025855140491302,0.07252252252252252,0.07951787877893038,0.006995356256407861,0.47891396354136817,0.5621892919731525,0.06218929197315248,0.2130296901791501,0.18986486486486487,0.023164825314285237,-0.0017430917700291156,0.18468468468468469,0.11036036036036036,False,4440,1110
db15k,db15k_mhyper_native,C1,91,4224,0.019818958871647235,0.017296492356243785,0.030335570318222024,0.09375,0.10010467682816142,0.006354676828161418,0.521912238898916,0.05776515151515151,0.06823690740746788,0.010471755892316366,0.5344354971579207,0.5512709057791025,0.05127090577910254,0.1572765527008828,0.15151515151515152,0.005761401185731291,-0.009754032165695432,0.0971563981042654,0.05924170616113744,False,4224,1056
db15k,db15k_mhyper_native,C1,92,672,0.04223252870569828,0.038397846001451914,0.007264274349343581,0.17113095238095238,0.1548625535839639,-0.016268398796988492,0.46972133322925613,0.11904761904761904,0.19709745899335157,0.07804983994573253,0.5417018581081081,0.5153260869565217,0.015326086956521712,0.3137545321663484,0.29017857142857145,0.023575960737776958,-0.012439040519808745,0.08955223880597014,0.1044776119402985,False,672,168
db15k,db15k_mhyper_native,C1,93,48,0.00435018668503647,0.0012147397313798972,-0.19626927136873454,0.22916666666666666,0.2232835164945599,-0.005883150172106749,0.47665847665847666,0.375,0.3360682517027702,-0.038931748297229785,0.37222222222222223,0.3888888888888889,-0.1111111111111111,0.5735923086248649,0.6041666666666666,-0.030574358041801752,-0.00225620211668342,0.0,0.6,False,48,12
db15k,db15k_mhyper_native,C1,94,24,0.0018340400698249424,0.0001482978182183343,0.7773913043478261,1.0,0.9999999999999999,-1.1102230246251565e-16,nan,0.0,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0013972872863872,1.0,0.0,False,24,6
db15k,db15k_mhyper_native,C1,95,2904,0.02615623442969349,0.02256957866594033,-0.06540222130400133,0.29855371900826444,0.29444657069314795,-0.004107148315116493,0.4606761645430357,0.162534435261708,0.1627357456631656,0.00020131040145759949,0.4751791090544157,0.4543575156882294,-0.04564248431177059,0.5262453175304654,0.46108815426997246,0.06515716326049298,-0.00618744291513999,0.31724137931034485,0.2206896551724138,False,2904,726
db15k,db15k_mhyper_native,C1,96,72,0.006122820655081607,0.0016798857203222113,0.05975997353664003,0.16666666666666666,0.1844873818945596,0.01782071522789294,0.4888888888888889,0.125,0.18437058584117408,0.05937058584117408,0.5873015873015873,0.5462962962962963,0.04629629629629628,0.30234785954958276,0.2916666666666667,0.01068119288291608,0.00046685340802987143,0.14285714285714285,0.0,True,72,18
db15k,db15k_mhyper_native,C1,97,936,0.02816100614894834,0.023896921584996404,-0.04987603165909796,0.3034188034188034,0.30548808515197373,0.002069281733170336,0.49821783461505226,0.13782051282051283,0.14350574395707502,0.005685231136562191,0.4470188179015014,0.4523692542854023,-0.04763074571459769,0.48049443775713957,0.4412393162393162,0.039255121517823344,-0.015367572413351143,0.2553191489361702,0.24468085106382978,False,936,234
db15k,db15k_mhyper_native,C1,98,504,0.020905721564838168,0.01711371252943514,-0.01724684903219035,0.1984126984126984,0.19038852604770068,-0.008024172364997723,0.42856435643564356,0.15476190476190477,0.18274254870904091,0.027980643947136147,0.5745455639821837,0.5014102564102564,0.001410256410256383,0.43383852581326215,0.3531746031746032,0.08066392263865896,-0.005994121598861719,0.22,0.12,False,504,126
db15k,db15k_mhyper_native,C1,99,600,0.042507988272732715,0.03823345112545043,0.030615611857645206,0.225,0.21306574907276182,-0.011934250927238182,0.45542015133412983,0.17166666666666666,0.24337242932718325,0.07170576266051659,0.6061807739641734,0.5512405609492989,0.05124056094929885,0.4922999591312867,0.39666666666666667,0.09563329246462005,-0.010864669255549712,0.18333333333333332,0.15,False,600,150
db15k,db15k_mhyper_native,C1,100,312,0.02227254148161356,0.018530559559987055,0.09866895773651983,0.5512820512820513,0.5842361490757382,0.032954097793686854,0.5229235880398672,0.1891025641025641,0.2529494878345896,0.0638469237320255,0.469752796945133,0.4829523058730784,-0.017047694126921586,0.8332295338104446,0.7403846153846154,0.0928449184258292,0.05207908350512938,0.5806451612903226,0.25806451612903225,True,312,78
db15k,db15k_mhyper_native,C1,101,48,0.1285379463608411,0.12313183521339931,0.6134939340392185,0.14583333333333334,0.6767399267399268,0.5309065934065934,0.7386759581881533,0.2916666666666667,0.7842185592185591,0.4925518925518924,0.8760504201680672,0.826530612244898,0.326530612244898,0.8820290807199256,0.4375,0.4445290807199256,0.4,0.8,0.0,True,48,12
db15k,db15k_mhyper_native,C1,102,2712,0.02209060316671935,0.019187870551798516,0.05888879878667001,0.2581120943952802,0.3026593077838159,0.04454721338853568,0.5619284294234592,0.09513274336283185,0.10380877777471881,0.008676034411886954,0.4787106006330433,0.5210243632336655,0.02102436323366552,0.388888300557872,0.3532448377581121,0.035643462799759884,-0.006975875559601222,0.36162361623616235,0.14022140221402213,False,2712,678
db15k,db15k_mhyper_native,C1,103,2112,0.022942775779086086,0.019866104749253995,0.060945492817242,0.31392045454545453,0.3647560980461815,0.050835643500726946,0.5625453451540408,0.14914772727272727,0.1810307298130754,0.03188300254034812,0.5014283064366537,0.5387584093466447,0.03875840934664465,0.5064342887676229,0.4630681818181818,0.04336610694944104,-0.014652591983817263,0.3981042654028436,0.2132701421800948,False,2112,528
db15k,db15k_mhyper_native,C1,104,3072,0.02127946704586996,0.018432392290058917,0.02530399365191567,0.21549479166666666,0.24205328394278688,0.026558492276120227,0.5517381003121435,0.15071614583333334,0.15595301162457426,0.005236865791240913,0.44771587303295535,0.49369343503879204,-0.006306564961207961,0.39337043055589477,0.3662109375,0.027159493055894768,-0.01149795184695802,0.2768729641693811,0.2182410423452769,False,3072,768
db15k,db15k_mhyper_native,C1,105,2304,0.024192746445511813,0.0211950735289635,0.08877288298235425,0.15364583333333334,0.18183029619133498,0.028184462858001635,0.5694538606403013,0.09375,0.13968557246579627,0.04593557246579627,0.5441533187881368,0.5928541535886168,0.09285415358861682,0.27012109317435307,0.24739583333333334,0.022725259841019724,-0.01176776593409011,0.16521739130434782,0.10434782608695652,False,2304,576
db15k,db15k_mhyper_native,C1,106,504,0.036388554899147836,0.03230850431594186,0.0717985285669909,0.2876984126984127,0.3609037192176677,0.073205306519255,0.5522428200941312,0.1865079365079365,0.2532333494894111,0.06672541298147461,0.5247535028541774,0.5548055759354366,0.05480557593543656,0.5602458108765556,0.4742063492063492,0.08603946167020637,0.008053152327788296,0.44,0.26,True,504,126
db15k,db15k_mhyper_native,C1,108,552,0.025306356964974595,0.02201628113689628,-0.06325282706966812,0.4057971014492754,0.4155174973835087,0.009720395934233295,0.5075675087108014,0.25,0.2286847849216621,-0.02131521507833789,0.4357627949310369,0.45710403726708076,-0.042895962732919235,0.6696053353339088,0.6557971014492754,0.01380823388463337,0.016897979166764915,0.4,0.34545454545454546,False,552,138
db15k,db15k_mhyper_native,C1,109,24,0.0032737159205266622,0.0005181710490287035,-0.3251795976493282,0.2916666666666667,0.2620414437184624,-0.0296252229482043,0.33613445378151263,0.20833333333333334,0.2231159420289855,0.01478260869565215,0.3473684210526316,0.3142857142857143,-0.18571428571428572,0.6497131504926127,0.5,0.1497131504926127,-0.0075757575757575,0.0,1.0,False,24,6
db15k,db15k_mhyper_native,C1,110,816,0.026054500779114278,0.022999832781536816,0.07748569577176348,0.056372549019607844,0.11096023429349418,0.054587685273886334,0.6208074534161491,0.07965686274509803,0.13483263452038097,0.055175771775282934,0.5208030318549626,0.6013377926421405,0.10133779264214049,0.19988363013360047,0.13602941176470587,0.0638542183688946,-0.02153569204389931,0.10975609756097561,0.14634146341463414,False,816,204
db15k,db15k_mhyper_native,C1,111,3360,0.02079819762832778,0.017869907806990874,0.08832659074611336,0.33690476190476193,0.40172725185199387,0.06482248994723194,0.5781905209000767,0.15803571428571428,0.16922883672980304,0.011193122444088766,0.5014482102570964,0.5515811223573097,0.05158112235730972,0.4967258495085003,0.4949404761904762,0.001785373318024086,-0.0026785989019108432,0.44345238095238093,0.17857142857142858,False,3360,840
db15k,db15k_mhyper_native,C1,112,216,0.015876097591976463,0.01341473098620733,-0.09714118861017308,0.4444444444444444,0.3658076594040191,-0.07863678504042532,0.38741319444444444,0.18518518518518517,0.2896837900799686,0.10449860489478341,0.5740056818181818,0.5052083333333334,0.00520833333333337,0.5681784732785063,0.6296296296296297,-0.061451156351123304,-0.015175414355243399,0.13636363636363635,0.13636363636363635,False,216,54
db15k,db15k_mhyper_native,C1,113,360,0.056765132278816445,0.052423785662213146,0.16133049309056152,0.225,0.34960134413572874,0.12460134413572874,0.5575910438514978,0.20277777777777778,0.3909998062198064,0.18822202844202862,0.6321416638823922,0.643497378657196,0.14349737865719603,0.561703467385338,0.42777777777777776,0.1339256896075603,-0.013615861168998272,0.4722222222222222,0.08333333333333333,False,360,90
db15k,db15k_mhyper_native,C1,114,216,0.026880877459261536,0.023830345400752108,0.09767469215858568,0.18055555555555555,0.3908798397107584,0.21032428415520285,0.6036505867014341,0.05555555555555555,0.061776895501915695,0.006221339946360142,0.5110294117647058,0.594017094017094,0.09401709401709402,0.40035791367676005,0.2361111111111111,0.16424680256564894,-0.02262296985892147,0.5,0.045454545454545456,False,216,54
db15k,db15k_mhyper_native,C1,115,96,0.011782686915695978,0.00774278878041449,-0.06315003382272727,0.3125,0.34894502180902787,0.03644502180902787,0.42828282828282827,0.15625,0.20134385707222469,0.045093857072224686,0.4748971193415638,0.44222222222222224,-0.05777777777777776,0.6188846862349059,0.46875,0.1501346862349059,-0.0013094087876696797,0.5,0.2,False,96,24
db15k,db15k_mhyper_native,C1,116,24,0.003913701696393887,0.0007562385287695947,-0.1408949742820762,0.3333333333333333,0.36111453905571556,0.02778120572238224,0.4609375,0.5833333333333334,0.6415835672386978,0.058250233905364435,0.5357142857142857,0.49107142857142855,-0.008928571428571452,0.905286938078272,0.9166666666666666,-0.011379728588394644,-0.0014741006120316499,0.5,0.5,False,24,6
db15k,db15k_mhyper_native,C1,117,1896,0.022917577930655405,0.019886054925544478,0.02809268007531373,0.1877637130801688,0.2179126251446093,0.03014891206444051,0.5161918138041733,0.09440928270042194,0.1451164658884713,0.05070718318804936,0.5449579134712682,0.5514719728830582,0.05147197288305816,0.3569297212006301,0.28217299578059074,0.07475672542003936,-0.012636193017278642,0.25263157894736843,0.1,False,1896,474
db15k,db15k_mhyper_native,C1,119,72,0.022546197288574207,0.018443313591365043,0.4508232428414101,0.125,0.5547656047656047,0.42976560476560466,0.8959435626102292,0.1111111111111111,0.2547808130771717,0.1436697019660606,0.6953125,0.9444444444444444,0.4444444444444444,0.3976644364088557,0.2361111111111111,0.16155332529774458,0.03061224489795917,0.5714285714285714,0.0,True,72,18
db15k,db15k_mhyper_native,C1,120,96,0.004706067243074192,0.001111289530877797,-0.05899982803313658,0.4166666666666667,0.44267357097707105,0.026006904310404366,0.46785714285714286,0.3645833333333333,0.2943465953944453,-0.07023673793888802,0.3583138173302108,0.4042857142857143,-0.0957142857142857,0.9113190595302979,0.78125,0.1300690595302979,-0.00026490143679100636,0.5,0.5,False,96,24
db15k,db15k_mhyper_native,C1,121,216,0.022624778664630432,0.01923752560341022,0.25125250677436867,0.4583333333333333,0.5408420655224593,0.08250873218912597,0.6149529482862817,0.25,0.363898116415347,0.11389811641534697,0.6822130772748056,0.7078189300411523,0.20781893004115226,0.6317123143978632,0.7083333333333334,-0.07662101893547013,0.04501536535049893,0.5,0.09090909090909091,True,216,54
db15k,db15k_mhyper_native,C1,122,624,0.020124877023785882,0.016700400480371434,-0.04209663340832112,0.20673076923076922,0.28569780625687063,0.07896703702610142,0.570981129120664,0.1891025641025641,0.1465821450737868,-0.04252041902877729,0.3940008039123736,0.4789121009065826,-0.021087899093417406,0.41407511022346966,0.3958333333333333,0.01824177689013634,-0.029401693159280325,0.3709677419354839,0.27419354838709675,False,624,156
db15k,db15k_mhyper_native,C1,123,24,0.03160911886435411,0.027039736105967615,0.0,0.08333333333333333,0.08204334365325078,-0.001289989680082551,0.25,0.041666666666666664,1.0,0.9583333333333334,1.0,1.0,0.5,0.5694444444444444,0.125,0.4444444444444444,0.0,0.0,0.0,False,24,6
db15k,db15k_mhyper_native,C1,125,48,0.008683682437210231,0.004737654698245909,-0.025942610967316555,0.3541666666666667,0.572798821455008,0.21863215478834136,0.5749525616698292,0.4166666666666667,0.3550992209360586,-0.06156744573060807,0.4,0.5029411764705882,0.002941176470588225,0.917363452921747,0.7708333333333334,0.14653011958841367,-1.5803432818813387e-05,0.8,0.2,False,48,12
db15k,db15k_mhyper_native,C1,129,48,0.028311701500344802,0.023715245173019605,0.22961959043357366,0.125,0.40527777777777774,0.28027777777777774,0.7777777777777778,0.10416666666666667,0.28740481740481744,0.18323815073815075,0.48372093023255813,0.7333333333333333,0.23333333333333328,0.39302392809992015,0.22916666666666666,0.1638572614332535,0.01142857142857142,0.2,0.0,True,48,12
db15k,db15k_mhyper_native,C1,130,24,0.0036030005654442477,0.0005357897154012098,0.26460370273716777,0.625,0.7337274670011242,0.10872746700112423,0.7333333333333333,0.08333333333333333,0.10101010101010101,0.01767676767676768,0.36363636363636365,0.4666666666666667,-0.033333333333333326,0.8380759017907354,0.7083333333333334,0.12974256845740206,0.00044563279857395,0.5,0.0,True,24,6
db15k,db15k_mhyper_native,C1,131,48,0.0057799310414749505,0.0013312855769535914,-0.5528658271819366,0.5,0.348731006759392,-0.151268993240608,0.1111111111111111,0.5,0.3393100674738156,-0.1606899325261844,0.1111111111111111,0.1111111111111111,-0.3888888888888889,1.0,1.0,0.0,-2.997731290589318e-05,0.2,0.8,False,48,12
db15k,db15k_mhyper_native,C1,132,336,0.026296998727405138,0.02303649278122116,-0.03221441370898782,0.4017857142857143,0.4344659619596062,0.03268024767389188,0.4548737792518887,0.17857142857142858,0.22503251281965442,0.04646108424822584,0.5542270531400966,0.5137037037037037,0.013703703703703662,0.6421631991917824,0.5803571428571429,0.061806056334639536,-0.0028291470843838005,0.5,0.058823529411764705,False,336,84
db15k,db15k_mhyper_native,C1,133,48,0.003591762475122976,0.0006171227193882426,0.4368215371254885,0.7916666666666666,0.9253088679284024,0.13364220126173576,0.7394736842105263,0.20833333333333334,0.4614333891914537,0.25310005585812034,0.7394736842105263,0.7394736842105263,0.23947368421052628,1.0,1.0,0.0,1.6353603059545068e-05,1.0,0.0,True,48,12
