pair,variant,base_seed,selector_seed,fit_triples,available_directional_rows,loss_rows_per_epoch,epochs,optimization_rows,model_sha256
mkgw_mhyper_adamf,R1_source,1,11,4276,8552,4276,1,4276,eda31faaad7ebb94e42bd7918e3c9db90a73a4e2f1bfbc7b82fae5dfc5ec8b52
mkgw_mhyper_adamf,R2_init,1,11,4276,8552,4276,1,4276,1fc62eff2a19b76ad2f9391a66024bdecd40247c77d2bfecf61ed2e7cd39acd4
mkgw_mhyper_adamf,R3_softplus_fixed,1,11,4276,8552,4276,1,4276,bd1ab295e2ab6d322e15c82b0e77c6a99e42496ab919abb99aba8bba7546ec55
mkgw_mhyper_adamf,R3_softplus,1,11,4276,8552,4276,10,42760,c317c0bb43517d4055d4d506db15a48386596b1d1b41cc264b8689104483dd73
mkgw_mhyper_adamf,R4_swap,1,11,4276,8552,4276,10,42760,526f0fd8edb798cb2de196863d3740b57cf48ac53e525906a2c78ccc4851a3fb
mkgw_mhyper_adamf,R1_source,1,23,4276,8552,4276,1,4276,115c342b4a1ec53600a6c8d311501c81c7361fa7c9eadb184a261c17b576efc4
mkgw_mhyper_adamf,R2_init,1,23,4276,8552,4276,1,4276,50e0358c412a0fb5bcfaf7ea8e667812a47888382511bc6b26cd4a95b6d82c07
mkgw_mhyper_adamf,R3_softplus_fixed,1,23,4276,8552,4276,1,4276,208cf1554654bbf6172ecdbfb283e6c33a492ea207fb0d59a27a6b8555e701f6
mkgw_mhyper_adamf,R3_softplus,1,23,4276,8552,4276,10,42760,4d0708bf860512fff6bd96dfeff394f70ac62750c72faaad3a9b64f2d4f74e0a
mkgw_mhyper_adamf,R4_swap,1,23,4276,8552,4276,10,42760,11933d55ab3b0b11ad0794ce74082a1668992e45d382718df9ab60733c632b48
mkgw_mhyper_adamf,R1_source,1,37,4276,8552,4276,1,4276,3edca7bf8735e7a6a44151aedad58f6ff76bebd3de6e4e363e4f526ec66bca4a
mkgw_mhyper_adamf,R2_init,1,37,4276,8552,4276,1,4276,34faa1466b92054556493c93eafa62eee851d57cfb8735e23fa40682805b0877
mkgw_mhyper_adamf,R3_softplus_fixed,1,37,4276,8552,4276,1,4276,25b801ed51071de8412ad011114f693e8a615a91ae22491d6dd40571701f6fd9
mkgw_mhyper_adamf,R3_softplus,1,37,4276,8552,4276,10,42760,b6f47e5afd6263b98244275534ce0430fffd1ecbcf9dc8d546d886efe2b5a6ac
mkgw_mhyper_adamf,R4_swap,1,37,4276,8552,4276,10,42760,0e0db639cbd661d92f2ac3a1dc9109d8746d76b49f79f02eb7d71d3e5cad7b73
mkgw_mhyper_adamf,R1_source,2,11,4276,8552,4276,1,4276,92d32c34cab61e99af971ea1c4e587dc71640524bcd0f184f26f7bc6ce43278b
mkgw_mhyper_adamf,R2_init,2,11,4276,8552,4276,1,4276,b9a277c304e8711dcdc50755b61584150959d03ec6b6a8ccf0e582c7130b1950
mkgw_mhyper_adamf,R3_softplus_fixed,2,11,4276,8552,4276,1,4276,2ffd996dd86858e11a45ccad5ab364e201304346b7e99b4dfe6ba9ed6adbc268
mkgw_mhyper_adamf,R3_softplus,2,11,4276,8552,4276,10,42760,37c29c736db4b291ec8596c0c89bf06cfc8284ec27bfa546d5edfbb37a8c2b5a
mkgw_mhyper_adamf,R4_swap,2,11,4276,8552,4276,10,42760,01ccde9177783ed8109a654f75b2d0832944473e6f7ded36c9bcabc0089b14a1
mkgw_mhyper_adamf,R1_source,2,23,4276,8552,4276,1,4276,83de869cf7318e17129a6e13a68217f63fc4ecb6e93c68e4c1deb90d4820a4b7
mkgw_mhyper_adamf,R2_init,2,23,4276,8552,4276,1,4276,b0c69a4c223dfd98deba7a8a9e9a2b88a4f52ffec69329f7bf3044f20dd0b5df
mkgw_mhyper_adamf,R3_softplus_fixed,2,23,4276,8552,4276,1,4276,c0353a6d72a2200146ed2793522f019a5c749659ffac02a6ab520df41e5d89a3
mkgw_mhyper_adamf,R3_softplus,2,23,4276,8552,4276,10,42760,0a7248d2dd2bb9e6810a409f60e4ecc381b411659a9ee6e2b9ddd492a9ef1cbe
mkgw_mhyper_adamf,R4_swap,2,23,4276,8552,4276,10,42760,aabe5869d1bb0db57cc1287076da1462c8668ecc2afc6269a33b8ea25edfebb7
mkgw_mhyper_adamf,R1_source,2,37,4276,8552,4276,1,4276,e76235d072b8d5b23f7de5e4b53eeab46c3069262ba169bb2a33c99ad20c2679
mkgw_mhyper_adamf,R2_init,2,37,4276,8552,4276,1,4276,dda126cdc21f8bfed001af5cd44ae985271c18b103e075138d61a87ae92aebc8
mkgw_mhyper_adamf,R3_softplus_fixed,2,37,4276,8552,4276,1,4276,caac8fb65eda9f3a901a6670347a19eb390623015b3019fed4b92fcc7be38d25
mkgw_mhyper_adamf,R3_softplus,2,37,4276,8552,4276,10,42760,1960bd96a4debd4bd523eaece9d79dab5863de4bcd41fa795f396acb5d201abd
mkgw_mhyper_adamf,R4_swap,2,37,4276,8552,4276,10,42760,d90d6ac01316f8695583b523d3dadbd6503d4ac40b1b35583d488e6b69c3ae8a
