dataset,pair_id,metric,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_unit
db15k,db15k_mhyper_adamf,transfer_recovery,0.15474403599794037,0.13577886198984646,0.1734966512863488,10000,original_triple_id
db15k,db15k_mhyper_adamf,loso_stable_headroom,0.009323870092076518,0.008033800938310905,0.010657012041259972,10000,original_triple_id
db15k,db15k_mhyper_adamf,loso_recovery,0.20513152359711215,0.18059804727735465,0.22935923417371257,10000,original_triple_id
db15k,db15k_mhyper_adamf,frozen_x4_oof_deployable_gain,0.0009243054036609,0.0003493390317563,0.0015093780415841,10000,original_triple_id
db15k,db15k_native_adamf,raw_oracle_seed_1,0.057128200890740694,0.05463780045966441,0.05966789477509865,10000,original_triple_id
db15k,db15k_native_adamf,transfer_1_to_2,0.004062708958010215,0.002232568123742802,0.005796660794101715,10000,original_triple_id
db15k,db15k_native_adamf,transfer_1_to_3,0.0030301167857418546,0.0015966934543512972,0.004459915212103469,10000,original_triple_id
db15k,db15k_native_adamf,raw_oracle_seed_2,0.0589559120926374,0.05640877777423625,0.061502134746502526,10000,original_triple_id
db15k,db15k_native_adamf,transfer_2_to_1,0.004707551579921488,0.0032237806806951286,0.006195959980044388,10000,original_triple_id
db15k,db15k_native_adamf,transfer_2_to_3,0.0028471197763517554,0.0014538205436120469,0.0042225381834508635,10000,original_triple_id
db15k,db15k_native_adamf,raw_oracle_seed_3,0.05655168841541229,0.05406928026441366,0.059020837337922794,10000,original_triple_id
db15k,db15k_native_adamf,transfer_3_to_1,0.0035336425991292107,0.001928778132125008,0.005130634928627259,10000,original_triple_id
db15k,db15k_native_adamf,transfer_3_to_2,0.0021411445874278427,0.0002532537291134538,0.004001950906594223,10000,original_triple_id
db15k,db15k_native_adamf,raw_oracle_headroom,0.057545267132930136,0.055881780643982075,0.059237714472819274,10000,original_triple_id
db15k,db15k_native_adamf,cross_seed_transfer_headroom,0.0033870473810970604,0.0024913968979949014,0.004270636202034629,10000,original_triple_id
db15k,db15k_native_adamf,transfer_recovery,0.05885883496331588,0.04365884399199218,0.07343059538564321,10000,original_triple_id
db15k,db15k_native_adamf,loso_stable_headroom,0.004553674920516819,0.003340621400779101,0.0057632880209813175,10000,original_triple_id
db15k,db15k_native_adamf,loso_recovery,0.07913204938292813,0.05870565465712189,0.09903942442917435,10000,original_triple_id
db15k,db15k_native_adamf,frozen_x4_oof_deployable_gain,0.0015636369484375,0.0010390135561791,0.0021143114399816,10000,original_triple_id
