dataset,pair_id,source_seed,target_seed,cell_type,headroom,ci95_low,ci95_high
db15k,db15k_mhyper_adamf,1,1,raw_oracle,0.043734232081830186,0.04153880817665556,0.04600372203307324
db15k,db15k_mhyper_adamf,1,2,cross_seed_transfer,0.007989973888977604,0.0064211155423655126,0.009559963345254883
db15k,db15k_mhyper_adamf,1,3,cross_seed_transfer,0.007104611620969132,0.0055196406187677455,0.008709390704037038
db15k,db15k_mhyper_adamf,2,2,raw_oracle,0.04506553196225387,0.04281456663103831,0.04737128400464183
db15k,db15k_mhyper_adamf,2,1,cross_seed_transfer,0.006322167185003836,0.004760158938582528,0.007891948344140714
db15k,db15k_mhyper_adamf,2,3,cross_seed_transfer,0.006260883475742029,0.004682552386379088,0.007887946110107225
db15k,db15k_mhyper_adamf,3,3,raw_oracle,0.04755963009353809,0.04519362388065975,0.05005041256556477
db15k,db15k_mhyper_adamf,3,1,cross_seed_transfer,0.006330236701198659,0.004728007323453812,0.007955009579509675
db15k,db15k_mhyper_adamf,3,2,cross_seed_transfer,0.00819373311828782,0.006596798404058112,0.00980962817995078
db15k,db15k_native_adamf,1,1,raw_oracle,0.057128200890740694,0.05463780045966441,0.05966789477509865
db15k,db15k_native_adamf,1,2,cross_seed_transfer,0.004062708958010215,0.002232568123742802,0.005796660794101715
db15k,db15k_native_adamf,1,3,cross_seed_transfer,0.0030301167857418546,0.0015966934543512972,0.004459915212103469
db15k,db15k_native_adamf,2,2,raw_oracle,0.0589559120926374,0.05640877777423625,0.061502134746502526
db15k,db15k_native_adamf,2,1,cross_seed_transfer,0.004707551579921488,0.0032237806806951286,0.006195959980044388
db15k,db15k_native_adamf,2,3,cross_seed_transfer,0.0028471197763517554,0.0014538205436120469,0.0042225381834508635
db15k,db15k_native_adamf,3,3,raw_oracle,0.05655168841541229,0.05406928026441366,0.059020837337922794
db15k,db15k_native_adamf,3,1,cross_seed_transfer,0.0035336425991292107,0.001928778132125008,0.005130634928627259
db15k,db15k_native_adamf,3,2,cross_seed_transfer,0.0021411445874278427,0.0002532537291134538,0.004001950906594223
