outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
2,w128_lr1e-4_neg1p0,128,0.0001,1.0,152184,0.031534061285526285,0.02780819858861163,0.07283439071907225,0.34927456237186566,0.3932156182471339,0.04394105587526825,0.5704005457710838,0.20881958681595963,0.19904870610982617,-0.009770880706133467,0.48085467128645776
2,w128_lr1e-4_neg1p5,128,0.0001,1.5,152184,0.03203818955335175,0.027925244874154296,0.08215114706532592,0.34927456237186566,0.4008381365291424,0.05156357415727675,0.5786638617869095,0.20881958681595963,0.2078735310587933,-0.0009460557571663308,0.49207465323952243
2,w128_lr1e-4_neg2p0,128,0.0001,2.0,152184,0.032274663826648474,0.028004812202250064,0.07663758758802114,0.34927456237186566,0.40661680969219344,0.05734224732032778,0.5862053257797916,0.20881958681595963,0.20446054544651562,-0.004359041369444011,0.47541506335529776
2,w128_lr1e-4_neg3p0,128,0.0001,3.0,152184,0.03311472152339361,0.02836250138884375,0.09228211802489286,0.34927456237186566,0.41588262329248926,0.0666080609206236,0.5972518619874171,0.20881958681595963,0.21221614619991802,0.0033965593839583863,0.48932089400764633
2,w128_lr3e-4_neg1p0,128,0.0003,1.0,152184,0.031092555406662108,0.0276753580517678,0.1230752521408959,0.34927456237186566,0.4418538776952931,0.09257931532342745,0.6204092942312528,0.20881958681595963,0.19683758114551378,-0.011982005670445856,0.47138390232596816
2,w128_lr3e-4_neg1p5,128,0.0003,1.5,152184,0.031462299065308376,0.027763403331008844,0.09983821542778307,0.34927456237186566,0.41824071765403004,0.06896615528216438,0.5994072043161519,0.20881958681595963,0.20898387670727606,0.00016428989131642147,0.4905888756016848
2,w128_lr3e-4_neg2p0,128,0.0003,2.0,152184,0.032078581511126476,0.02793617135858448,0.07754404130914691,0.34927456237186566,0.4093215851616691,0.06004702278980345,0.5902903097396592,0.20881958681595963,0.20646228337328126,-0.0023573034426783712,0.4721099838764248
2,w128_lr3e-4_neg3p0,128,0.0003,3.0,152184,0.032547780633482355,0.028196570564163772,0.08697322121934677,0.34927456237186566,0.40342318563406476,0.0541486232621991,0.587784915208926,0.20881958681595963,0.21910929780023033,0.0102897109842707,0.5019851175447533
2,w128_lr1e-3_neg1p0,128,0.001,1.0,152184,0.031021170892747953,0.027660298130112265,0.13349897484408674,0.34927456237186566,0.446437093104806,0.09716253073294034,0.6098248626304342,0.20881958681595963,0.22590696970236768,0.017087382886408042,0.507997547281669
2,w128_lr1e-3_neg1p5,128,0.001,1.5,152184,0.0314522765591968,0.027744992696502966,0.15145294084489813,0.34927456237186566,0.43691580108164096,0.0876412387097753,0.6163615864759978,0.20881958681595963,0.23314547227384452,0.024325885457884888,0.5355018605006283
2,w128_lr1e-3_neg2p0,128,0.001,2.0,152184,0.03162762062021589,0.0278066381711518,0.09967172705375431,0.34927456237186566,0.42481212231731885,0.07553755994545319,0.6085080930888823,0.20881958681595963,0.2118122393797916,0.0029926525638319657,0.47789799337240274
2,w128_lr1e-3_neg3p0,128,0.001,3.0,152184,0.032969391174064167,0.02839168247152041,0.11450642842985354,0.34927456237186566,0.42337918354810417,0.0741046211762385,0.6095807710834528,0.20881958681595963,0.21873448917298105,0.009914902357021416,0.5060218989426373
3,w32_lr1e-4_neg1p0,32,0.0001,1.0,152064,0.03289504147967551,0.028190373299910705,0.03717614259670139,0.3469789036195286,0.37197652748683985,0.024997623867311247,0.538434457322923,0.21239741161616163,0.20669316123499196,-0.005704250381169673,0.4916396321186377
3,w32_lr1e-4_neg1p5,32,0.0001,1.5,152064,0.03401638820339913,0.028790708165655387,0.03592140704375276,0.3469789036195286,0.3676536300927078,0.020674726473179195,0.5378766861868546,0.21239741161616163,0.2081946262079199,-0.004202785408241733,0.49159590198554737
3,w32_lr1e-4_neg2p0,32,0.0001,2.0,152064,0.03333574959627711,0.02832024410153047,0.04296627092710253,0.3469789036195286,0.372799423552311,0.025820519932782393,0.5468082913915444,0.21239741161616163,0.21119317135598314,-0.0012042402601784852,0.49473927315840144
3,w32_lr1e-4_neg3p0,32,0.0001,3.0,152064,0.03331164220051119,0.028292153823681755,0.06597555451385179,0.3469789036195286,0.39372109299039026,0.046742189370861664,0.5738496462846989,0.21239741161616163,0.2105469347573139,-0.0018504768588477327,0.4869879926092841
3,w32_lr3e-4_neg1p0,32,0.0003,1.0,152064,0.03138755675728534,0.027650727762875412,0.07030940110281884,0.3469789036195286,0.4010176327615666,0.054038729142038,0.5722185304969205,0.21239741161616163,0.20305598311766268,-0.00934142849849895,0.48153147610945973
3,w32_lr3e-4_neg1p5,32,0.0003,1.5,152064,0.03106638798756246,0.027529917555087033,0.0845958855705644,0.3469789036195286,0.39715015160576134,0.050171247986232737,0.5819099923300022,0.21239741161616163,0.21090486433947667,-0.0014925472766849635,0.4934960126805861
3,w32_lr3e-4_neg2p0,32,0.0003,2.0,152064,0.03188250652488876,0.02773768316889934,0.07227106868838763,0.3469789036195286,0.4019066487648646,0.05492774514533599,0.582454315313798,0.21239741161616163,0.20946061805377247,-0.002936793562389156,0.4816602669444482
3,w32_lr3e-4_neg3p0,32,0.0003,3.0,152064,0.032526630718278986,0.02796581452931648,0.09100029978263101,0.3469789036195286,0.41277825139584445,0.06579934777631585,0.5944978372307638,0.21239741161616163,0.21669214817271246,0.004294736556550827,0.49685820307264245
