dataset,pair_id,metric,n,mean,std,min,q25,median,q75,q90,q95,max
mkg_w,mkgw_mhyper_native,gain_amplitude,25656,0.04662525254682955,0.13641468797220607,0.0,0.0,0.00030306091833670027,0.0102564102564103,0.11710805860805859,0.5,0.9972826086956522
mkg_w,mkgw_mhyper_native,beneficial_basin_width,25656,0.29223647675471803,0.25682073716154546,0.0,0.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9523809523809523
mkg_w,mkgw_mhyper_native,min_beneficial_distance_positive_only,16308,0.08568493990679417,0.08733521104807047,0.04999999999999993,0.04999999999999993,0.04999999999999993,0.050000000000000044,0.19999999999999996,0.3,0.6
mkg_w,mkgw_mhyper_native,plateau_ratio,25656,0.5229030246336139,0.42242984805063266,0.0,0.05,0.6,0.95,1.0,1.0,1.0
mkg_w,mkgw_mhyper_native,best_plateau_ratio,25656,0.37622685494528346,0.4002050659628967,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.9047619047619048,1.0,1.0,1.0
mkg_w,mkgw_mhyper_native,beneficial_components_positive_only,16308,1.2232646553838606,0.6326151766427454,1.0,1.0,1.0,1.0,2.0,2.0,8.0
mkg_w,mkgw_native_adamf,gain_amplitude,25656,0.047644916484863714,0.13917660169152224,0.0,0.0,6.688916129225005e-05,0.0054545454545453995,0.1333333333333333,0.5,0.999436936936937
mkg_w,mkgw_native_adamf,beneficial_basin_width,25656,0.28394174944689443,0.37406364634575917,0.0,0.0,0.047619047619047616,0.7142857142857143,0.9047619047619048,0.9047619047619048,0.9523809523809523
mkg_w,mkgw_native_adamf,min_beneficial_distance_positive_only,15704,0.08520440652063167,0.10549137633835032,0.04999999999999993,0.04999999999999993,0.050000000000000044,0.050000000000000044,0.1499999999999999,0.29999999999999993,0.95
mkg_w,mkgw_native_adamf,plateau_ratio,25656,0.5084989865918303,0.4173124141254207,0.0,0.05,0.55,0.95,1.0,1.0,1.0
mkg_w,mkgw_native_adamf,best_plateau_ratio,25656,0.33133806999569393,0.3736528097683458,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.6190476190476191,1.0,1.0,1.0
mkg_w,mkgw_native_adamf,beneficial_components_positive_only,15704,1.222554763117677,0.6431377216041048,1.0,1.0,1.0,1.0,2.0,2.0,7.0
