dataset,pair_id,global_alpha,alpha,delta_alpha,mean_utility,positive_rate,zero_rate,negative_rate
mkg_w,mkgw_mhyper_adamf,1.0,0.1,-0.9,-0.04508700017365588,0.3900841908325538,0.22158559401309635,0.38833021515434984
mkg_w,mkgw_mhyper_adamf,1.0,0.15,-0.85,-0.03953676914213004,0.4025958840037418,0.23062831306516995,0.36677580293108825
mkg_w,mkgw_mhyper_adamf,1.0,0.2,-0.8,-0.03582794209521718,0.4122622388525101,0.23861864671032118,0.3491191144371687
mkg_w,mkgw_mhyper_adamf,1.0,0.25,-0.75,-0.031507010794387696,0.42083723105706267,0.24941534144059868,0.32974742750233865
mkg_w,mkgw_mhyper_adamf,1.0,0.3,-0.7,-0.029657602988168236,0.42754131587153105,0.25592454006859994,0.316534144059869
mkg_w,mkgw_mhyper_adamf,1.0,0.35,-0.65,-0.02806718321852669,0.4338556283130652,0.2643436233239788,0.301800748362956
mkg_w,mkgw_mhyper_adamf,1.0,0.4,-0.6,-0.026457025375331754,0.43798721546616776,0.2745946367321484,0.28741814780168384
mkg_w,mkgw_mhyper_adamf,1.0,0.45,-0.55,-0.02480611805569378,0.4416120985344559,0.2842609915809167,0.2741269098846274
mkg_w,mkgw_mhyper_adamf,1.0,0.5,-0.5,-0.024438473750245673,0.4428983473651388,0.2913938260056127,0.2657078266292485
mkg_w,mkgw_mhyper_adamf,1.0,0.55,-0.44999999999999996,-0.02219898022434878,0.44371686934830057,0.30316495166822577,0.25311817898347366
mkg_w,mkgw_mhyper_adamf,1.0,0.6,-0.4,-0.02008844743376955,0.44473027751792954,0.31598846273776116,0.23928125974430933
mkg_w,mkgw_mhyper_adamf,1.0,0.65,-0.35,-0.017812998150567687,0.4463283442469598,0.3279154973495479,0.22575615840349236
mkg_w,mkgw_mhyper_adamf,1.0,0.7,-0.30000000000000004,-0.015888949524477784,0.4446913002806361,0.3438571874025569,0.21145151231680698
mkg_w,mkgw_mhyper_adamf,1.0,0.75,-0.25,-0.013062030093436313,0.4407156220767072,0.36077330838790145,0.19851106953539133
mkg_w,mkgw_mhyper_adamf,1.0,0.8,-0.19999999999999996,-0.010113187789447352,0.43740255690676644,0.38193794823822885,0.18065949485500468
mkg_w,mkgw_mhyper_adamf,1.0,0.85,-0.15000000000000002,-0.00810919747323367,0.42793108824446524,0.4062987215466168,0.165770190208918
mkg_w,mkgw_mhyper_adamf,1.0,0.9,-0.09999999999999998,-0.004622104171097451,0.41456189585282194,0.44515902712815714,0.1402790770190209
mkg_w,mkgw_mhyper_adamf,1.0,0.95,-0.050000000000000044,-0.0023485925344811586,0.387784533832242,0.5000389772372934,0.11217648893046461
mkg_w,mkgw_mhyper_adamf,1.0,1.0,0.0,0.0,0.0,1.0,0.0
mkg_w,mkgw_mhyper_native,0.6,0.0,-0.6,-0.02791307379833032,0.3914873713751169,0.2687480511381353,0.33976457748674777
mkg_w,mkgw_mhyper_native,0.6,0.05,-0.5499999999999999,-0.013919830609997932,0.4049345182413471,0.29525257249766135,0.2998129092609916
mkg_w,mkgw_mhyper_native,0.6,0.1,-0.5,-0.009214191395478695,0.4152634861241035,0.3074134705332086,0.27732304334268787
mkg_w,mkgw_mhyper_native,0.6,0.15,-0.44999999999999996,-0.005928616913800184,0.4233317742438416,0.3191456189585282,0.25752260679763017
mkg_w,mkgw_mhyper_native,0.6,0.2,-0.39999999999999997,-0.003499642794857235,0.4280480199563455,0.3317352666043031,0.24021671343935141
mkg_w,mkgw_mhyper_native,0.6,0.25,-0.35,-0.0018084768023256383,0.43420642344870597,0.3420642344870596,0.22372934206423448
mkg_w,mkgw_mhyper_native,0.6,0.3,-0.3,-0.0016984836289287535,0.435414717804802,0.3559401309635173,0.2086451512316807
mkg_w,mkgw_mhyper_native,0.6,0.35,-0.25,-0.001375175777835732,0.4344792641097599,0.3693093233551606,0.1962114125350795
mkg_w,mkgw_mhyper_native,0.6,0.4,-0.19999999999999996,-0.001107676166721467,0.4321016526348612,0.38388681010289993,0.18401153726223884
mkg_w,mkgw_mhyper_native,0.6,0.45,-0.14999999999999997,-0.001284308460175728,0.42231836607421264,0.4059869036482694,0.17169473027751794
mkg_w,mkgw_mhyper_native,0.6,0.5,-0.09999999999999998,-0.0008317240217513755,0.4092999688182102,0.43401153726223884,0.15668849391955098
mkg_w,mkgw_mhyper_native,0.6,0.55,-0.04999999999999993,-0.00016796844589378582,0.3816651075771749,0.48023854069223576,0.13809635173058935
mkg_w,mkgw_mhyper_native,0.6,0.6,0.0,0.0,0.0,1.0,0.0
mkg_w,mkgw_mhyper_native,0.6,0.65,0.050000000000000044,-0.0008298237098465811,0.12574056750857499,0.4849158091674462,0.3893436233239788
mkg_w,mkgw_mhyper_native,0.6,0.7,0.09999999999999998,-0.0007463413621002135,0.13770657935765512,0.44063766760212036,0.4216557530402245
mkg_w,mkgw_mhyper_native,0.6,0.75,0.15000000000000002,-0.0006570680866890932,0.14238384783286562,0.41682257561584035,0.44079357655129403
mkg_w,mkgw_mhyper_native,0.6,0.8,0.20000000000000007,-0.0011333666675569965,0.14394293732460242,0.4020112254443405,0.45404583723105707
mkg_w,mkgw_mhyper_native,0.6,0.85,0.25,-0.001401109697081335,0.14487839101964453,0.3888369192391643,0.46628468974119114
mkg_w,mkgw_mhyper_native,0.6,0.9,0.30000000000000004,-0.002098982748476814,0.14433270969753664,0.3800280636108513,0.47563922669161207
mkg_w,mkgw_mhyper_native,0.6,0.95,0.35,-0.0024374692133259904,0.14409884627377612,0.3723495478640474,0.4835516058621765
mkg_w,mkgw_mhyper_native,0.6,1.0,0.4,-0.0035340921049221573,0.14133146242594324,0.3638914873713751,0.49477705020268165
mkg_w,mkgw_native_adamf,0.95,0.0,-0.95,-0.04510799198403154,0.2752182725288432,0.21616775802931087,0.508613969441846
mkg_w,mkgw_native_adamf,0.95,0.05,-0.8999999999999999,-0.040352410743857585,0.2793108824446523,0.22419706891175553,0.49649204864359214
mkg_w,mkgw_native_adamf,0.95,0.1,-0.85,-0.03691092584465266,0.283637355784222,0.2311350171499844,0.4852276270657936
mkg_w,mkgw_native_adamf,0.95,0.15,-0.7999999999999999,-0.03379614084984263,0.28815871531025883,0.23694262550670409,0.4748986591830371
mkg_w,mkgw_native_adamf,0.95,0.2,-0.75,-0.03125244171191813,0.29252416588712193,0.24232148425319613,0.46515434985968196
mkg_w,mkgw_native_adamf,0.95,0.25,-0.7,-0.02836504213705791,0.2960321172435298,0.24949329591518554,0.45447458684128467
mkg_w,mkgw_native_adamf,0.95,0.3,-0.6499999999999999,-0.025706425967644896,0.301800748362956,0.2526114748986592,0.4455877767383848
mkg_w,mkgw_native_adamf,0.95,0.35,-0.6,-0.02372471332649094,0.30519176800748365,0.25931555971312753,0.4354926722793888
mkg_w,mkgw_native_adamf,0.95,0.4,-0.5499999999999999,-0.021052298537617246,0.3084268787028375,0.26796850639226694,0.42360461490489554
mkg_w,mkgw_native_adamf,0.95,0.45,-0.49999999999999994,-0.018749085622014963,0.3124415341440599,0.27482850015590893,0.4127299657000312
mkg_w,mkgw_native_adamf,0.95,0.5,-0.44999999999999996,-0.017211131950088058,0.31368880573744934,0.2843389460555036,0.4019722482070471
mkg_w,mkgw_native_adamf,0.95,0.55,-0.3999999999999999,-0.014802586959558814,0.31470221390707825,0.2945899594636732,0.3907078266292485
mkg_w,mkgw_native_adamf,0.95,0.6,-0.35,-0.01265270158509114,0.3172357343311506,0.30222949797318366,0.38053476769566574
mkg_w,mkgw_native_adamf,0.95,0.65,-0.29999999999999993,-0.011366889852713584,0.3178203928905519,0.31400062363579667,0.3681789834736514
mkg_w,mkgw_native_adamf,0.95,0.7,-0.25,-0.009724821465422504,0.314585282195198,0.3317352666043031,0.35367945120049893
mkg_w,mkgw_native_adamf,0.95,0.75,-0.19999999999999996,-0.008434856487897194,0.3124805113813533,0.34752104770813846,0.33999844091050824
mkg_w,mkgw_native_adamf,0.95,0.8,-0.1499999999999999,-0.006904630177785744,0.3075304022450889,0.37242750233863425,0.3200420954162769
mkg_w,mkgw_native_adamf,0.95,0.85,-0.09999999999999998,-0.004427432517830324,0.29825381976925475,0.40567508574992206,0.2960710944808232
mkg_w,mkgw_native_adamf,0.95,0.9,-0.04999999999999993,-0.001848634661914732,0.28219519800436543,0.4539289055191768,0.26387589647645776
mkg_w,mkgw_native_adamf,0.95,0.95,0.0,0.0,0.0,1.0,0.0
mkg_w,mkgw_native_adamf,0.95,1.0,0.050000000000000044,-0.006412306066228257,0.24154193950732772,0.46289367009666355,0.29556439039600874
