split,dataset,pair,scope,seed,direction,n_observations,n_fallback,fallback_rate,n_changed_from_anchor,changed_from_anchor_rate,n_effective_adaptation,effective_adaptation_rate,mrr_final,global_mrr,delta_mrr_vs_global,n_avoided_harm,avoided_harm_rate_among_fallback,n_missed_benefit,missed_benefit_rate_among_fallback,n_neutral,neutral_rate_among_fallback,total_rr_loss_avoided,total_potential_gain_sacrificed,net_fallback_utility,net_fallback_utility_per_observation,net_fallback_utility_per_fallback
dev,DB15K,M-Hyper + AdaMF-MAT,seed,2,pooled,15844,7116,0.4491290078263065,3785,0.23889169401666246,3785,0.23889169401666246,0.38226110111083733,0.3820373224646448,0.00022377864619257829,472,0.06632939853850478,1136,0.15964024732996066,5508,0.7740303541315345,17.073603401243293,11.582413485774069,5.491189915469224,0.0003465785101911906,0.0007716680600715604
dev,DB15K,M-Hyper + AdaMF-MAT,seed,3,pooled,15844,7673,0.48428427164857357,2590,0.16346882100479676,2590,0.16346882100479676,0.38234889705703645,0.3815943386587199,0.0007545583983165541,567,0.07389547764889874,1623,0.21152091750293237,5483,0.7145836048481689,20.368708419288087,10.428163841461105,9.940544577826982,0.0006274011977926648,0.0012955225567349122
test,MKG-W,M-Hyper + NativE,seed,1,pooled,8548,0,0.0,8028,0.939167056621432,8028,0.939167056621432,0.3717166489135768,0.3656807730096404,0.006035875903936403,0,,0,,0,,0.0,0.0,0.0,0.0,
test,MKG-W,M-Hyper + NativE,seed,2,pooled,8548,0,0.0,8063,0.9432615816565278,8063,0.9432615816565278,0.36858008710068574,0.3635419400376622,0.005038147063023567,0,,0,,0,,0.0,0.0,0.0,0.0,
test,MKG-W,M-Hyper + NativE,seed,3,pooled,8548,0,0.0,8080,0.9452503509592888,8080,0.9452503509592888,0.3702321777676846,0.3636915096125517,0.006540668155132872,0,,0,,0,,0.0,0.0,0.0,0.0,
test,MKG-W,M-Hyper + AdaMF-MAT,seed,1,pooled,8548,2168,0.25362657931679927,2846,0.3329433785680861,2846,0.3329433785680861,0.36266772061993546,0.3606102414333147,0.00205747918662069,138,0.06365313653136531,493,0.22739852398523985,1537,0.7089483394833949,4.7909334767109755,5.310588424394695,-0.5196549476837187,-6.0792576940070036e-05,-0.00023969324155153075
test,MKG-W,M-Hyper + AdaMF-MAT,seed,2,pooled,8548,1917,0.22426298549368273,3310,0.3872250818905007,3310,0.3872250818905007,0.36066291805345563,0.3588541218335704,0.0018087962198851846,121,0.06311945748565467,390,0.20344287949921752,1406,0.7334376630151278,3.0327166788757633,3.843036118606687,-0.8103194397309231,-9.479637806866203e-05,-0.00042270184649500424
test,MKG-W,M-Hyper + AdaMF-MAT,seed,3,pooled,8548,2126,0.24871314927468413,2980,0.3486195601310248,2980,0.3486195601310248,0.3617849810972718,0.35969845516136006,0.0020865259359116933,146,0.06867356538099718,482,0.22671683913452492,1498,0.7046095954844779,5.482125058323761,3.0395156521213775,2.4426094062023838,0.0002857521532758989,0.001148922580527932
test,DB15K,M-Hyper + NativE,seed,1,pooled,19804,0,0.0,9082,0.4585942233892143,9082,0.4585942233892143,0.3767455158670009,0.37537340126984575,0.0013721145971551624,0,,0,,0,,0.0,0.0,0.0,0.0,
test,DB15K,M-Hyper + NativE,seed,2,pooled,19804,0,0.0,8371,0.42269238537669157,8371,0.42269238537669157,0.37561298875174515,0.3748110422730253,0.0008019464787198388,0,,0,,0,,0.0,0.0,0.0,0.0,
