split,dataset,pair,method,scope,seed,direction,n_observations,mrr,delta_mrr_vs_global,delta_mrr_ci95_low,delta_mrr_ci95_high,harmful_query_rate,harmful_query_rate_ci95_low,harmful_query_rate_ci95_high,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_harm_ci95_low,mean_harm_ci95_high,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,seed,1,,8548,0.2878929084783724,-0.07271733295494234,-0.07916251724751631,-0.06639377434426744,0.4534394010294806,0.4408048666354703,0.46630790828263924,0.3521291530182499,0.19443144595226955,0.22658813807940853,0.21681935714364972,0.2361637165012246,0.08527171465014627,0.0,3876,3010,1662,4274
test,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,seed,2,,8548,0.34448339751286605,-0.014370724320704364,-0.018680102095696274,-0.01014076242268,0.2944548432381844,0.2832241459990641,0.3058025269068788,0.4265325222274216,0.279012634534394,0.14621328175960646,0.13669249246822557,0.15579204934573435,0.06724571549521356,0.0,2517,3646,2385,4274
test,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,seed,3,,8548,0.29886173506754227,-0.06083672009381785,-0.06695998131110995,-0.054815606874093405,0.4429106223678053,0.4303930744033692,0.4556621431913898,0.350140383715489,0.20694899391670565,0.2096187774456039,0.20003271084194313,0.2190348458858431,0.09140808822155072,0.0,3786,2993,1769,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,seed,1,,8548,0.36266772061993546,0.0020574791866206903,0.0011776030861550765,0.0029487647063454166,0.06715021057557323,0.061534861956013105,0.07276555919513336,0.23046326626111371,0.7023865231633131,0.021383985684722568,0.014682600335431107,0.02883192460164593,0.015158243588966707,0.0,574,1970,6004,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,seed,2,,8548,0.3606629180534556,0.0018087962198851844,0.000869384474888312,0.002769547537746421,0.0795507721104352,0.07346747777257838,0.085634066448292,0.26661207299953205,0.6538371548900328,0.025073559006088066,0.01840456444084466,0.03256545947657728,0.01426573506437843,0.0,680,2279,5589,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,seed,3,,8548,0.36178498109727175,0.0020865259359116933,0.0011165833427112346,0.003093228735979871,0.07241459990641086,0.06633130556855404,0.07838090781469349,0.23958820776789894,0.6879971923256902,0.026151081337159092,0.01875739915113686,0.03435730510367753,0.016612862816345036,0.0,619,2048,5881,4274
test,MKG-W,M-Hyper + NativE,Global,seed,1,,8548,0.36568077300964047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,8548,4274
test,MKG-W,M-Hyper + NativE,Global,seed,2,,8548,0.3635419400376622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,8548,4274
test,MKG-W,M-Hyper + NativE,Global,seed,3,,8548,0.3636915096125517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,8548,4274
test,MKG-W,M-Hyper + NativE,Query-soft,seed,1,,8548,0.372381935299807,0.00670116229016657,0.004926413562222504,0.008445596779941208,0.17232101076275153,0.16389798783341133,0.18074403369209172,0.3747075339260646,0.4529714553111839,0.033550826508362455,0.028383665230451844,0.03896127191413028,0.03331311355078419,0.0,1473,3203,3872,4274
test,MKG-W,M-Hyper + NativE,Query-soft,seed,2,,8548,0.3690503551898286,0.005508415152166469,0.0038147492664750153,0.00726808436491957,0.1716190921853065,0.16331305568554047,0.18004503977538602,0.3757604117922321,0.4526204960224614,0.03580089703497707,0.03037618808901182,0.04156077577163593,0.031010538191478938,0.0,1467,3212,3869,4274
test,MKG-W,M-Hyper + NativE,Query-soft,seed,3,,8548,0.3700848283573588,0.006393318744807032,0.004593111077146012,0.008225116730250224,0.17501169864295743,0.1665886757136172,0.18366869443144596,0.37517547964436126,0.44981282171268133,0.03589497565523586,0.03057905675213637,0.04151044233911583,0.03378514880288224,0.0,1496,3207,3845,4274
test,MKG-W,M-Hyper + NativE,DynaSemble,seed,1,,8548,0.33697535566170544,-0.028705417347935008,-0.03336973928246587,-0.023976574210274375,0.351544220870379,0.3399596396817969,0.36324286382779597,0.3738886289190454,0.2745671502105756,0.16318119305827505,0.1541518417220543,0.17215250337769233,0.0766538102784631,0.0,3005,3196,2347,4274
