split,pool,aggregation,decile,quota_fraction,pairs,n,method,accepted,intervention,harm_all,harm_accepted,harm_active,utility,mean_loss,mean_movement,accepted_random_lo,accepted_random_hi,accepted_valid_draws,intervention_random_lo,intervention_random_hi,intervention_valid_draws,harm_all_random_lo,harm_all_random_hi,harm_all_valid_draws,harm_accepted_random_lo,harm_accepted_random_hi,harm_accepted_valid_draws,harm_active_random_lo,harm_active_random_hi,harm_active_valid_draws,utility_random_lo,utility_random_hi,utility_valid_draws,mean_loss_random_lo,mean_loss_random_hi,mean_loss_valid_draws,mean_movement_random_lo,mean_movement_random_hi,mean_movement_valid_draws
dev_oof,All,micro,9,0.9,4,146376,Confidence,0.8332513526807673,0.44213532273050227,0.08459037000601191,0.10151843106388561,0.19132235235946723,-4.6795468052476587e-05,0.0035611716377577777,0.04833545116685793,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,micro,9,0.9,4,146376,Random,0.8332513526807671,0.39856021745795067,0.07631427368557686,0.09158613837235996,0.19147486770021316,-5.590504895192809e-05,0.003213216691324606,0.043462599369517504,0.8332513526807673,0.8332513526807673,512.0,0.39783161173962944,0.3993361275072416,512.0,0.0758578933704979,0.0767984505656665,512.0,0.09103842811229175,0.0921672077922078,512.0,0.19042174443247573,0.1925279637835945,512.0,-0.0001371639073375413,2.8217281290730967e-05,512.0,0.0031536865889287458,0.0032694171203223816,512.0,0.04336938774115971,0.04357625225446791,512.0
dev_oof,All,micro,10,1.0,4,146376,Confidence,1.0,0.4715185549543641,0.09254932502596054,0.09254932502596054,0.19627928541416131,2.6305461612942786e-05,0.003633134580201765,0.05442012351751654,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,micro,10,1.0,4,146376,Random,1.0,0.47151855495436396,0.09254932502596057,0.09254932502596057,0.19627928541416131,2.630546161294249e-05,0.0036331345802017656,0.05442012351751646,1.0,1.0,512.0,0.4715185549543641,0.4715185549543641,512.0,0.09254932502596054,0.09254932502596054,512.0,0.09254932502596054,0.09254932502596054,512.0,0.19627928541416131,0.19627928541416131,512.0,2.6305461612942105e-05,2.630546161294288e-05,512.0,0.003633134580201765,0.003633134580201767,512.0,0.05442012351751647,0.05442012351751649,512.0
dev_oof,Active,macro,0,0.0,4,146376,Confidence,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,Active,macro,0,0.0,4,146376,Random,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,512.0,0.0,0.0,512.0,,,0.0,,,0.0,0.0,0.0,512.0,0.0,0.0,512.0,0.0,0.0,512.0
dev_oof,Active,macro,1,0.1,4,146376,Confidence,0.04480727158394282,0.04480727158394282,0.008482245371480132,0.1919264140858551,0.1919264140858551,0.0002814687772406699,0.0005530981744756808,0.010955794504093418,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,Active,macro,1,0.1,4,146376,Random,0.04480727158394282,0.04480727158394282,0.008892803748366051,0.18227194524835405,0.18227194524835405,3.6849002777073885e-05,0.00036422342833794324,0.005404900536786488,0.04480727158394282,0.04480727158394282,512.0,0.04480727158394282,0.04480727158394282,512.0,0.008447140888277166,0.009307036148538835,512.0,0.17305526357467668,0.19113561361042944,512.0,0.17305526357467668,0.19113561361042944,512.0,-6.133760212204344e-05,0.00013042261290174945,512.0,0.00030424175464410975,0.00043112527843826683,512.0,0.005323185716985739,0.005488485578215557,512.0
dev_oof,Active,macro,2,0.2,4,146376,Confidence,0.09170462248582552,0.09170462248582552,0.018125332944918915,0.1973465331774908,0.1973465331774908,0.0003780393606816849,0.0009806231664516497,0.019643155372773502,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,Active,macro,2,0.2,4,146376,Random,0.09170462248582555,0.09170462248582555,0.018248374540239448,0.1833872647121123,0.1833872647121123,7.34974685918071e-05,0.0007364364987733477,0.010997851964097588,0.09170462248582552,0.09170462248582552,512.0,0.09170462248582552,0.09170462248582552,512.0,0.01759916865518475,0.01886312402645469,512.0,0.17697443532608417,0.1897650853720378,512.0,0.17697443532608417,0.1897650853720378,512.0,-6.032553744029537e-05,0.00020390582587693172,512.0,0.0006552997176791894,0.0008288696040329882,512.0,0.010881930523768263,0.011101793535581404,512.0
dev_oof,Active,macro,3,0.3,4,146376,Confidence,0.13848870224948945,0.13848870224948945,0.02767137349525822,0.19662249518823144,0.19662249518823144,0.0003975339954102656,0.0014465281910574239,0.027296012909072048,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,Active,macro,3,0.3,4,146376,Random,0.13848870224948942,0.13848870224948942,0.027593252072727878,0.1838291267857235,0.1838291267857235,0.00010788321374256915,0.0011077159286651593,0.01659040988247882,0.13848870224948945,0.13848870224948945,512.0,0.13848870224948945,0.13848870224948945,512.0,0.026849793715357888,0.02834352222523203,512.0,0.17891685010777864,0.1885599931295453,512.0,0.17891685010777864,0.1885599931295453,512.0,-4.205509278627359e-05,0.00024165355721273956,512.0,0.0010157918443177026,0.0012141211568193922,512.0,0.016456040419365558,0.01672863014169884,512.0
dev_oof,Active,macro,4,0.4,4,146376,Confidence,0.18626712961508793,0.18626712961508793,0.03696378155601461,0.19453102203015685,0.19453102203015685,0.0004160767191351113,0.0018474337001925672,0.03390079592974912,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,Active,macro,4,0.4,4,146376,Random,0.18626712961508793,0.18626712961508793,0.03720458966539543,0.18443296124887334,0.18443296124887334,0.00014587293165925995,0.0014856419093398788,0.02225103031429876,0.18626712961508793,0.18626712961508793,512.0,0.18626712961508793,0.18626712961508793,512.0,0.03647524017742131,0.03802196170270443,512.0,0.18073952192164755,0.18897189814706547,512.0,0.18073952192164755,0.18897189814706547,512.0,-1.886666717815066e-05,0.0002956531106516825,512.0,0.0013796197679986858,0.0015948117583574671,512.0,0.022111997344071765,0.022399082950404856,512.0
dev_oof,Active,macro,5,0.5,4,146376,Confidence,0.2353230012460908,0.2353230012460908,0.046038995579522735,0.19124336535248823,0.19124336535248823,0.00040706692183093226,0.0021899911306534608,0.03966519598691704,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,Active,macro,5,0.5,4,146376,Random,0.23532300124609085,0.23532300124609085,0.04711504393791424,0.18522727697917163,0.18522727697917163,0.0001816265532411835,0.0018712547055328176,0.02804009072110231,0.2353230012460908,0.2353230012460908,512.0,0.2353230012460908,0.2353230012460908,512.0,0.04633281682589769,0.04795004086459759,512.0,0.18183218072106744,0.1887937379822969,512.0,0.18183218072106744,0.1887937379822969,512.0,2.9268052970470998e-05,0.0003390754876500261,512.0,0.001759826024507024,0.001972632893547924,512.0,0.027891638223049887,0.028188212688845252,512.0
dev_oof,Active,macro,6,0.6,4,146376,Confidence,0.28127339027847675,0.28127339027847675,0.05559395631809898,0.19134011144964627,0.19134011144964627,0.00046859890033327953,0.002538899077857153,0.04444249763263228,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,Active,macro,6,0.6,4,146376,Random,0.28127339027847675,0.28127339027847675,0.05625612555096615,0.1849295864303272,0.1849295864303272,0.00021705091236278348,0.002240476056500141,0.033552010110338155,0.28127339027847675,0.28127339027847675,512.0,0.28127339027847675,0.28127339027847675,512.0,0.05543327066470586,0.05707846807914822,512.0,0.1821466027251147,0.18780940562842213,512.0,0.1821466027251147,0.18780940562842213,512.0,5.953316523249858e-05,0.0003716591292410971,512.0,0.002134578036715168,0.0023589354450138963,512.0,0.03341405269418909,0.03369278612544376,512.0
dev_oof,Active,macro,7,0.7,4,146376,Confidence,0.32851057181545634,0.32851057181545634,0.06500291724104215,0.18925945532570784,0.18925945532570784,0.00047064730755988374,0.0028886757853800486,0.048131787854877754,,,,,,,,,,,,,,,,,,,,,,,,
