pair,label,split,pool,eligible_units,strata,random_seed,random_draws,decile,quota_fraction,n,method,accepted_n,active_n,harm_n,delta_sum,loss_sum,movement_sum,accepted,intervention,harm_all,harm_accepted,harm_active,utility,mean_loss,mean_movement,accepted_random_lo,accepted_random_hi,accepted_valid_draws,intervention_random_lo,intervention_random_hi,intervention_valid_draws,harm_all_random_lo,harm_all_random_hi,harm_all_valid_draws,harm_accepted_random_lo,harm_accepted_random_hi,harm_accepted_valid_draws,harm_active_random_lo,harm_active_random_hi,harm_active_valid_draws,utility_random_lo,utility_random_hi,utility_valid_draws,mean_loss_random_lo,mean_loss_random_hi,mean_loss_valid_draws,mean_movement_random_lo,mean_movement_random_hi,mean_movement_valid_draws,accepted_n_exact_expectation,active_n_exact_expectation,harm_n_exact_expectation,delta_sum_exact_expectation,loss_sum_exact_expectation,movement_sum_exact_expectation
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,6,0.6,47532,Random,26517.0,11448.9453125,2057.02734375,-59.578206803339725,138.03053397946675,1058.82333984375,0.5578767987881845,0.240868158556341,0.04327668399709669,0.07757390895463287,0.17966916158118443,-0.0012534336195266275,0.0029039496334988327,0.022276010684249538,0.5578767987881847,0.5578767987881847,512.0,0.23857138348901794,0.24322351258099806,512.0,0.04209322140873517,0.044489501809307413,512.0,0.07545253988007693,0.07974789757514048,512.0,0.17485575514864823,0.18455723491289908,512.0,-0.001502534753545831,-0.001026921681954183,512.0,0.0027015010310699732,0.0031081848115266336,512.0,0.022024688630817114,0.022517935285702242,512.0,26517.0,11445.522400016227,2056.454637340554,-59.73243243617602,138.198322608363,1058.3675786548156
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,7,0.7,47532,Confidence,30951.0,16403.0,3052.0,-94.04745916415486,213.58266334392678,1630.8999999999771,0.651161322898258,0.3450938315240259,0.06420937473701926,0.0986074763335595,0.18606352496494544,-0.0019786135480130197,0.004493449956743389,0.03431162164436542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,7,0.7,47532,Random,30951.0,13350.2421875,2398.791015625,-69.83520911156269,161.15507678841956,1233.9124999999992,0.6511613228982578,0.28086851358032483,0.05046686475690061,0.07750285986317082,0.17968089519607552,-0.001469225134889394,0.003390454363132613,0.025959616679289692,0.651161322898258,0.651161322898258,512.0,0.2787406378860557,0.2830303795337878,512.0,0.049365164520743916,0.05162837667255744,512.0,0.07581095925818229,0.07928661432586992,512.0,0.1759653681574131,0.18340890084003209,512.0,-0.0016909489593749227,-0.0012457708374561869,512.0,0.0032052449064224587,0.003569207202373968,512.0,0.025736793107801012,0.026189724816965358,512.0,30951.0,13347.10927395971,2398.1321694516346,-69.65061295244544,161.1460332738305,1233.773668883104
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,8,0.8,47532,Confidence,35412.0,18206.0,3315.0,-95.43388282972207,223.29092199394947,1722.2499999999773,0.7450138853824791,0.3830261718421274,0.06974248927038626,0.09361233480176212,0.1820828298363177,-0.0020077817644896506,0.0046976967515347445,0.03623348481023263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,8,0.8,47532,Random,35412.0,15284.0859375,2748.474609375,-79.89898754258489,184.43268702784002,1412.3217773437489,0.745013885382479,0.3215536046768493,0.05782366846282505,0.07761421578490342,0.1798257228450435,-0.001680951517768765,0.0038801793955196475,0.02971307282133606,0.7450138853824791,0.7450138853824791,512.0,0.31973775561726836,0.32373979634772365,512.0,0.056803837414794243,0.058828263064882605,512.0,0.07624534056252118,0.07896263978312436,512.0,0.1768632648169124,0.18273921887423053,512.0,-0.0018720015580518975,-0.0014951080771490471,512.0,0.0037249769741200082,0.004040738541387092,512.0,0.029505017672304866,0.029931782798956388,512.0,35412.0,15281.397725138864,2747.61359958461,-79.75524810697526,184.395430497879,1412.2428605754935
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,9,0.9,47532,Confidence,39762.0,19106.0,3434.0,-99.26890504518366,230.10921228617795,1767.2499999999793,0.8365311789952032,0.4019607843137255,0.07224606580829757,0.08636386499673054,0.1797341149377159,-0.0020884647194560225,0.004841143067537195,0.03718021543381257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,9,0.9,47532,Random,39762.0,17178.640625,3087.83984375,-89.70117154507959,207.33660596294436,1587.8933593749923,0.8365311789952034,0.36141211447025157,0.0649633897952958,0.0776580615600322,0.17974863584537737,-0.0018871743571715815,0.004362042538983096,0.03340682822887724,0.8365311789952032,0.8365311789952032,512.0,0.36000063115374903,0.36302806530337456,512.0,0.06423041319532105,0.06570783892956324,512.0,0.07678185201951612,0.07854798551380715,512.0,0.17790913468337224,0.18173012023455973,512.0,-0.002032142324756633,-0.0017474965114105713,512.0,0.004242290222529865,0.004484093241152499,512.0,0.0332474175292433,0.03357106791214324,512.0,39762.0,17177.294498651936,3086.6055403859964,-89.63420454745209,207.32244600009383,1587.9211240633288
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,10,1.0,47532,Confidence,47532.0,19200.0,3463.0,-99.80296598408023,230.8214592374717,1771.9499999999796,1.0,0.4039383993940924,0.07285618109904907,0.07285618109904907,0.18036458333333333,-0.002099700538249605,0.004856127645322555,0.03727909618783093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db15k_mhyper_adamf,D-A,dev_oof,All,40446,183,2026091212,512,10,1.0,47532,Random,47532.0,19200.0,3463.0,-99.80296598408094,230.8214592374716,1771.9499999999803,1.0,0.4039383993940922,0.0728561810990491,0.0728561810990491,0.1803645833333333,-0.0020997005382496067,0.004856127645322556,0.037279096187831165,1.0,1.0,512.0,0.4039383993940924,0.4039383993940924,512.0,0.07285618109904907,0.07285618109904907,512.0,0.07285618109904907,0.07285618109904907,512.0,0.18036458333333333,0.18036458333333333,512.0,-0.002099700538249607,-0.002099700538249605,512.0,0.004856127645322555,0.0048561276453225576,512.0,0.03727909618783116,0.037279096187831186,512.0,47532.0,19200.0,3463.0,-99.80296598408023,230.8214592374717,1771.9499999999796
db15k_mhyper_adamf,D-A,dev_oof,Active,16863,95,2026091213,512,0,0.0,47532,Confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
