pair,label,split,method,convention,changed_rows,endpoint_rows,seed,direction,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,W-N,dev,RRF,normalized_endpoint,0,0,3,tail,4276,0.48897344286415184,0.5155132337957664,-0.0265397909316146,0.2558465855940131,0.2708138447146866,0.5266604303086997,0.17151843837647116,0.04388240682503729,0.017342615893422685,,
mkgw_mhyper_native,W-N,test,Global,raw_endpoint,0,0,1,head,4274,0.19402527077677456,0.19402527077677456,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,raw_endpoint,0,0,1,tail,4274,0.5399663310183658,0.5399663310183658,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,raw_endpoint,0,0,2,head,4274,0.19127650411339328,0.19127650411339328,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,raw_endpoint,0,0,2,tail,4274,0.5355971045545855,0.5355971045545855,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,raw_endpoint,0,0,3,head,4274,0.1931174451949789,0.1931174451949789,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,raw_endpoint,0,0,3,tail,4274,0.5340080802857923,0.5340080802857923,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,normalized_endpoint,0,0,1,head,4274,0.19402527077677456,0.19402527077677456,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,normalized_endpoint,0,0,1,tail,4274,0.5399663310183658,0.5399663310183658,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,normalized_endpoint,0,0,2,head,4274,0.19127650411339328,0.19127650411339328,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,normalized_endpoint,0,0,2,tail,4274,0.5355971045545855,0.5355971045545855,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,normalized_endpoint,0,0,3,head,4274,0.1931174451949789,0.1931174451949789,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,Global,normalized_endpoint,0,0,3,tail,4274,0.5340080802857923,0.5340080802857923,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,test,ADC,raw_endpoint,0,0,1,head,4274,0.1954313898717488,0.19402527077677456,0.0014061190949742257,0.18062704726251755,0.34464202152550305,0.5252690687880206,0.027330810007055905,0.004936683510867375,0.006342802605841601,,
mkgw_mhyper_native,W-N,test,ADC,raw_endpoint,0,1,1,tail,4274,0.5422339705443249,0.5399663310183658,0.0022676395259591535,0.09967243799719233,0.05170800187178287,0.1513804398689752,0.0628032143585423,0.006259749489176188,0.008527389015135342,,
mkgw_mhyper_native,W-N,test,ADC,raw_endpoint,0,0,2,head,4274,0.19330422367331956,0.19127650411339328,0.002027719559926242,0.1832007487131493,0.31118390266729057,0.49438465138043985,0.017645805906707793,0.003232724853755779,0.005260444413682021,,
mkgw_mhyper_native,W-N,test,ADC,raw_endpoint,0,0,2,tail,4274,0.5389842289347905,0.5355971045545855,0.0033871243802050476,0.1495086569957885,0.06317267197005147,0.21268132896583997,0.05529511812599508,0.008267098849441004,0.011654223229646054,,
mkgw_mhyper_native,W-N,test,ADC,raw_endpoint,0,0,3,head,4274,0.19303339306240422,0.1931174451949789,-8.40521325746657e-05,0.19396350023397285,0.3315395414131961,0.5255030416471689,0.0240906908993715,0.004672714729896812,0.004588662597322146,,
mkgw_mhyper_native,W-N,test,ADC,raw_endpoint,0,0,3,tail,4274,0.5396834218689582,0.5340080802857923,0.005675341583165919,0.1020121665886757,0.06293869911090313,0.16495086569957884,0.053031604946215394,0.005409868918238164,0.011085210501404081,,
mkgw_mhyper_native,W-N,test,ADC,normalized_endpoint,0,0,1,head,4274,0.1954313898717488,0.19402527077677456,0.0014061190949742257,0.18062704726251755,0.34464202152550305,0.5252690687880206,0.027330810007055905,0.004936683510867375,0.006342802605841601,,
mkgw_mhyper_native,W-N,test,ADC,normalized_endpoint,0,1,1,tail,4274,0.5422339705443249,0.5399663310183658,0.0022676395259591535,0.09967243799719233,0.05170800187178287,0.1513804398689752,0.0628032143585423,0.006259749489176188,0.008527389015135342,,
mkgw_mhyper_native,W-N,test,ADC,normalized_endpoint,0,0,2,head,4274,0.19330422367331956,0.19127650411339328,0.002027719559926242,0.1832007487131493,0.31118390266729057,0.49438465138043985,0.017645805906707793,0.003232724853755779,0.005260444413682021,,
mkgw_mhyper_native,W-N,test,ADC,normalized_endpoint,0,0,2,tail,4274,0.5389842289347905,0.5355971045545855,0.0033871243802050476,0.1495086569957885,0.06317267197005147,0.21268132896583997,0.05529511812599508,0.008267098849441004,0.011654223229646054,,
mkgw_mhyper_native,W-N,test,ADC,normalized_endpoint,0,0,3,head,4274,0.19303339306240422,0.1931174451949789,-8.40521325746657e-05,0.19396350023397285,0.3315395414131961,0.5255030416471689,0.0240906908993715,0.004672714729896812,0.004588662597322146,,
mkgw_mhyper_native,W-N,test,ADC,normalized_endpoint,0,0,3,tail,4274,0.5396834218689582,0.5340080802857923,0.005675341583165919,0.1020121665886757,0.06293869911090313,0.16495086569957884,0.053031604946215394,0.005409868918238164,0.011085210501404081,,
mkgw_mhyper_native,W-N,test,Query-soft,raw_endpoint,0,0,1,head,4274,0.1951599203980989,0.19402527077677456,0.0011346496213243316,0.21502105755732334,0.4602246139447824,0.6752456715021058,0.02620087155544986,0.005633739110776421,0.006768388732100753,,
