pair,label,split,method,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method,paired_lo,paired_hi,bootstrap_replicates,bootstrap_seed,random_expectation
mkgw_mhyper_native,W-N,test,Gap-agree,25644,0.3669617589789888,0.0022966363216737396,0.16003743565746373,0.004911412330264365,0.6332865387615036,0.10597995632506628,0.00015001234693558103,-0.00043874100911788,0.0007616015847743328,2000,20260930,False
mkgw_mhyper_native,W-N,test,Random-shape,25644,0.3670494347949028,0.0023843121375877684,0.1528347996115175,0.005409767947865854,0.6332865387615036,0.12098346591795352,6.233653102155181e-05,-0.00012614511114721232,0.0002565682598228006,2000,20260930,True
mkgw_mhyper_native,W-N,test,No-gate,25644,0.36710139886156734,0.002436276204252291,0.22632974574949305,0.007404614326013099,0.8909686476368741,0.13646077055061612,1.0372464357029213e-05,-0.0004441474460289609,0.0004829775907248582,2000,20260930,False
mkgw_mhyper_adamf,W-A,dev_oof,ADC,25656,0.35402586226857363,0.0012038969018035228,0.03745712503897724,0.0014759845362745157,0.19480823199251637,0.038166510757717494,0.0,0.0,0.0,2000,20260931,False
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,25656,0.35327874776800483,0.0004567824012347195,0.03378891085805427,0.001012285362492817,0.19480823199251637,0.03134348782298689,0.0007471145005688022,0.0003664711542343047,0.0011123183115618821,2000,20260931,True
mkgw_mhyper_adamf,W-A,dev_oof,Head-first,25656,0.3527760287385609,-4.593662820923967e-05,0.03496258185219832,0.0007732341288551538,0.19480823199251637,0.030877767383847836,0.0012498335300127627,0.0007132724711927912,0.0018072903100563218,2000,20260931,False
mkgw_mhyper_adamf,W-A,dev_oof,Tail-first,25656,0.35383189216803357,0.0010099268012634414,0.029934518241347054,0.0013712976947494481,0.19480823199251637,0.031893124415341444,0.00019397010054008162,-0.00013444091566259422,0.0005549309435951021,2000,20260931,False
mkgw_mhyper_adamf,W-A,dev_oof,Low-A-gap,25656,0.3539345600320743,0.0011125946653041932,0.03426099158091674,0.000731335645997243,0.19480823199251637,0.033144293732460244,9.130223649932925e-05,-0.0003230023523531084,0.0004960139410997873,2000,20260931,False
mkgw_mhyper_adamf,W-A,dev_oof,Gap-agree,25656,0.3537948217793773,0.0009728564126072082,0.03617087620829436,0.0016443507137229045,0.19480823199251637,0.03534260991580917,0.0002310404891963145,-1.6311592244093357e-05,0.00048212873482242325,2000,20260931,False
mkgw_mhyper_adamf,W-A,dev_oof,Random-shape,25656,0.35393042264051516,0.0011084572737450516,0.03734303966312375,0.0015503805287351668,0.19480823199251637,0.038166510757717494,9.543962805847099e-05,-6.179361575503256e-06,0.00020591462280288814,2000,20260931,True
mkgw_mhyper_adamf,W-A,dev_oof,No-gate,25656,0.35362738647641845,0.0008054211096483177,0.06633925787340193,0.0023658897090614475,0.3884471468662301,0.050582709697536636,0.0003984757921552057,0.00011696708436015683,0.0006906321730739306,2000,20260931,False
