pair,label,split,method,seed,direction,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method
mkgw_mhyper_native,W-N,dev_oof,Random-shape,1,tail,4276,0.5225468422852796,0.0022989501221972225,0.1215494853748209,0.0058844435182525785,0.5848924228250701,0.12124649204864357,0.00010999007285641427
mkgw_mhyper_native,W-N,dev_oof,Random-shape,2,head,4276,0.1919583090872563,0.0013262564738493689,0.16391596451240095,0.0027180425020369237,0.6166978484565014,0.11555191768007485,-0.00036377458507990643
mkgw_mhyper_native,W-N,dev_oof,Random-shape,2,tail,4276,0.5232813853438535,0.003477879270276994,0.15769025481094362,0.007870901202445683,0.6868568755846586,0.1476379794200187,0.0005375923552716583
mkgw_mhyper_native,W-N,dev_oof,Random-shape,3,head,4276,0.1969523704167483,0.0017342940966064671,0.1735409212754187,0.0033735272563568085,0.6604303086997194,0.13971000935453698,7.162495671490771e-05
mkgw_mhyper_native,W-N,dev_oof,Random-shape,3,tail,4276,0.5227173376088777,0.008137754191275642,0.11655613388415452,0.004689342942925449,0.5853601496725912,0.12087231057062674,0.00012805778519565163
mkgw_mhyper_native,W-N,dev_oof,No-gate,1,head,4276,0.19448330012284032,0.00046340031650134357,0.24906454630495792,0.005627624711195026,0.9139382600561272,0.15778765201122547,0.0005005895777876282
mkgw_mhyper_native,W-N,dev_oof,No-gate,1,tail,4276,0.5225947233154142,0.0023468311523318734,0.19644527595884004,0.008960514601692664,0.8716089803554724,0.13949953227315248,6.210904272176318e-05
mkgw_mhyper_native,W-N,dev_oof,No-gate,2,head,4276,0.1918139493127563,0.0011818966993493616,0.2469597754911132,0.004437260522909391,0.8877455565949486,0.13306828811973806,-0.00021941481057989904
mkgw_mhyper_native,W-N,dev_oof,No-gate,2,tail,4276,0.5228722087297909,0.0030687026562144287,0.25116931711880264,0.01018807469660634,0.9354536950420954,0.1641019644527596,0.0009467689693342233
mkgw_mhyper_native,W-N,dev_oof,No-gate,3,head,4276,0.1975774150018806,0.0023593386817388055,0.23947614593077643,0.0046490927422672985,0.9078578110383536,0.15498129092609916,-0.0005534196284174306
mkgw_mhyper_native,W-N,dev_oof,No-gate,3,tail,4276,0.5239348695763696,0.009355286158767493,0.1880261927034612,0.006572204164935802,0.8765201122544434,0.13945275958840037,-0.0010894741822962003
mkgw_mhyper_native,W-N,test,ADC,1,head,4274,0.1954313898717488,0.0014061190949742257,0.18062704726251755,0.004936683510867375,0.6731399157697707,0.1343121197941039,0.0
mkgw_mhyper_native,W-N,test,ADC,1,tail,4274,0.542233970544325,0.0022676395259591535,0.09967243799719233,0.006259749489176188,0.5662143191389799,0.10866869443144593,0.0
mkgw_mhyper_native,W-N,test,ADC,2,head,4274,0.19330422367331954,0.002027719559926242,0.1832007487131493,0.003232724853755779,0.6312587739822181,0.10760411792232104,0.0
mkgw_mhyper_native,W-N,test,ADC,2,tail,4274,0.5389842289347906,0.0033871243802050476,0.1495086569957885,0.008267098849441004,0.6944314459522696,0.13449929808142252,0.0
mkgw_mhyper_native,W-N,test,ADC,3,head,4274,0.19303339306240422,-8.40521325746657e-05,0.19396350023397285,0.004672714729896812,0.6715021057557323,0.13281469349555453,0.0
mkgw_mhyper_native,W-N,test,ADC,3,tail,4274,0.5396834218689582,0.005675341583165919,0.1020121665886757,0.005409868918238164,0.5631726719700515,0.10800187178287317,0.0
mkgw_mhyper_native,W-N,test,Random-I,1,head,4274,0.1954730399901269,0.0014477692133523516,0.182121604289993,0.0041714521211457314,0.6449052776637765,0.11176096266538557,-4.165011837812623e-05
mkgw_mhyper_native,W-N,test,Random-I,1,tail,4274,0.5414326521609562,0.0014663211425903408,0.12286305286848048,0.0059996966281556045,0.5944489572449742,0.08671798175018965,0.0008013183833688134
mkgw_mhyper_native,W-N,test,Random-I,2,head,4274,0.19392548518908725,0.0026489810756939606,0.1890184444737413,0.0030063859064238694,0.6472181339389823,0.09250579067907856,-0.000621261515767719
mkgw_mhyper_native,W-N,test,Random-I,2,tail,4274,0.5365477469753424,0.0009506424207568145,0.17042665654274464,0.008604079248575468,0.6784720859955051,0.1088898598607819,0.0024364819594482334
mkgw_mhyper_native,W-N,test,Random-I,3,head,4274,0.19333232724120172,0.00021488204622282936,0.18741987253242645,0.0040819265856294005,0.6461297546365787,0.1105429668251831,-0.00029893417879749476
mkgw_mhyper_native,W-N,test,Random-I,3,tail,4274,0.5379625211035769,0.00395444081778464,0.11751983051529193,0.005545083517943205,0.5885450230892051,0.08553194317406851,0.0017209007653812775
mkgw_mhyper_native,W-N,test,Head-first,1,head,4274,0.19564076364946364,0.0016154928726890838,0.22087037903603182,0.0051490086210256485,0.7901263453439401,0.13554047730463267,-0.0002093737777148583
mkgw_mhyper_native,W-N,test,Head-first,1,tail,4274,0.5411871411841983,0.0012208101658325407,0.09124941506785213,0.004077529166118668,0.44922788956481047,0.0670098268600842,0.0010468293601266132
mkgw_mhyper_native,W-N,test,Head-first,2,head,4274,0.19479497332257187,0.0035184692091785987,0.2213383247543285,0.003587461342900578,0.7737482452035563,0.11062236780533459,-0.0014907496492523563
