split,dataset,pair,scope,seed,direction,magnitude_bucket,bucket_order,n,observation_rate,delta_mrr_contribution,mean_delta_rr_within_bucket,harm_rate,mean_harm,mean_benefit,n_harmful,n_beneficial,n_unchanged
test,DB15K,M-Hyper + NativE,seed,1,pooled,"(0.05,0.10]",2,1570,0.07927691375479701,-9.589198242604588e-05,-0.001209582687876059,0.19936305732484078,0.030889428333101092,0.01239130183141185,313,627,630
test,DB15K,M-Hyper + NativE,seed,1,pooled,"(0.10,0.20]",3,3876,0.19571803676025046,0.00043418025131448923,0.0022183967226605122,0.2561919504643963,0.036492262768912556,0.022339473157230852,993,2007,876
test,DB15K,M-Hyper + NativE,seed,1,pooled,>0.20,4,2136,0.10785699858614421,0.0010159466317308096,0.009419385344006064,0.2808988764044944,0.03580783571577001,0.03130512304308424,600,1329,207
test,DB15K,M-Hyper + NativE,seed,2,pooled,0,0,11433,0.5773076146233084,0.0,0.0,0.0,,,0,0,11433
test,DB15K,M-Hyper + NativE,seed,2,pooled,"(0,0.05]",1,1580,0.07978186225005049,3.2749542463707296e-05,0.0004104885689564932,0.12974683544303797,0.01381195883727903,0.006281630867497221,205,554,821
test,DB15K,M-Hyper + NativE,seed,2,pooled,"(0.05,0.10]",2,1819,0.09185013128660877,8.224327535548324e-05,0.0008954072705552446,0.16382627817482134,0.024754107262561317,0.011242783757032786,298,801,720
test,DB15K,M-Hyper + NativE,seed,2,pooled,"(0.10,0.20]",3,3833,0.19354675823066048,0.0003777259569654886,0.0019516005352842518,0.24002087138012002,0.035689961136567555,0.018812528743530885,920,2143,770
test,DB15K,M-Hyper + NativE,seed,2,pooled,>0.20,4,1139,0.057513633609371846,0.00030922770393515975,0.005376598286858564,0.2712906057945566,0.04536574801234538,0.02873318343016637,309,701,129
test,DB15K,M-Hyper + NativE,seed,3,pooled,0,0,10868,0.5487780246414866,0.0,0.0,0.0,,,0,0,10868
test,DB15K,M-Hyper + NativE,seed,3,pooled,"(0,0.05]",1,1483,0.07488386184609169,7.773548793808469e-05,0.0010380806494442543,0.12070128118678354,0.0189378176956872,0.009898279057537828,179,498,806
test,DB15K,M-Hyper + NativE,seed,3,pooled,"(0.05,0.10]",2,1667,0.0841749141587558,-7.951465969402907e-05,-0.0009446360651353039,0.1859628074385123,0.04523301211383341,0.016102878958224848,310,773,584
