dataset,pair_id,subgroup_type,subgroup_value,n_rows,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,harmful_prevalence,harmful_auprc,harmful_auprc_lift,top_10pct_actual_mean_u,top_10pct_positive_rate,top_10pct_harmful_rate,h1_style_pass
mkg_w,mkgw_native_adamf,direction,head,64140,0.02828182623852093,0.3556439039600873,0.3622334633870912,0.006589559427003899,0.40519176800748363,0.3973533334345466,-0.007838434572937036,-0.004897406764135721,0.3515746803866542,0.36435921421889617,False
mkg_w,mkgw_native_adamf,direction,tail,64140,0.024031783378571286,0.22527284066105394,0.22596469172615413,0.0006918510651001963,0.2202837542874961,0.2278887635361558,0.0076050092486597,-0.0013814637571839487,0.21297162457125038,0.17227938883691923,False
mkg_w,mkgw_native_adamf,seed,1,42760,0.0328432114789841,0.30011693171188025,0.31252362407059914,0.012406692358718885,0.30778765201122543,0.30382847397987683,-0.003959178031348598,-0.0028548121992118445,0.3068288119738073,0.2775958840037418,False
mkg_w,mkgw_native_adamf,seed,2,42760,0.004780986778342948,0.27666043030869975,0.27169561215526983,-0.004964818153429917,0.31934050514499535,0.312417137679177,-0.006923367465818342,-0.0062124304769385205,0.24275023386342376,0.27104770813844714,False
mkg_w,mkgw_native_adamf,seed,3,42760,0.03167259819625874,0.2945977549111319,0.30379011066676626,0.009192355755634374,0.31108512628624885,0.30878089251249424,-0.002304233773754605,-0.000718902628904594,0.2916276894293732,0.26637043966323665,False
db15k,db15k_mhyper_native,direction,head,95064,0.02898744335738191,0.42116889674324665,0.4329346444468357,0.011765747703589069,0.2527981149541362,0.2521958403577905,-0.0006022745963456533,1.8052761602665228e-06,0.4168945928887019,0.2154428781822007,False
db15k,db15k_mhyper_native,direction,tail,95064,0.041784432359971924,0.23940713624505597,0.2558612765637871,0.01645414031873113,0.1278717495581924,0.1454516369855814,0.017579887427389,-0.0017103594503734712,0.2682516305491269,0.10908899642331159,False
db15k,db15k_mhyper_native,seed,1,63376,0.049136446864450754,0.3203420853319869,0.3447071170172311,0.02436503168524423,0.1976931330472103,0.19955166456392004,0.0018585315167097272,-0.0010565395698564628,0.34553486904386244,0.1593562638056169,False
db15k,db15k_mhyper_native,seed,2,63376,0.009743587032799823,0.32748990154001517,0.33422687395132766,0.006736972411312492,0.17937389548093916,0.17758476818169416,-0.0017891272992449914,-0.0013235427359070456,0.320132533922373,0.1522562322499211,False
db15k,db15k_mhyper_native,seed,3,63376,0.05830558006270574,0.3430320626104519,0.37313217471227117,0.030100112101819287,0.19393776824034334,0.19642454999893502,0.002486781758591683,0.0002776633532895021,0.36935941937519723,0.17986746607762702,True
db15k,db15k_mhyper_adamf,direction,head,95064,0.054534362634709344,0.43762097113523524,0.48300431981367975,0.04538334867844451,0.2666624589750063,0.25022649762363147,-0.016435961351374817,-0.0025461751879319425,0.47832947612034504,0.3398905954134231,False
db15k,db15k_mhyper_adamf,direction,tail,95064,0.09999246920969113,0.2560695952200623,0.32693347368491554,0.07086387846485326,0.1554847260792729,0.18200786140665517,0.026523135327382263,-0.00724193683531924,0.3864927414264675,0.1684199452977067,False
