dataset,pair_id,relation,n_query_instances,n_original_triples,n_nonreference_action_rows,opportunity_prevalence,actual_mean_u,spearman,positive_auprc_lift,harmful_auprc_lift,top_10pct_actual_mean_u,h1_style_pass
mkg_w,mkgw_mhyper_adamf,27,78,13,312,0.5769230769230769,-0.008013461414221091,0.30728543035558065,0.17465706070447784,0.028657860402127117,-0.0009054751372743178,False
mkg_w,mkgw_mhyper_adamf,29,450,75,1800,0.24222222222222223,-0.039217546284207525,0.052491403814890286,0.032316401834182634,0.09548340862035459,-0.014258616594246301,False
mkg_w,mkgw_mhyper_adamf,30,750,125,3000,0.5586666666666666,-0.006903454221974833,0.0994328388362974,0.07820158081745687,0.007269164403212569,-0.0035473589714345925,False
mkg_w,mkgw_mhyper_adamf,31,450,75,1800,0.7244444444444444,-0.0010095235651354942,-0.0382317845365913,-0.009511797303743186,0.01190431766624872,0.004402955041697041,False
mkg_w,mkgw_mhyper_adamf,32,486,81,1944,0.5329218106995884,-0.0038771233327789417,0.13289030082631081,0.08519826877529879,0.013646877237745825,0.0051143537593180575,True
mkg_w,mkgw_mhyper_adamf,33,84,14,336,0.47619047619047616,-0.016465586604086157,0.055448313578179274,0.01693905995538103,0.05051516492841787,-0.027638998631619904,False
mkg_w,mkgw_mhyper_adamf,34,552,92,2208,0.39855072463768115,-0.011490380243639457,0.04943660936662836,0.029515581497539023,-0.004068424796865061,-0.0036963526848659382,False
mkg_w,mkgw_mhyper_adamf,37,246,41,984,0.4268292682926829,-0.014507819356416493,0.06996833287295878,0.04588368988520419,-0.0033770471461043172,-0.008719104408485086,False
mkg_w,mkgw_mhyper_adamf,39,84,14,336,0.10714285714285714,-0.03808277974766873,0.15743393842203357,0.017696587179186207,0.1342047813823365,-0.043823529411764706,False
mkg_w,mkgw_mhyper_adamf,40,90,15,360,0.4777777777777778,-0.012465703788900702,0.016324370673068175,-0.01340393016838759,0.057774190833353195,0.00015887404167517802,False
mkg_w,mkgw_mhyper_adamf,41,66,11,264,0.42424242424242425,-0.009257257528643793,0.12934262504733263,0.04417324378233939,0.024970237131773154,0.017952278065321802,True
mkg_w,mkgw_mhyper_adamf,44,78,13,312,0.44871794871794873,-0.004268992514877538,0.08038597620335229,0.05067308370284579,-0.021210877315290783,0.050654820822722844,False
mkg_w,mkgw_mhyper_adamf,46,66,11,264,0.13636363636363635,-0.03163930493608307,0.12248428185259527,0.06283156891432964,0.011863383448344061,-0.033161546551377076,False
mkg_w,mkgw_mhyper_adamf,48,192,32,768,0.5260416666666666,-0.013242597450452252,0.17031998228590375,0.12821349885690775,0.046904153007008786,0.017372467117176976,True
mkg_w,mkgw_mhyper_adamf,49,78,13,312,0.48717948717948717,0.0005698711176762358,0.1471527255725451,0.05753475373814687,0.010150321137028018,-0.011331665230656715,False
mkg_w,mkgw_mhyper_adamf,50,234,39,936,0.4230769230769231,-0.009785632528088149,0.2641609877128684,0.2529877175253443,-0.007765791070886319,0.03261758810012356,False
mkg_w,mkgw_mhyper_adamf,53,102,17,408,0.43137254901960786,-0.00010823001798651534,0.03458180326467587,0.02177113232961214,0.031011392712225833,0.05919473963849028,True
mkg_w,mkgw_mhyper_adamf,56,288,48,1152,0.3368055555555556,-0.009383872495521915,0.09025943903900646,0.05225013052658495,0.0050076277538655956,0.007633637030984282,True
mkg_w,mkgw_mhyper_adamf,57,72,12,288,0.5555555555555556,-0.009319626988682998,-0.00511944151213544,0.02802936631848124,0.0029616125324049836,-0.014100107709414571,False
mkg_w,mkgw_mhyper_adamf,58,198,33,792,0.46464646464646464,-0.0025951475999099302,0.21240001791702773,0.20244577095606253,0.002498615614330374,0.009524592888039028,True
mkg_w,mkgw_mhyper_adamf,59,162,27,648,0.4567901234567901,-0.007320553839879271,0.11670582850368574,0.09898221538998231,0.03151930622366303,-0.003377391171992638,False
mkg_w,mkgw_mhyper_adamf,61,102,17,408,0.39215686274509803,-0.017646359959369858,0.0850673734269706,-0.0029238028588941534,0.024439448081095383,-0.01651702177655901,False
mkg_w,mkgw_mhyper_adamf,64,96,16,384,0.19791666666666666,-0.03677788720263453,0.08313078073512492,0.1800427060981857,0.0017891465689614527,-0.026291788879627433,False
mkg_w,mkgw_mhyper_adamf,72,162,27,648,0.5802469135802469,0.002376840866744656,0.044726501774196396,0.01619713888800589,0.013218207568883172,0.003955647066925752,True
mkg_w,mkgw_mhyper_adamf,77,72,12,288,0.5416666666666666,0.00472922701167596,0.15748227727960712,0.054917963035333084,0.0142961926739677,-0.01208285403250687,False
mkg_w,mkgw_native_adamf,0,4974,829,24870,0.8116204262163249,-0.0021399233292447614,-0.015196301134914629,-0.00976322942367297,-0.006798198044621007,-0.0042231288127601695,False
mkg_w,mkgw_native_adamf,1,804,134,4020,0.3818407960199005,-0.013715086818192095,0.01303230550832308,0.004175944307527657,0.001499516748961205,-0.008986292887338387,False
mkg_w,mkgw_native_adamf,2,816,136,4080,0.5870098039215687,0.005518962173860944,0.019636843503406144,0.010116891823861274,0.0043719317594067275,0.006350712315791462,True
mkg_w,mkgw_native_adamf,3,852,142,4260,0.5375586854460094,-0.009994783326591771,0.04452207019302034,0.035541630005375524,-0.01983149638088519,-0.004603064654655574,False
mkg_w,mkgw_native_adamf,4,198,33,990,0.6515151515151515,-0.004695548846646405,-0.07872641635925097,0.0026912196676058264,-0.022154489283644052,-0.014349645909034918,False
mkg_w,mkgw_native_adamf,5,924,154,4620,0.5270562770562771,-0.01105085611779035,0.031722439775930415,0.004899626795847878,0.0033153254064026694,-0.02861444157049205,False
mkg_w,mkgw_native_adamf,6,348,58,1740,0.603448275862069,-0.011068278256066124,0.07494665870044416,0.014829029592647147,0.03534985871845664,0.009044034551452251,True
mkg_w,mkgw_native_adamf,7,720,120,3600,0.7125,-0.004435705462719147,0.05405214018483789,0.030795629348583986,-0.006479623398174372,-0.009173234252403104,False
mkg_w,mkgw_native_adamf,8,570,95,2850,0.18947368421052632,-0.03102389934395682,0.028387756923568683,-0.011252675000219564,0.10533519959189411,-0.026062477062855496,False
mkg_w,mkgw_native_adamf,9,426,71,2130,0.4694835680751174,-0.0023062181103070084,-0.006511130015020355,-0.013859797557054299,0.0072061611778390655,-0.005625580659574493,False
mkg_w,mkgw_native_adamf,10,252,42,1260,0.5079365079365079,-0.02199923565926258,0.07290464026617399,0.01679998676494482,0.0286394185770677,-0.033360540297351984,False
mkg_w,mkgw_native_adamf,11,1068,178,5340,0.6563670411985019,-0.010574763535684517,0.024276089860115892,0.013523262875577202,0.0035917829580388583,-0.019545873157227316,False
mkg_w,mkgw_native_adamf,12,108,18,540,0.6296296296296297,0.010382984776563665,-0.012650121110776779,0.033878923435364305,-0.007552644962237232,0.02578726559959726,False
mkg_w,mkgw_native_adamf,13,2772,462,13860,0.48484848484848486,0.0015500199191459294,-0.004966705766834831,0.04495979439082237,-0.046113592294234784,0.0017075305384559693,False
mkg_w,mkgw_native_adamf,14,456,76,2280,0.18859649122807018,-0.025045370778101293,0.06017327895642813,0.0054864890365594055,0.07623072383620988,-0.009233534977428013,False
mkg_w,mkgw_native_adamf,15,246,41,1230,0.4959349593495935,-0.004785579174359493,0.052694330658495596,0.029384576752846475,0.0148629542885369,0.0008677719815905821,True
mkg_w,mkgw_native_adamf,16,774,129,3870,0.5749354005167958,-0.013400472170583438,0.07716043221599916,0.05444841904334352,0.0026139620674477393,-0.001684950608396352,False
mkg_w,mkgw_native_adamf,18,1008,168,5040,0.6577380952380952,0.0014823819461609708,-0.008433363487222026,0.0032070169812964955,-0.003169576935091678,0.005270151448901284,False
mkg_w,mkgw_native_adamf,19,138,23,690,0.6014492753623188,-0.0066873110902465425,-0.05674046003107892,-0.03505399740532944,0.007173172788706161,-0.02343646548951953,False
mkg_w,mkgw_native_adamf,21,756,126,3780,0.43253968253968256,-0.010872158501859804,0.030349811169956723,0.019023274189421596,-0.022574552593286196,-0.003187116733862047,False
mkg_w,mkgw_native_adamf,22,1128,188,5640,0.4397163120567376,-0.018489332593983766,0.04145036163984555,0.003897357967674986,0.005811501021998289,-0.019144341445620213,False
mkg_w,mkgw_native_adamf,27,78,13,390,0.717948717948718,-0.00759403973102122,-0.007912498430853563,0.022024386206433544,-0.02560797885267424,-0.008097794806432032,False
mkg_w,mkgw_native_adamf,29,450,75,2250,0.38666666666666666,-0.0033562581752770004,-0.0009422796129962687,0.022543822471034036,-0.019321192760513334,0.007157235531919396,False
mkg_w,mkgw_native_adamf,30,750,125,3750,0.7466666666666667,-0.004576234871406395,0.030513803922243045,0.019235973275666784,0.006178257438357038,0.0007442438453382045,True
mkg_w,mkgw_native_adamf,31,450,75,2250,0.7377777777777778,-0.006299088398793238,0.04111792899279621,0.030464756470280407,0.01481195470768798,0.0021899991589542788,True
mkg_w,mkgw_native_adamf,32,486,81,2430,0.5740740740740741,-0.00727328708567016,0.02018618561949637,0.024426397819897194,0.00048486803861291783,-0.025768191202773585,False
mkg_w,mkgw_native_adamf,33,84,14,420,0.5595238095238095,0.007367013465981931,0.04325010429416189,0.06201749725126893,0.028185582249616536,0.011148348172604834,True
