dataset,pair_id,h1_status,feature,n_finite,n_positive,n_zero,n_harmful,positive_mean,positive_median,zero_mean,zero_median,harmful_mean,harmful_median,smd_positive_vs_rest,smd_harmful_vs_rest,smd_positive_vs_harmful,positive_auroc_increasing,positive_auroc_orientation_free,positive_auroc_lift_orientation_free,harmful_auroc_increasing,harmful_auroc_orientation_free,harmful_auroc_lift_orientation_free,positive_vs_harmful_auroc_increasing,positive_vs_harmful_auroc_orientation_free,positive_vs_harmful_auroc_lift_orientation_free,spearman_with_advantage
mkg_w,mkgw_mhyper_adamf,PASS,geometry_a_top5_mean,102624,43216,42871,16537,4.840411909390457,5.014346122741699,6.051774459716774,6.065221309661865,5.381056950711827,5.443986892700195,-0.602377121405346,-0.03727647509471593,-0.3068185778626566,0.3164022875887705,0.6835977124112296,0.18359771241122957,0.48788814199605646,0.5121118580039435,0.012111858003943543,0.40096855819840743,0.5990314418015925,0.09903144180159251,-0.21221899712259704
mkg_w,mkgw_mhyper_adamf,PASS,geometry_a_top1_top2_margin,102624,43216,42871,16537,0.43661832739189593,0.260965347290039,2.183042426720056,1.4297122955322266,0.7479470678387021,0.3334145545959472,-0.9365204632025728,-0.37867718441255144,-0.343323413503254,0.2622973948599401,0.7377026051400599,0.23770260514005992,0.41809509201165257,0.5819049079883474,0.08190490798834738,0.425749095596096,0.5742509044039039,0.07425090440390392,-0.26680249507170295
mkg_w,mkgw_mhyper_adamf,PASS,geometry_a_score_std,102624,43216,42871,16537,1.1598918248212318,1.0602906942367554,0.9860231674199108,0.9608349204063416,1.0473886005332178,0.9857172966003418,0.4449809636962947,-0.07655474589923068,0.2938383280925564,0.6070588422951948,0.6070588422951948,0.1070588422951948,0.47835011700191477,0.5216498829980852,0.021649882998085235,0.578069138355495,0.578069138355495,0.078069138355495,0.12583303519538358
mkg_w,mkgw_mhyper_adamf,PASS,geometry_b_top1,102624,43216,42871,16537,-0.9299511991135062,-0.7248554229736328,-0.47703437623209977,-0.599639892578125,-0.7355494377813036,-0.6461648941040039,-0.2504436667671962,-0.021113092072057485,-0.13175969531421744,0.4616922168406171,0.5383077831593829,0.03830778315938288,0.4947393909767901,0.5052606090232099,0.005260609023209906,0.48194931856776485,0.5180506814322352,0.018050681432235205,-0.05591542971858427
mkg_w,mkgw_mhyper_adamf,PASS,geometry_b_top5_mean,102624,43216,42871,16537,-1.3142422988476965,-1.0261586904525757,-1.7424631356932203,-1.62176513671875,-1.2917279194199969,-1.1057398319244385,0.20908352814548609,0.16981170834417586,-0.015775790826980895,0.5943230847085293,0.5943230847085293,0.09432308470852935,0.5465389391400112,0.5465389391400112,0.04653893914001117,0.5175606707503891,0.5175606707503891,0.01756067075038914,0.08255418926966453
mkg_w,mkgw_mhyper_adamf,PASS,geometry_b_top1_top2_margin,102624,43216,42871,16537,0.31522569613119533,0.17182970046997065,1.1317001579773884,0.7256031036376953,0.4687157421754495,0.198883056640625,-0.7637614556862415,-0.3009562005397591,-0.25991640414127903,0.3045000518132106,0.6954999481867894,0.1954999481867894,0.4215919335043058,0.5784080664956942,0.0784080664956942,0.45293823189881927,0.5470617681011807,0.04706176810118068,-0.197143318706461
mkg_w,mkgw_mhyper_adamf,PASS,geometry_b_score_std,102624,43216,42871,16537,2.039333074382944,1.4497556686401367,1.3235913655291367,1.25546395778656,1.6587687528442643,1.3413313627243042,0.4845578208096671,-0.01975987135672842,0.26580998892773205,0.6589551961433522,0.6589551961433522,0.15895519614335218,0.5107043510933897,0.5107043510933897,0.010704351093389741,0.582912396001051,0.582912396001051,0.08291239600105105,0.15650760592311014
mkg_w,mkgw_mhyper_adamf,PASS,geometry_top1_delta_a_minus_b,102624,43216,42871,16537,6.349255516383106,6.651448488235474,8.853623366884776,9.039690971374512,7.026205778965359,7.114614486694336,-0.7667259968165574,-0.21853885269995746,-0.2547585516112157,0.26537159809565697,0.734628401904343,0.23462840190434298,0.42268487769880514,0.5773151223011949,0.07731512230119486,0.4208430041386556,0.5791569958613444,0.07915699586134439,-0.2405442506748132
mkg_w,mkgw_mhyper_adamf,PASS,geometry_top5_delta_a_minus_b,102624,43216,42871,16537,6.154654209183096,6.426487445831299,7.794237595664922,7.877742767333984,6.672784868658198,6.8276448249816895,-0.5703518971387608,-0.13181601406931281,-0.20943432729928285,0.30167045862631003,0.69832954137369,0.19832954137368997,0.4447519448471865,0.5552480551528135,0.0552480551528135,0.4261731577112363,0.5738268422887637,0.07382684228876368,-0.19454478914700704
mkg_w,mkgw_mhyper_adamf,PASS,geometry_margin_delta_a_minus_b,102624,43216,42871,16537,0.1213926312616057,0.0616035461425781,1.0513422687426677,0.6399850845336914,0.2792313256632527,0.1036567687988281,-0.6661888569546973,-0.2819028148231428,-0.2002060461937693,0.34014480405731967,0.6598551959426804,0.15985519594268038,0.4407389546428763,0.5592610453571236,0.05926104535712362,0.4552827537486368,0.5447172462513632,0.044717246251363196,-0.1874364724450599
mkg_w,mkgw_mhyper_adamf,PASS,geometry_std_delta_a_minus_b,102624,43216,42871,16537,-0.879441248963979,-0.4559392929077148,-0.33756819805013705,-0.2954229116439819,-0.6113801528985507,-0.4000914692878723,-0.4552539839543281,-0.001852415893150715,-0.2361332798830138,0.34787562144069295,0.652124378559307,0.15212437855930705,0.4622835272882819,0.5377164727117181,0.037716472711718074,0.4388046205140562,0.5611953794859438,0.06119537948594378,-0.14479252099119486
mkg_w,mkgw_native_adamf,FAIL,geometry_direction_tail,128280,37260,50902,40118,0.387788513150832,0.0,0.6986365958115595,1.0,0.3521860511491101,0.0,-0.3210449649479359,-0.4419630093444529,0.07379072086128112,0.42092677690061925,0.5790732230993807,0.0790732230993807,0.3924617558665176,0.6075382441334825,0.10753824413348245,0.517801231000861,0.517801231000861,0.01780123100086095,0.037310639911372345
mkg_w,mkgw_native_adamf,FAIL,geometry_a_top1,128280,37260,50902,40118,-0.40045346872050214,-0.1452095508575439,0.09104657334282021,0.10107362270355219,-0.21585957221551266,-0.0640811920166015,-0.26403757130218425,-0.0748611613422681,-0.14326397384474773,0.43800987051031237,0.5619901294896876,0.06199012948968763,0.48423797149309017,0.5157620285069098,0.015762028506909775,0.4647665898615723,0.5352334101384277,0.035233410138427734,-0.048257360997039436
mkg_w,mkgw_native_adamf,FAIL,geometry_a_top5_mean,128280,37260,50902,40118,-0.787303269380751,-0.4429545402526855,-1.0589576565307468,-0.8099380731582642,-0.6362074551655081,-0.3899911046028137,0.06270319163623769,0.23390658633420652,-0.11744175759959247,0.5268586565533366,0.5268586565533366,0.026858656553336635,0.5677091381438798,0.5677091381438798,0.0677091381438798,0.47216102961909173,0.5278389703809083,0.027838970380908323,-0.04167226149681697
mkg_w,mkgw_native_adamf,FAIL,geometry_a_top1_top2_margin,128280,37260,50902,40118,0.309018155457317,0.1248371601104736,1.0174633449554669,0.6781392097473145,0.3336872531526306,0.1255483627319336,-0.5486155268872532,-0.5077451863193123,-0.04396720912557882,0.34526994592094157,0.6547300540790584,0.15473005407905838,0.35601428056917445,0.6439857194308256,0.1439857194308256,0.4885390108706958,0.5114609891293043,0.011460989129304266,-0.009005798530883267
mkg_w,mkgw_native_adamf,FAIL,geometry_a_score_std,128280,37260,50902,40118,1.4504556989420248,1.254113793373108,1.0850809077253596,0.9898688793182374,1.4555062002457948,1.2759199142456057,0.30832160836153155,0.3373334343986782,-0.007108243494264917,0.601496332552654,0.601496332552654,0.101496332552654,0.6329347767736637,0.6329347767736637,0.13293477677366372,0.4833127910747032,0.5166872089252967,0.016687208925296737,-0.03178030958812211
