split,scope,dataset,pair,confidence_bin,confidence_rank_start_percent,confidence_rank_end_percent,n,n_harmful,harm_rate,mean_delta_rr,mean_harm,mean_confidence,min_confidence,max_confidence
dev,pair,DB15K,M-Hyper + NativE,bottom_20pct,80,100,9506,464,0.04881127708815485,0.00026298336494290066,0.022551320837797182,0.03878034106644556,1.2683510172362134e-05,0.07717291224617562
dev,pair,DB15K,M-Hyper + AdaMF-MAT,top_20pct,0,20,9507,161,0.016934890080992953,0.0009224128110159258,0.059227030686591,0.5521488068229415,0.3962233240581239,0.9507367061680216
dev,pair,DB15K,M-Hyper + AdaMF-MAT,20_to_40pct,20,40,9506,1361,0.14317273301073005,0.0013310533782801574,0.04527780654996714,0.32055359000473593,0.2638148715251536,0.3961909497780203
dev,pair,DB15K,M-Hyper + AdaMF-MAT,40_to_60pct,40,60,9507,1652,0.17376669822236246,-0.00018559675913745787,0.05121310662444221,0.2189719525366586,0.1761993169192798,0.26380151940084695
dev,pair,DB15K,M-Hyper + AdaMF-MAT,60_to_80pct,60,80,9506,1258,0.1323374710709026,-0.002892535274670994,0.06743669205197479,0.13358094026867703,0.09022250688438282,0.1761984162466086
dev,pair,DB15K,M-Hyper + AdaMF-MAT,bottom_20pct,80,100,9506,614,0.06459078476751526,-0.001755964189818968,0.055831840869736325,0.045623697838601415,9.92937569999075e-06,0.09021000332615436
dev,pooled,Pooled,Pooled,top_20pct,0,20,29276,656,0.022407432709386527,0.005053640276250342,0.05390518200961452,0.6119268067347248,0.392474116060737,0.9927703703367905
dev,pooled,Pooled,Pooled,20_to_40pct,20,40,29275,4477,0.15292912040990606,0.0028290949871752928,0.03677945583121706,0.30511856356026124,0.24600465518539316,0.3924631286882966
dev,pooled,Pooled,Pooled,40_to_60pct,40,60,29275,5199,0.17759180187873613,0.0018356092944384523,0.03615173146070374,0.20320587972756496,0.16309358250507555,0.2460001046410396
dev,pooled,Pooled,Pooled,60_to_80pct,60,80,29275,4465,0.1525192143467122,-0.00022584129359002616,0.039657157033461246,0.12351187197802076,0.08352562481660997,0.16308887215358425
dev,pooled,Pooled,Pooled,bottom_20pct,80,100,29275,2268,0.07747224594363791,-0.0008460498576669178,0.03269244150342954,0.041911868539921904,4.730888566006897e-06,0.08352277757977422
test,pair,MKG-W,M-Hyper + NativE,top_20pct,0,20,5129,225,0.04386820042893352,0.014013789702110481,0.07814349323458741,0.7565479895360656,0.48021136884186766,0.9921487028061864
test,pair,MKG-W,M-Hyper + NativE,20_to_40pct,20,40,5129,1390,0.27100799376096707,0.00891913938751258,0.033729018229073766,0.3195578841999005,0.2442406060491612,0.48013273670735623
test,pair,MKG-W,M-Hyper + NativE,40_to_60pct,40,60,5129,1360,0.2651589003704426,0.003520931846166104,0.032279635249638186,0.1989930119121568,0.1597585904228862,0.24423416034320278
test,pair,MKG-W,M-Hyper + NativE,60_to_80pct,60,80,5129,1277,0.2489764086566582,0.002612980107326575,0.02944688171989969,0.12209128040977538,0.08466776001762477,0.15975257656544717
test,pair,MKG-W,M-Hyper + NativE,bottom_20pct,80,100,5128,874,0.1704368174726989,0.0002898892358636872,0.025713442385314998,0.04262878700049138,2.8215751808113865e-05,0.08466196707321605
test,pair,MKG-W,M-Hyper + AdaMF-MAT,top_20pct,0,20,5129,11,0.0021446675765256387,0.001684136557748576,0.04315955820137238,0.769157497681804,0.5191820538147838,0.9886606685045711
test,pair,MKG-W,M-Hyper + AdaMF-MAT,20_to_40pct,20,40,5129,503,0.09806979918112693,0.006516469258531401,0.01942032400091926,0.36688733247854605,0.26626639131228036,0.51917581608141
test,pair,MKG-W,M-Hyper + AdaMF-MAT,40_to_60pct,40,60,5129,794,0.15480600506921427,0.002129688861097014,0.02553174155084926,0.21329953702153037,0.16525388706892263,0.26626637892622596
test,pair,MKG-W,M-Hyper + AdaMF-MAT,60_to_80pct,60,80,5129,680,0.1325794501852213,-0.0002454478372824496,0.027073480893079448,0.12292185821206462,0.08121821895085302,0.16524350687518685
test,pair,MKG-W,M-Hyper + AdaMF-MAT,bottom_20pct,80,100,5128,290,0.05655226209048362,-0.0003809026105006372,0.03411163640495446,0.04066117559773431,2.897533030021826e-05,0.08111048118634279
test,pair,DB15K,M-Hyper + NativE,top_20pct,0,20,11883,138,0.011613228982580156,0.0011870520997237389,0.03216460078236475,0.4857559057086719,0.32600235607930617,0.9251835614105168
test,pair,DB15K,M-Hyper + NativE,20_to_40pct,20,40,11882,1645,0.1384447062784043,0.002901573319765574,0.03843896483749236,0.26685552133086227,0.22278071949264977,0.3259998361044649
test,pair,DB15K,M-Hyper + NativE,40_to_60pct,40,60,11883,1939,0.16317428258857192,0.0018186295499828583,0.035702144118048694,0.18640337180671482,0.15094790122729762,0.22277990141504178
test,pair,DB15K,M-Hyper + NativE,60_to_80pct,60,80,11882,1472,0.1238848678673624,0.00022368521427505196,0.03542135822878247,0.11421649924037046,0.07686569722301984,0.15093934549414612
test,pair,DB15K,M-Hyper + NativE,bottom_20pct,80,100,11882,591,0.049739101161420635,0.00022607823440142473,0.017071063805357157,0.03851222038853151,2.1155787788273983e-06,0.07685664920406376
test,pair,DB15K,M-Hyper + AdaMF-MAT,top_20pct,0,20,11883,223,0.018766304805183875,0.0019472330099513501,0.03734369619987596,0.5561352796720268,0.39742432986843723,0.9473067390647951
test,pair,DB15K,M-Hyper + AdaMF-MAT,20_to_40pct,20,40,11882,1786,0.15031139538798183,0.002700939173202558,0.03905451894660081,0.32053333788466526,0.2646486848221262,0.39738257078544303
test,pair,DB15K,M-Hyper + AdaMF-MAT,40_to_60pct,40,60,11883,2134,0.1795842800639569,-0.001837717369375636,0.05393285934824799,0.2203404964267751,0.17819771696382358,0.264632333045693
test,pair,DB15K,M-Hyper + AdaMF-MAT,60_to_80pct,60,80,11882,1578,0.13280592492846321,-0.002352618804145885,0.05916629435577273,0.13549671654641224,0.09214933489555399,0.17819580777833477
test,pair,DB15K,M-Hyper + AdaMF-MAT,bottom_20pct,80,100,11882,744,0.0626157212590473,-0.0019518617318346535,0.06166733002922813,0.0464745211547419,6.652203591084316e-06,0.09214773659115472
test,pooled,Pooled,Pooled,top_20pct,0,20,34023,758,0.022279046527349147,0.003992299920763653,0.055711118186742355,0.601607579397009,0.38759799359197866,0.9921487028061864
test,pooled,Pooled,Pooled,20_to_40pct,20,40,34022,5210,0.15313620598436306,0.0034950775059205386,0.03487898173588755,0.30301771812158645,0.245131410595272,0.38758957414867
test,pooled,Pooled,Pooled,40_to_60pct,40,60,34023,6134,0.1802898039561473,0.0008769460467938273,0.04057346225240162,0.20296818412517503,0.16312116683360167,0.24513119577623643
test,pooled,Pooled,Pooled,60_to_80pct,60,80,34022,5076,0.14919757803774028,-0.00023015690040029192,0.039477974967517905,0.1235303053006542,0.08367672106695401,0.16311482561458102
test,pooled,Pooled,Pooled,bottom_20pct,80,100,34022,2476,0.07277643877491036,-0.0005472341254730923,0.03456691195980391,0.041997659310607616,2.1155787788273983e-06,0.08367494146327825
