pair,label,split,method,n,active_n,harm_n,benefit_n,mrr,utility,harm,harm_active,intervention,mean_loss,mean_gain,movement
db15k_mhyper_adamf,D-A,dev_oof,Shrink-fixed,47532,2043.0,1126.0,814.0,0.3826727439034868,8.573087937770841e-05,0.023689304047799377,0.5511502692119432,0.04298157031052764,0.00016232196601675297,0.00024805284539446143,0.0055488933770933314
db15k_mhyper_adamf,D-A,dev_oof,Radius-1,47532,173.0,59.0,94.0,0.38267641484609033,8.940182198116809e-05,0.0012412690398047631,0.34104046242774566,0.003639653286207187,0.0001471552573975344,0.00023655707937870248,0.002165909282167803
db15k_mhyper_adamf,D-A,dev_oof,No-gate,47532,19200.0,3463.0,7709.0,0.38048731248585954,-0.0020997005382496045,0.07285618109904907,0.18036458333333333,0.4039383993940924,0.00485612764532256,0.0027564271070729513,0.037279096187831914
db15k_mhyper_adamf,D-A,dev_oof,Global,47532,0.0,0.0,0.0,0.38258701302410913,0.0,0.0,,0.0,0.0,0.0,0.0
db15k_mhyper_adamf,D-A,test,ADC,59412,267.0,56.0,174.0,0.37477821237709275,0.00021155358931433234,0.0009425705244731704,0.20973782771535582,0.0044940416077560085,4.833164171053641e-05,0.00025988523102486873,0.0013869252002962366
db15k_mhyper_adamf,D-A,test,Center-0.5,59412,2164.0,1322.0,728.0,0.3748762613758932,0.00030960258811480194,0.0222513970241702,0.61090573012939,0.03642361812428466,0.00014650198334501295,0.0004561045714598148,0.009284319666060713
db15k_mhyper_adamf,D-A,test,Linear-p,59412,267.0,54.0,175.0,0.374669978752837,0.00010331996505860034,0.0009089072914562715,0.20224719101123595,0.0044940416077560085,3.796006480756178e-05,0.00014128002986616212,0.0007414327071971994
db15k_mhyper_adamf,D-A,test,Clip-g,59412,267.0,55.0,176.0,0.3748063301064458,0.00023967131866744614,0.0009257389079647209,0.20599250936329588,0.0044940416077560085,4.747616001664479e-05,0.0002871474786840909,0.0015771224668417155
db15k_mhyper_adamf,D-A,test,Shrink-fixed,59412,2164.0,1278.0,765.0,0.3748143271299402,0.0002476683421617627,0.021510805897798423,0.5905730129390019,0.03642361812428466,0.00010858453957396304,0.00035625288173572566,0.006363192621019303
db15k_mhyper_adamf,D-A,test,Radius-1,59412,267.0,69.0,165.0,0.37489030759231134,0.0003236488045329648,0.0011613815390830134,0.25842696629213485,0.0044940416077560085,5.510668190804716e-05,0.0003787554864410119,0.002717464485289168
db15k_mhyper_adamf,D-A,test,No-gate,59412,25756.0,5086.0,10790.0,0.3715776448843108,-0.0029890139034676015,0.08560560156197401,0.1974685510172387,0.4335151147916246,0.006374246934242319,0.0033852330307747223,0.046461994209925035
