pair,label,split,comparator,regime,adc_n,adc_active_n,adc_harm_n,adc_benefit_n,adc_mrr,adc_utility,adc_harm,adc_harm_active,adc_intervention,adc_mean_loss,adc_mean_gain,adc_movement,other_n,other_active_n,other_harm_n,other_benefit_n,other_mrr,other_utility,other_harm,other_harm_active,other_intervention,other_mean_loss,other_mean_gain,other_movement,native_adc_active_n,native_other_active_n,match_active_n,match_strata,zero_quota_strata,adc_fraction_retained,other_fraction_retained,delta,lo,hi,clusters,cluster_order_sha256,seed,replicates,rng,quantile,observations_per_cluster
mkgw_mhyper_native,W-N,test,Radius-1,Native,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,4577.0,4910.0,0.3670654391386874,0.0024003164813723374,0.17848229605365779,0.2818349753694581,0.6332865387615036,0.008828544331635334,0.011228860813007663,0.2460400093589143,16240.0,16240.0,16240,69,25,1.0,1.0,4.633218723698338e-05,-0.0008602904837024137,0.0009583615525672208,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Radius-1,Matched-I,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,4577.0,4910.0,0.3670654391386874,0.0024003164813723374,0.17848229605365779,0.2818349753694581,0.6332865387615036,0.008828544331635334,0.011228860813007663,0.2460400093589143,16240.0,16240.0,16240,69,25,1.0,1.0,4.633218723698338e-05,-0.0008602904837024137,0.0009583615525672208,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,No-gate,Native,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,22848.0,5804.0,6679.0,0.36710139886156734,0.002436276204252291,0.22632974574949305,0.2540266106442577,0.8909686476368741,0.007404614326013103,0.009840890530265397,0.13646077055061714,16240.0,22848.0,16240,69,25,1.0,0.7107843137254902,1.0372464357029608e-05,-0.0004747032845076131,0.00047996031904239605,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,No-gate,Matched-I,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,4143.085077265743,4858.831910854582,0.3664456287767152,0.001780506119400156,0.161561576870447,0.2551160761863142,0.6332865387615036,0.00523477066797888,0.007015276787379044,0.09932491749244808,16240.0,22848.0,16240,69,25,1.0,0.7107843137254902,0.0006661425492091662,0.0002376096110844764,0.0010861354017956458,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,Native,25656,4998.0,961.0,3367.0,0.35402586226857363,0.0012038969018035226,0.03745712503897724,0.19227691076430573,0.19480823199251637,0.001475984536274516,0.002679881438078039,0.03816651075771745,25656,13285.0,2938.0,5036.0,0.3461152713028153,-0.0067066940639548475,0.11451512316806985,0.22115167482122694,0.5178125974430933,0.015173298619017006,0.00846660455506217,0.22359876831930148,4998.0,13285.0,4998,150,33,1.0,0.37621377493413627,0.007910590965758402,0.00647512256627897,0.009310883065590282,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,Matched-I,25656,4998.0,961.0,3367.0,0.35402586226857363,0.0012038969018035226,0.03745712503897724,0.19227691076430573,0.19480823199251637,0.001475984536274516,0.002679881438078039,0.03816651075771745,25656,4998.0,1284.6411170921983,2359.8616215234238,0.3516457904568044,-0.0011761749099657398,0.05007176165778759,0.25703103583277276,0.19480823199251637,0.004467235056898896,0.0032910601469331607,0.10436032608054964,4998.0,13285.0,4998,150,33,1.0,0.37621377493413627,0.0023800718117692604,0.001718662446988086,0.0030501866857459924,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,dev_oof,Linear-p,Native,25656,4998.0,961.0,3367.0,0.35402586226857363,0.0012038969018035226,0.03745712503897724,0.19227691076430573,0.19480823199251637,0.001475984536274516,0.002679881438078039,0.03816651075771745,25656,4998.0,816.0,3311.0,0.3534644509210628,0.0006424855542927077,0.031805425631431246,0.16326530612244897,0.19480823199251637,0.0009605918332525039,0.0016030773875452123,0.02024477705020262,4998.0,4998.0,4998,150,33,1.0,1.0,0.0005614113475108148,0.0002391197971701221,0.0008901893046410372,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,dev_oof,Linear-p,Matched-I,25656,4998.0,961.0,3367.0,0.35402586226857363,0.0012038969018035226,0.03745712503897724,0.19227691076430573,0.19480823199251637,0.001475984536274516,0.002679881438078039,0.03816651075771745,25656,4998.0,816.0,3311.0,0.3534644509210628,0.0006424855542927077,0.031805425631431246,0.16326530612244897,0.19480823199251637,0.0009605918332525039,0.0016030773875452123,0.02024477705020262,4998.0,4998.0,4998,150,33,1.0,1.0,0.0005614113475108148,0.0002391197971701221,0.0008901893046410372,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,dev_oof,Clip-g,Native,25656,4998.0,961.0,3367.0,0.35402586226857363,0.0012038969018035226,0.03745712503897724,0.19227691076430573,0.19480823199251637,0.001475984536274516,0.002679881438078039,0.03816651075771745,25656,4998.0,977.0,3356.0,0.35417168061404836,0.0013497152472782417,0.03808076083567197,0.19547819127651062,0.19480823199251637,0.001549209172896347,0.0028989244201745898,0.042707358902401044,4998.0,4998.0,4998,150,33,1.0,1.0,-0.00014581834547471964,-0.0003284648042578473,1.7738678942254077e-05,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,dev_oof,Clip-g,Matched-I,25656,4998.0,961.0,3367.0,0.35402586226857363,0.0012038969018035226,0.03745712503897724,0.19227691076430573,0.19480823199251637,0.001475984536274516,0.002679881438078039,0.03816651075771745,25656,4998.0,977.0,3356.0,0.35417168061404836,0.0013497152472782417,0.03808076083567197,0.19547819127651062,0.19480823199251637,0.001549209172896347,0.0028989244201745898,0.042707358902401044,4998.0,4998.0,4998,150,33,1.0,1.0,-0.00014581834547471964,-0.0003284648042578473,1.7738678942254077e-05,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
