pair,label,split,method,seed,direction,n,active_n,harm_n,benefit_n,mrr,utility,harm,harm_active,intervention,mean_loss,mean_gain,movement
mkgw_mhyper_native,W-N,test,Linear-p,3,head,4274,2870.0,750.0,1397.0,0.19351268575218455,0.0003952405572056612,0.1754796443612541,0.2613240418118467,0.6715021057557323,0.002873578738114354,0.003268819295320015,0.07163079082826376
mkgw_mhyper_native,W-N,test,Linear-p,3,tail,4274,2407.0,401.0,240.0,0.5374769218543584,0.0034688415685661237,0.09382311651848385,0.16659742417947654,0.5631726719700515,0.005663631538655485,0.009132473107221607,0.05839962564342549
mkgw_mhyper_native,W-N,test,Clip-g,1,head,4274,2877.0,796.0,1460.0,0.1949453032580435,0.0009200324812689411,0.18624239588207767,0.27667709419534237,0.6731399157697707,0.0055596931900315765,0.006479725671300517,0.15090079550772106
mkgw_mhyper_native,W-N,test,Clip-g,1,tail,4274,2420.0,427.0,221.0,0.5418135761847096,0.0018472451663438172,0.09990641085634067,0.17644628099173554,0.5662143191389799,0.00659376518342714,0.008441010349770956,0.11959522695367349
mkgw_mhyper_native,W-N,test,Clip-g,2,head,4274,2698.0,803.0,1331.0,0.19306307008995943,0.0017865659765661584,0.18788020589611604,0.29762787249814676,0.6312587739822181,0.003542256510101871,0.005328822486668029,0.12064810481984127
mkgw_mhyper_native,W-N,test,Clip-g,2,tail,4274,2968.0,638.0,274.0,0.5396777293552508,0.004080624800665294,0.14927468413664016,0.21495956873315364,0.6944314459522696,0.00817191793039279,0.012252542731058086,0.14895882077679
mkgw_mhyper_native,W-N,test,Clip-g,3,head,4274,2870.0,844.0,1421.0,0.19303932051592448,-7.812467905439769e-05,0.19747309312119793,0.2940766550522648,0.6715021057557323,0.005071461595514519,0.004993336916460122,0.14199812821712693
mkgw_mhyper_native,W-N,test,Clip-g,3,tail,4274,2407.0,434.0,271.0,0.5399570265803278,0.005948946294535612,0.10154422087037904,0.1803074366431242,0.5631726719700515,0.005383011508413689,0.0113319578029493,0.11871782873186719
mkgw_mhyper_native,W-N,test,Shrink-fixed,1,head,4274,2614.0,585.0,1371.0,0.1938642287121724,-0.0001610420646021646,0.1368741226017782,0.22379495026778884,0.6116050538137576,0.0024992189889767864,0.0023381769243746215,0.045168460458587016
mkgw_mhyper_native,W-N,test,Shrink-fixed,1,tail,4274,1296.0,170.0,105.0,0.5405122632348018,0.0005459322164360694,0.0397753860552176,0.13117283950617284,0.3032288254562471,0.003246764726067749,0.0037926969425038184,0.01650678521291528
mkgw_mhyper_native,W-N,test,Shrink-fixed,2,head,4274,2326.0,522.0,1180.0,0.19244270416762,0.0011662000542267117,0.12213383247543284,0.2244196044711952,0.544220870379036,0.0009542108870289968,0.0021204109412557084,0.031375760411792394
mkgw_mhyper_native,W-N,test,Shrink-fixed,2,tail,4274,1588.0,230.0,99.0,0.5359800973730031,0.00038299281841756784,0.05381375760411792,0.14483627204030228,0.371548900327562,0.0034494733469977805,0.0038324661654153486,0.020121665886757158
mkgw_mhyper_native,W-N,test,Shrink-fixed,3,head,4274,2591.0,587.0,1328.0,0.19394303728485227,0.0008255920898733754,0.13734206832007487,0.22655345426476264,0.6062236780533458,0.001555866064950109,0.0023814581548234843,0.044478240524099405
mkgw_mhyper_native,W-N,test,Shrink-fixed,3,tail,4274,1341.0,189.0,145.0,0.5353172084301736,0.0013091281443813134,0.044220870379036034,0.14093959731543623,0.3137576041179223,0.003389059448565355,0.004698187592946668,0.01695133364529713
mkgw_mhyper_native,W-N,test,Radius-1,1,head,4274,2877.0,972.0,1396.0,0.19197245444280867,-0.0020528163339659034,0.2274216190921853,0.337851929092805,0.6731399157697707,0.011392751746617327,0.009339935412651426,0.28538839494618584
mkgw_mhyper_native,W-N,test,Radius-1,1,tail,4274,2420.0,495.0,253.0,0.5426679980373085,0.002701667018942648,0.11581656527842771,0.20454545454545456,0.5662143191389799,0.008404404543630357,0.011106071562573004,0.21127749181095043
mkgw_mhyper_native,W-N,test,Radius-1,2,head,4274,2698.0,924.0,1302.0,0.19184940392045902,0.0005728998070657408,0.21619092185306504,0.3424759080800593,0.6312587739822181,0.007122436177706814,0.0076953359847725545,0.2305802526906887
mkgw_mhyper_native,W-N,test,Radius-1,2,tail,4274,2968.0,703.0,300.0,0.5406762190157948,0.005079114461209184,0.16448291998128217,0.23685983827493262,0.6944314459522696,0.010402472492763116,0.015481586953972303,0.25876228357510556
mkgw_mhyper_native,W-N,test,Radius-1,3,head,4274,2870.0,1007.0,1371.0,0.19247733768775965,-0.0006401075072192308,0.23561066916237716,0.35087108013937285,0.6715021057557323,0.009909733491846196,0.00926962598462696,0.2794922788956476
mkgw_mhyper_native,W-N,test,Radius-1,3,tail,4274,2407.0,476.0,288.0,0.5427492217279939,0.008741141442201584,0.11137108095460926,0.19775654341503948,0.5631726719700515,0.005739467537248158,0.014480608979449743,0.2107393542349092
mkgw_mhyper_native,W-N,test,No-gate,1,head,4274,3849.0,1066.0,1822.0,0.19607587058369008,0.0020505998069155337,0.24941506785212916,0.27695505326058717,0.900561534861956,0.0055553264090659514,0.007605926215981487,0.14798783341132407
mkgw_mhyper_native,W-N,test,No-gate,1,tail,4274,3706.0,765.0,457.0,0.5421002174349994,0.0021338864166335902,0.17898923724847918,0.20642201834862386,0.8671034160037435,0.008763384818752969,0.010897271235386561,0.12656761815629378
