split,dataset,pair,beta,beta_role,is_dev_locked_beta,seed,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + AdaMF-MAT,0.3,formal_dev_candidate,False,3,pooled,8552,0.35491031203354134,0.35289554302181275,0.0020147690117286086,0.063844714686623,0.01785133695208402,0.2445042095416277,0.35465388213283444,0.24462114125350795,0.04684869036482694,0.19999999999999996,0.49812909260991584,546,2091,5915
dev,MKG-W,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,1,pooled,8552,0.3547590662995208,0.3527399793479298,0.002019086951591059,0.05963517305893358,0.01895668054986525,0.23550046772684752,0.33056594948550044,0.254911131898971,0.04814078578110383,0.19999999999999996,0.5266604303086997,510,2014,6028
dev,MKG-W,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,2,pooled,8552,0.3545924189672534,0.35283037373056747,0.0017620452366859166,0.06980823199251637,0.02453384513186547,0.2681244153414406,0.38528999064546304,0.2257951356407858,0.05905636108512628,0.19999999999999996,0.48947614593077643,597,2293,5662
dev,MKG-W,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,3,pooled,8552,0.3549543505092111,0.35289554302181275,0.0020588074873983163,0.06653414405986903,0.022036788826890013,0.2460243217960711,0.35465388213283444,0.24462114125350795,0.05475912067352665,0.25,0.49812909260991584,569,2104,5879
dev,MKG-W,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,1,pooled,8552,0.35495665215911254,0.3527399793479298,0.002216672811182745,0.06127221702525725,0.021241908221291426,0.23573433115060805,0.33056594948550044,0.254911131898971,0.05478835360149672,0.19999999999999996,0.5266604303086997,524,2016,6012
dev,MKG-W,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,2,pooled,8552,0.3550151116677731,0.35283037373056747,0.0021847379372055484,0.07226379794200187,0.02341463603263606,0.2684752104770814,0.38528999064546304,0.2257951356407858,0.06751637043966321,0.25,0.48947614593077643,618,2296,5638
dev,MKG-W,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,3,pooled,8552,0.3552265822785265,0.35289554302181275,0.0023310392567137527,0.06840505144995322,0.02247888366821139,0.247310570626754,0.35465388213283444,0.24462114125350795,0.06265201122544434,0.25,0.49812909260991584,585,2115,5852
dev,MKG-W,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,1,pooled,8552,0.3552859959943827,0.3527399793479298,0.002546016646452939,0.06255846585594013,0.02183211308837367,0.2362020579981291,0.33056594948550044,0.254911131898971,0.0613833021515435,0.25,0.5266604303086997,535,2020,5997
dev,MKG-W,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,2,pooled,8552,0.3551195937887301,0.35283037373056747,0.0022892200581625458,0.07413470533208606,0.023687012660109523,0.26894293732460245,0.38528999064546304,0.2257951356407858,0.07545603367633302,0.30000000000000004,0.48947614593077643,634,2300,5618
dev,MKG-W,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,3,pooled,8552,0.3554474608221604,0.35289554302181275,0.0025519178003475867,0.06934050514499532,0.02372587573436358,0.24766136576239475,0.35465388213283444,0.24462114125350795,0.07011810102899906,0.30000000000000004,0.49812909260991584,593,2118,5841
dev,MKG-W,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,1,pooled,8552,0.35533492081242013,0.3527399793479298,0.0025949414644903706,0.0641955098222638,0.024237355547341966,0.2365528531337699,0.33056594948550044,0.254911131898971,0.06817118802619271,0.30000000000000004,0.5266604303086997,549,2023,5980
dev,MKG-W,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,2,pooled,8552,0.35511171184409057,0.35283037373056747,0.00228133811352308,0.0746024321796071,0.025081168306234105,0.2688260056127222,0.38528999064546304,0.2257951356407858,0.08382249766136575,0.30000000000000004,0.48947614593077643,638,2299,5615
dev,MKG-W,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,3,pooled,8552,0.3554214348122007,0.35289554302181275,0.0025258917903879068,0.07132834424695977,0.02668661845638117,0.24801216089803554,0.35465388213283444,0.24462114125350795,0.07781805425631431,0.30000000000000004,0.49812909260991584,610,2121,5821
dev,MKG-W,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,1,pooled,8552,0.3572949388688416,0.3527399793479298,0.004554959520911862,0.07764265668849392,0.03140902513479813,0.2333956969130028,0.33056594948550044,0.254911131898971,0.13661131898971002,0.55,0.5266604303086997,664,1996,5892
dev,MKG-W,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,2,pooled,8552,0.35624674394738187,0.35283037373056747,0.003416370216814325,0.09413002806361086,0.037042275371990466,0.26496725912067354,0.38528999064546304,0.2257951356407858,0.1679665575304022,0.65,0.48947614593077643,805,2266,5481
dev,MKG-W,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,3,pooled,8552,0.3585197341539866,0.35289554302181275,0.0056241911321737725,0.09144059869036483,0.03626367435257692,0.24123012160898036,0.35465388213283444,0.24462114125350795,0.15624415341440598,0.65,0.49812909260991584,782,2063,5707
dev,DB15K,M-Hyper + NativE,0.05,formal_dev_candidate,False,1,pooled,15844,0.3841500249304971,0.3841293779489628,2.0646981534295537e-05,0.013127997980308004,0.015494538948069975,0.036354455945468316,0.06784902802322645,0.0,0.003392451401161326,0.050000000000000044,0.5016409997475385,208,576,15060
dev,DB15K,M-Hyper + NativE,0.05,formal_dev_candidate,False,2,pooled,15844,0.38213245409347285,0.3820373224646448,9.513162882806863e-05,0.004986114617520828,0.010244840244011448,0.013759151729361272,0.02638222671042666,0.0,0.0013191113355213342,0.0,0.5325675334511487,79,218,15547
dev,DB15K,M-Hyper + NativE,0.05,formal_dev_candidate,False,3,pooled,15844,0.38168057106273096,0.3815943386587199,8.623240401109077e-05,0.010414036859378945,0.009320752319382614,0.025877303711184043,0.049040646301439034,0.0,0.002452032315071954,0.0,0.5077000757384499,165,410,15269
dev,DB15K,M-Hyper + NativE,0.1,formal_dev_candidate,False,1,pooled,15844,0.3843778824072549,0.3841293779489628,0.00024850445829213507,0.05655137591517294,0.01496422881782543,0.14604897753092652,0.312736682655895,0.0,0.01565576874526636,0.050000000000000044,0.5016409997475385,896,2314,12634
dev,DB15K,M-Hyper + NativE,0.1,formal_dev_candidate,False,2,pooled,15844,0.3821594755770902,0.3820373224646448,0.00012215311244541562,0.04493814693259278,0.01528235375661549,0.12130775056803837,0.2611714213582429,0.0,0.013071194142893221,0.050000000000000044,0.5325675334511487,712,1922,13210
dev,DB15K,M-Hyper + NativE,0.1,formal_dev_candidate,False,3,pooled,15844,0.38189978493965276,0.3815943386587199,0.00030544628093285626,0.05585710679121434,0.014638419572229132,0.14907851552638224,0.3013759151729361,0.0,0.015081418833627885,0.050000000000000044,0.5077000757384499,885,2362,12597
dev,DB15K,M-Hyper + NativE,0.15,formal_dev_candidate,False,1,pooled,15844,0.3843769499862295,0.3841293779489628,0.0002475720372667568,0.06993183539510224,0.018870512675398646,0.1726205503660692,0.3826685180509972,0.0,0.022525877303711198,0.09999999999999998,0.5016409997475385,1108,2735,12001
dev,DB15K,M-Hyper + NativE,0.15,formal_dev_candidate,False,2,pooled,15844,0.38223236488011303,0.3820373224646448,0.0001950424154682584,0.05686695278969957,0.014281690725563694,0.15191870739712193,0.33672052511991923,0.0,0.018155137591517306,0.050000000000000044,0.5325675334511487,901,2407,12536
dev,DB15K,M-Hyper + NativE,0.15,formal_dev_candidate,False,3,pooled,15844,0.3821112382174306,0.3815943386587199,0.0005168995587107448,0.06702852814945721,0.01718748385353151,0.18265589497601617,0.3733274425650088,0.0,0.02111840444332241,0.050000000000000044,0.5077000757384499,1062,2894,11888
dev,DB15K,M-Hyper + NativE,0.2,formal_dev_candidate,False,1,pooled,15844,0.3845684635091514,0.3841293779489628,0.0004390855601886361,0.07750568038374148,0.02231187935985429,0.19029285533956072,0.4137212825044181,0.0,0.030519439535470844,0.09999999999999998,0.5016409997475385,1228,3015,11601
dev,DB15K,M-Hyper + NativE,0.2,formal_dev_candidate,False,2,pooled,15844,0.3826586566844682,0.3820373224646448,0.0006213342198234799,0.0634940671547589,0.015519008141242288,0.171042665993436,0.37055036606917446,0.0,0.025123074981065394,0.09999999999999998,0.5325675334511487,1006,2710,12128
dev,DB15K,M-Hyper + NativE,0.2,formal_dev_candidate,False,3,pooled,15844,0.3823526973302605,0.3815943386587199,0.0007583586715406453,0.07548598838677102,0.021406902590881648,0.19982327695026508,0.4062105528906842,0.0,0.02934549356223176,0.09999999999999998,0.5077000757384499,1196,3166,11482
dev,DB15K,M-Hyper + NativE,0.25,formal_dev_candidate,False,1,pooled,15844,0.3847804368642433,0.3841293779489628,0.000651058915280473,0.08369098712446352,0.025316335627582467,0.20007573844988638,0.4315829336026256,0.0,0.03850037869224943,0.15000000000000002,0.5016409997475385,1326,3170,11348
dev,DB15K,M-Hyper + NativE,0.25,formal_dev_candidate,False,2,pooled,15844,0.38269853912749907,0.3820373224646448,0.0006612166628543088,0.06949002777076496,0.01976850246334492,0.18316081797525877,0.39005301691492045,0.0,0.03153875284019187,0.09999999999999998,0.5325675334511487,1101,2902,11841
dev,DB15K,M-Hyper + NativE,0.25,formal_dev_candidate,False,3,pooled,15844,0.38228187821862136,0.3815943386587199,0.0006875395599015487,0.08179752587730371,0.02681410978348756,0.21030042918454936,0.4236303963645544,0.0,0.036278717495581925,0.09999999999999998,0.5077000757384499,1296,3332,11216
