split,dataset,pair,beta,beta_role,is_dev_locked_beta,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,25656,0.36345645703555957,0.35635605747169213,0.007100399563867375,0.2381119426255067,0.03680011846503911,0.34939195509822263,0.971000935453695,0.0,0.3161852977860929,0.5499999999999999,0.32752572497661364,6109,8964,10583
dev,MKG-W,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,25656,0.353366790306566,0.35282196536677,0.0005448249397959889,0.013836919239164329,0.0035958711576307926,0.08002026816339258,0.10703149360773308,0.24177580293108825,0.005351574680386659,0.050000000000000044,0.5047552229497974,355,2053,23248
dev,MKG-W,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,25656,0.35360759644317374,0.35282196536677,0.0007856310764037404,0.046188026192703464,0.009117086827925018,0.2118412846897412,0.3117399438727783,0.24177580293108825,0.016485422513252274,0.050000000000000044,0.5047552229497974,1185,5435,19036
dev,MKG-W,M-Hyper + AdaMF-MAT,0.15,formal_dev_candidate,False,25656,0.35372839145912616,0.35282196536677,0.0009064260923561724,0.05519176800748363,0.011482416036035769,0.23787807920174617,0.356836607421266,0.24177580293108825,0.023374649204864366,0.09999999999999998,0.5047552229497974,1416,6103,18137
dev,MKG-W,M-Hyper + AdaMF-MAT,0.2,formal_dev_candidate,False,25656,0.354122645333811,0.35282196536677,0.0013006799670409862,0.05749142500779545,0.013609937313409346,0.24173682569379482,0.356836607421266,0.24177580293108825,0.03042368256937949,0.09999999999999998,0.5047552229497974,1475,6202,17979
dev,MKG-W,M-Hyper + AdaMF-MAT,0.25,formal_dev_candidate,False,25656,0.3542579872651139,0.35282196536677,0.0014360218983438691,0.06006392266916121,0.017662064023091215,0.24485500467726848,0.356836607421266,0.24177580293108825,0.03795408481446835,0.15000000000000002,0.5047552229497974,1541,6282,17833
dev,MKG-W,M-Hyper + AdaMF-MAT,0.3,formal_dev_candidate,False,25656,0.35463425056829156,0.35282196536677,0.0018122852015215647,0.062324602432179604,0.019471632797362425,0.2475444340505145,0.356836607421266,0.24177580293108825,0.046119816027439975,0.19999999999999996,0.5047552229497974,1599,6351,17706
dev,MKG-W,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,25656,0.35476861192532844,0.35282196536677,0.0019466465585584304,0.065325849703773,0.02198898894191848,0.24988306828811974,0.356836607421266,0.24177580293108825,0.05398542251325226,0.19999999999999996,0.5047552229497974,1676,6411,17569
dev,MKG-W,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,25656,0.35506611536847066,0.35282196536677,0.002244150001700682,0.06731368880573745,0.022438420337017633,0.25050670408481446,0.356836607421266,0.24177580293108825,0.061652245088868095,0.25,0.5047552229497974,1727,6427,17502
dev,MKG-W,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,25656,0.3552843502017577,0.35282196536677,0.0024623848349876903,0.06867789211100717,0.023136884698789415,0.2509354536950421,0.356836607421266,0.24177580293108825,0.0689858122856252,0.30000000000000004,0.5047552229497974,1762,6438,17456
