split,dataset,pair,beta,beta_role,is_dev_locked_beta,seed,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,pooled,tail,12828,0.5280500687552216,0.519384359724286,0.008665709030935678,0.18989710009354538,0.056097382888816376,0.22256002494543187,0.9668693483005925,0.0,0.3105316495166822,0.44999999999999996,0.4960243217960711,2436,2855,7537
dev,MKG-W,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,pooled,head,12828,0.18931321738821072,0.1891354783297105,0.00017773905850020913,0.014967259120673527,0.0008418527086874679,0.09923604614904896,0.12270034299968818,0.28710632990333645,0.006135017149984415,0.050000000000000044,0.3604614904895541,192,1273,11363
dev,MKG-W,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,pooled,tail,12828,0.5174203632249212,0.5165084524038295,0.0009119108210917687,0.012706579357655129,0.006839868349024157,0.0608044901777362,0.09136264421577799,0.19644527595884004,0.004568132210788904,0.050000000000000044,0.6490489554100405,163,780,11885
dev,MKG-W,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,pooled,head,12828,0.1896207163830143,0.1891354783297105,0.0004852380533038277,0.06454630495790459,0.004229314636781943,0.2963049579045837,0.4087932647333957,0.28710632990333645,0.02066573121297164,0.050000000000000044,0.3604614904895541,828,3801,8199
dev,MKG-W,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,pooled,tail,12828,0.5175944765033332,0.5165084524038295,0.001086024099503653,0.027829747427502338,0.0204534324141056,0.12737761147489865,0.2146866230121609,0.19644527595884004,0.012305113813532905,0.050000000000000044,0.6490489554100405,357,1634,10837
dev,MKG-W,M-Hyper + AdaMF-MAT,0.15,formal_dev_candidate,False,pooled,head,12828,0.18980317779459088,0.1891354783297105,0.0006676994648803739,0.0768631119426255,0.00565557950779359,0.3326317430620518,0.4680386654193951,0.28710632990333645,0.029568132210788915,0.09999999999999998,0.3604614904895541,986,4267,7575
dev,MKG-W,M-Hyper + AdaMF-MAT,0.15,formal_dev_candidate,False,pooled,tail,12828,0.5176536051236615,0.5165084524038295,0.0011451527198319707,0.03352042407234175,0.024843487703121326,0.1431244153414406,0.2456345494231369,0.19644527595884004,0.017181166198939824,0.09999999999999998,0.6490489554100405,430,1836,10562
dev,MKG-W,M-Hyper + AdaMF-MAT,0.2,formal_dev_candidate,False,pooled,head,12828,0.18983508994214196,0.1891354783297105,0.0006996116124314682,0.080059245400686,0.007450346446748482,0.3347365138758965,0.4680386654193951,0.28710632990333645,0.038295135640785787,0.09999999999999998,0.3604614904895541,1027,4294,7507
dev,MKG-W,M-Hyper + AdaMF-MAT,0.2,formal_dev_candidate,False,pooled,tail,12828,0.51841020072548,0.5165084524038295,0.0019017483216505046,0.034923604614904895,0.027730249411759143,0.14873713751169318,0.2456345494231369,0.19644527595884004,0.022552229497973184,0.15000000000000002,0.6490489554100405,448,1908,10472
dev,MKG-W,M-Hyper + AdaMF-MAT,0.25,formal_dev_candidate,False,pooled,head,12828,0.18972386969758495,0.1891354783297105,0.0005883913678744403,0.08372310570626754,0.01026539145197084,0.3369971936389149,0.4680386654193951,0.28710632990333645,0.04751325226067976,0.15000000000000002,0.3604614904895541,1074,4323,7431
dev,MKG-W,M-Hyper + AdaMF-MAT,0.25,formal_dev_candidate,False,pooled,tail,12828,0.5187921048326428,0.5165084524038295,0.002283652428813298,0.03640473963205488,0.0346728270667385,0.15271281571562206,0.2456345494231369,0.19644527595884004,0.028394917368256938,0.15000000000000002,0.6490489554100405,467,1959,10402
