pair,comparator,scope,seed,n,delta_adc_minus_comparator,direction
mkgw_mhyper_native,Clip-g,seed,3.0,8548,-0.0004285629280306909,
mkgw_mhyper_native,Clip-g,direction,,12822,0.0003786522588780497,head
mkgw_mhyper_native,Clip-g,direction,,12822,-0.0006012171702929449,tail
mkgw_mhyper_native,Clip-g,seed_direction,1.0,4274,0.0010796138258055367,head
mkgw_mhyper_native,Clip-g,seed_direction,1.0,4274,-0.00034275200409068557,tail
mkgw_mhyper_native,Clip-g,seed_direction,2.0,4274,5.707032439436266e-05,head
mkgw_mhyper_native,Clip-g,seed_direction,2.0,4274,-0.0006045010242925177,tail
mkgw_mhyper_native,Clip-g,seed_direction,3.0,4274,-7.27373565750236e-07,head
mkgw_mhyper_native,Clip-g,seed_direction,3.0,4274,-0.0008563984824956314,tail
mkgw_mhyper_native,Linear-g,seed,1.0,8548,0.00036843091085742556,
mkgw_mhyper_native,Linear-g,seed,2.0,8548,-0.0002737153499490774,
mkgw_mhyper_native,Linear-g,seed,3.0,8548,-0.0004285629280306909,
mkgw_mhyper_native,Linear-g,direction,,12822,0.0003786522588780497,head
mkgw_mhyper_native,Linear-g,direction,,12822,-0.0006012171702929449,tail
mkgw_mhyper_native,Linear-g,seed_direction,1.0,4274,0.0010796138258055367,head
mkgw_mhyper_native,Linear-g,seed_direction,1.0,4274,-0.00034275200409068557,tail
mkgw_mhyper_native,Linear-g,seed_direction,2.0,4274,5.707032439436266e-05,head
mkgw_mhyper_native,Linear-g,seed_direction,2.0,4274,-0.0006045010242925177,tail
mkgw_mhyper_native,Linear-g,seed_direction,3.0,4274,-7.27373565750236e-07,head
mkgw_mhyper_native,Linear-g,seed_direction,3.0,4274,-0.0008563984824956314,tail
mkgw_mhyper_native,R0,seed,1.0,8548,0.03185732454633141,
mkgw_mhyper_native,R0,seed,2.0,8548,-0.001042970573653962,
mkgw_mhyper_native,R0,seed,3.0,8548,0.026649017441916178,
mkgw_mhyper_native,R0,direction,,12822,0.010016285158414009,head
mkgw_mhyper_native,R0,direction,,12822,0.028292629117981735,tail
mkgw_mhyper_native,R0,seed_direction,1.0,4274,0.017810832144737845,head
mkgw_mhyper_native,R0,seed_direction,1.0,4274,0.045903816947924975,tail
mkgw_mhyper_native,R0,seed_direction,2.0,4274,0.00024420615888432585,head
mkgw_mhyper_native,R0,seed_direction,2.0,4274,-0.0023301473061922494,tail
mkgw_mhyper_native,R0,seed_direction,3.0,4274,0.01199381717161986,head
mkgw_mhyper_native,R0,seed_direction,3.0,4274,0.041304217712212495,tail
mkgw_mhyper_native,R3,seed,1.0,8548,-0.0032144622110538974,
mkgw_mhyper_native,R3,seed,2.0,8548,-0.0014723721841386514,
mkgw_mhyper_native,R3,seed,3.0,8548,-0.002568114073396647,
mkgw_mhyper_native,R3,direction,,12822,-0.0016018966316868944,head
mkgw_mhyper_native,R3,direction,,12822,-0.0032347356807059025,tail
mkgw_mhyper_native,R3,seed_direction,1.0,4274,-0.0016663260917836637,head
mkgw_mhyper_native,R3,seed_direction,1.0,4274,-0.004762598330324131,tail
mkgw_mhyper_native,R3,seed_direction,2.0,4274,-0.001057259931338825,head
mkgw_mhyper_native,R3,seed_direction,2.0,4274,-0.0018874844369384776,tail
mkgw_mhyper_native,R3,seed_direction,3.0,4274,-0.0020821038719381945,head
mkgw_mhyper_native,R3,seed_direction,3.0,4274,-0.003054124274855099,tail
mkgw_mhyper_adamf,Primary,seed,1.0,8548,0.0006115379509323375,
mkgw_mhyper_adamf,Primary,seed,2.0,8548,0.0013205688560498738,
mkgw_mhyper_adamf,Primary,seed,3.0,8548,0.0011096280294783606,
