pair,label,split,seed,direction,intervention,harm,harm_active,benefit,unchanged,conditional_loss,conditional_gain,mean_loss,mean_gain,utility,severe_10,severe_10_active,severe_50,severe_50_active,top1_retention,top1_loss,top1_outside10,top1_active_retention,top1_active_loss,top1_active_outside10,new_top1,hits1_delta,n,active_n,harm_n,benefit_n,unchanged_n,loss_sum,gain_sum,delta_sum,severe_10_n,severe_50_n,top1_n,top1_retained_n,top1_lost_n,top1_outside10_n,active_top1_n,active_top1_retained_n,active_top1_lost_n,active_top1_outside10_n,new_top1_n,hits1_delta_sum,active_unchanged_n,inactive_n,loss_q50,loss_q90,loss_q95,loss_q99,loss_max,worst_tenth_harm_n,worst_tenth_loss_share
mkgw_mhyper_native,W-N,test,3,head,0.6715021057557323,0.19396350023397285,0.2888501742160279,0.3315395414131961,0.47449695835283107,0.02409069089937153,0.013840468553955442,0.004672714729896817,0.004588662597322149,-8.405213257466492e-05,0.010996724379971923,0.016376306620209058,0.004679457182966776,0.006968641114982578,0.9666110183639399,0.0333889816360601,0.0,0.9506172839506173,0.04938271604938271,0.0,0.004913430042115114,0.0002339728591483388,4274,2870,829,1417,2028,19.971182755578997,19.611943940954863,-0.3592388146241179,47,20,599,579,20,0,405,385,20,0,21,1.0,624,1404,0.0006978653530377668,0.033333333333333354,0.16666666666666669,0.5,0.75,83,0.8939666334182526
mkgw_mhyper_native,W-N,test,3,tail,0.5631726719700515,0.1020121665886757,0.1811383464894059,0.06293869911090313,0.8350491343004212,0.05303160494621543,0.1761270991933124,0.005409868918238167,0.01108521050140408,0.005675341583165915,0.011932615816565278,0.0211882010801828,0.00772110435189518,0.013710012463647694,0.9827496079456352,0.017250392054364874,0.0,0.9779264214046822,0.022073578595317726,0.0,0.01941974730931212,0.01169864295741694,4274,2407,436,269,3569,23.121779756549927,47.37818968300104,24.256409926451123,51,33,1913,1880,33,0,1495,1462,33,0,83,50.0,1702,1867,0.0021807492480175003,0.16666666666666669,0.5,0.5,0.75,44,0.8109237349987525
mkgw_mhyper_adamf,W-A,dev_oof,1,head,0.26730589335827876,0.05706267539756782,0.21347331583552057,0.1842843779232928,0.7586529466791394,0.03137624011057032,0.007281552091468425,0.001790412204625622,0.0013418762974923104,-0.0004485359071333122,0.003975678203928906,0.014873140857392825,0.0025724976613657625,0.009623797025371828,0.9823717948717948,0.017628205128205128,0.0,0.7962962962962963,0.2037037037037037,0.0,0.0004677268475210477,-0.002104770813844715,4276,1143,244,788,3244,7.655802586979159,5.737863048077119,-1.917939538902043,17,11,624,613,11,0,54,43,11,0,2,-9.0,111,3133,0.0007441566166563177,0.02307692307692312,0.16666666666666669,0.5,0.6666666666666667,25,0.9408777879703463
mkgw_mhyper_adamf,W-A,dev_oof,1,tail,0.0921421889616464,0.015902712815715623,0.17258883248730963,0.057764265668849395,0.926333021515435,0.09034145181590074,0.057492215094869285,0.00143667416358308,0.0033209955866306626,0.0018843214230475826,0.003274087932647334,0.03553299492385787,0.002104770813844715,0.02284263959390863,0.9953608247422681,0.004639175257731959,0.0,0.8421052631578947,0.15789473684210525,0.0,0.0035079513564078577,0.001403180542563143,4276,394,68,247,3961,6.14321872348125,14.200577128432714,8.057358404951463,14,9,1940,1931,9,0,57,48,9,0,15,6.0,79,3882,0.0010919915043280282,0.5,0.5,0.6666666666666667,0.6666666666666667,7,0.6239942782244051
mkgw_mhyper_adamf,W-A,dev_oof,2,head,0.3571094480823199,0.07015902712815715,0.19646365422396855,0.24532273152478953,0.6845182413470533,0.022138901919743856,0.007596751853751653,0.0015532438203749196,0.001863655915478364,0.00031041209510344333,0.0037418147801683817,0.010478061558611657,0.002104770813844715,0.005893909626719057,0.985553772070626,0.014446227929373997,0.0,0.875,0.125,0.0,0.001403180542563143,-0.0007015902712815715,4276,1527,300,1049,2927,6.641670575923157,7.968992694585484,1.3273221186623236,16,9,623,614,9,0,72,63,9,0,6,-3.0,178,2749,0.0003683780653507113,0.01687969924812036,0.11500000000000021,0.5,0.6666666666666667,30,0.9514083357605962
mkgw_mhyper_adamf,W-A,dev_oof,2,tail,0.0853601496725912,0.012862488306828812,0.1506849315068493,0.0509822263797942,0.936155285313377,0.10966672956423541,0.07260021279952766,0.0014105870266681356,0.0037013204841667515,0.0022907334574986155,0.00304022450888681,0.03561643835616438,0.002104770813844715,0.024657534246575342,0.995334370139969,0.004665629860031105,0.0,0.8571428571428571,0.14285714285714285,0.0,0.002806361085126286,0.0007015902712815715,4276,365,55,218,4003,6.031670126032948,15.82684639029703,9.79517626426408,13,9,1929,1920,9,0,63,54,9,0,12,3.0,92,3911,0.004166666666666666,0.5,0.5,0.5766666666666669,0.6666666666666667,6,0.5250066068764598
mkgw_mhyper_adamf,W-A,dev_oof,3,head,0.27806361085126285,0.05402245088868101,0.19428090832632464,0.1962114125350795,0.7497661365762395,0.018952641071231433,0.009857452219779557,0.0010238681214813988,0.001934144624040002,0.0009102765025586043,0.002104770813844715,0.007569386038687973,0.0011693171188026192,0.004205214465937763,0.9921752738654147,0.00782472613458529,0.0,0.8958333333333334,0.10416666666666667,0.0,0.0011693171188026192,0.0,4276,1189,231,839,3206,4.378060087454461,8.270402412395049,3.892342324940592,9,5,639,634,5,0,48,43,5,0,5,0.0,119,3087,0.0006301183523842848,0.031746031746031744,0.08333333333333331,0.5,0.5,24,0.9057889136702115
mkgw_mhyper_adamf,W-A,dev_oof,3,tail,0.08886810102899906,0.014733395696913003,0.16578947368421051,0.052853133769878394,0.9324134705332086,0.11138789147282539,0.07411662168824229,0.0016411218809139383,0.0039172957206601395,0.002276173839746202,0.0035079513564078577,0.039473684210526314,0.002806361085126286,0.031578947368421054,0.9937532535137948,0.006246746486205101,0.0,0.8095238095238095,0.19047619047619047,0.0,0.003975678203928906,0.0011693171188026192,4276,380,63,226,3987,7.017437162788,16.750356501542758,9.73291933875476,15,12,1921,1909,12,0,63,51,12,0,17,5.0,91,3896,0.0010752688172043015,0.5,0.5,0.5950000000000006,0.75,7,0.5343831249227944
mkgw_mhyper_adamf,W-A,test,1,head,0.28076743097800655,0.05334581188582124,0.19,0.19489939167056622,0.7517547964436125,0.03665554652958986,0.01216721921129266,0.0019554198897394686,0.002371383622603366,0.00041596373286390074,0.004445484323818437,0.015833333333333335,0.0028076743097800653,0.01,0.9789473684210527,0.021052631578947368,0.0,0.7931034482758621,0.20689655172413793,0.0,0.001169864295741694,-0.0016378100140383716,4274,1200,228,833,3213,8.357464608746488,10.135293603006787,1.7778289942603118,19,12,570,558,12,0,58,46,12,0,5,-7.0,139,3074,0.0007358100949429655,0.060000000000000366,0.38333333333332575,0.5,0.6666666666666667,23,0.9102213665591379
mkgw_mhyper_adamf,W-A,test,1,tail,0.08727187646233037,0.012166588675713618,0.13941018766756033,0.05474964904071128,0.9330837622835751,0.13591458755861477,0.044945110954518294,0.0016536168818549295,0.0024607290508557047,0.0008071121690007737,0.0035095928872250818,0.040214477211796246,0.0028076743097800653,0.032171581769437,0.9940357852882704,0.005964214711729622,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0025737014506317267,-0.0002339728591483388,4274,373,52,234,3988,7.067558553047968,10.51715596335728,3.4495974103093068,15,12,2012,2000,12,0,56,44,12,0,11,-1.0,87,3901,0.007273667475340939,0.5,0.5,0.581666666666667,0.6666666666666667,6,0.4480566581653583
