seed,dataset,pair,method,measurement_scope,n_seed_repetitions,n_queries_per_repetition,n_test_queries_available,entity_count,primary_query_batch_size,secondary_query_batch_size,outer_query_batch_size,base_params,combiner_params,scoring_time_mean_s,scoring_time_std_s,feature_time_mean_s,feature_time_std_s,combiner_inference_time_mean_s,combiner_inference_time_std_s,score_combination_time_mean_s,score_combination_time_std_s,combiner_only_overhead_mean_s,combiner_only_overhead_std_s,total_time_mean_s,total_time_std_s,queries_per_second_mean,queries_per_second_std,peak_gpu_memory_mean_mb,peak_gpu_memory_std_mb,peak_cpu_memory_mean_mb,peak_cpu_memory_std_mb,relative_overhead_vs_primary,combiner_only_overhead_vs_global_s,combiner_only_overhead_vs_global_relative
3,DB15K,M-Hyper + NativE,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,,32,18375473,0,0.5291085799999564,0.07727581488400641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5344195800000306,0.07763560021874863,972.5813406927958,125.41036748622017,1748.44970703125,0.0,1125.4296875,0.0,0.0,-0.27291378000018085,-1.0
3,DB15K,M-Hyper + NativE,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,0,3.622344339999836,0.2721578848365349,0.18150796000008995,0.03841296892483894,0.0004596400000991707,0.00011189047386660499,0.09094617999999173,0.01435527289790183,0.27291378000018085,0.05221492284916306,3.9055960999999115,0.29907918068435557,131.70349330107905,9.966185208275892,3902.4482421875,0.0,1265.7828125,0.4560252014691732,6.308108172233673,0.0,0.0
3,DB15K,M-Hyper + NativE,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,369,3.7208675799999584,0.2032962700210633,0.24251511999973446,0.04635872361473079,0.01736860000064553,0.004988547410700685,0.0855388199997833,0.014097845056832191,0.34542254000016326,0.06431744388796083,4.076244299999871,0.24689001345930617,125.98212253092258,7.774615146595918,3902.45654296875,0.0,1268.08203125,0.4334969627335568,6.627423194336624,0.07250875999998241,0.26568376283504036
3,DB15K,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25752502,14,4.140310200000113,0.33895147914132223,0.4261304600000585,0.02029311706140684,0.07040170000009312,0.005533954422342418,0.08395737999999256,0.009071260359784412,0.5804895400001442,0.026723994845919228,4.729320939999889,0.3416939318858857,108.73962035213891,8.29473298915843,3902.4482421875,0.0,1271.74375,0.5237624341267172,7.8494529710150545,0.30757575999996334,1.127007071609794
1,MKG-W,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,,32,20686933,0,0.46987415999974474,0.030111750630598625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47486023999999816,0.03039279277785428,1081.7994898278746,70.11213124350587,1778.1123046875,0.0,1071.32734375,0.061602441833451295,0.0,-0.24062098000067636,-1.0
1,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,0,2.568898380000337,0.11100689478648537,0.14330392000028952,0.008804228527910666,0.000431879999996454,7.735533006695186e-05,0.0968851800003904,0.004501182393064591,0.24062098000067636,0.011816464629775182,2.8263153800001417,0.11411783542835435,181.38859110885954,7.24661851499223,2508.58544921875,0.0,1204.95078125,0.947563983296857,4.951888875767221,0.0,0.0
1,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,369,2.5500000800002454,0.18072044546762392,0.22258466000057525,0.025686799044476072,0.017555699999957142,0.0011989094127802856,0.09577499999986686,0.006690369637013881,0.33591536000039923,0.031667065632656935,2.8958875600000282,0.1878674132037182,177.3665931064889,10.879728815101085,2508.59375,0.0,1255.43359375,0.27975405109052937,5.098399731255747,0.09529437999972287,0.3960352085651675
1,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,14,2.537123640000209,0.22115856426626423,0.4284726800006865,0.05083284049044334,0.06683778000078747,0.009368670753889483,0.09180024000015692,0.006611495094345511,0.5871107000016309,0.06499112173190222,3.1319735399999447,0.2784343097782997,164.4735569475001,14.077541983009123,2508.58544921875,0.0,1219.13671875,1.515073695640795,5.5955691299822385,0.34648972000095457,1.4399813349608195
2,MKG-W,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,,32,20686933,0,0.4670824200005882,0.013652992454279067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47172448000001166,0.013772434929837924,1086.1363358105125,32.41652403963149,1778.1123046875,0.0,1073.3625,0.025822646689122517,0.0,-0.20987323999916044,-1.0
2,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,0,2.3990060200002516,0.11676097580273619,0.12356289999988804,0.002092335816530648,0.0003659199996945972,5.600178518591662e-06,0.0859444199995778,0.0041820329546116185,0.20987323999916044,0.006206661454165449,2.6161428200000953,0.12126262890264894,196.03852335383155,8.918989757586502,2508.58544921875,0.0,1236.2234375,0.9372330349058071,4.545912775186123,0.0,0.0
