pair_id,outer_fold,inner_fold,minimum_support,inner_global_alpha,inner_delta_mrr,inner_support_coverage,selected_for_outer_fold,pooled_inner_delta_mrr
mkg_y_mhyper_adamf,2,3,10,0.35,0.0032804664183592952,0.7916666666666666,True,0.0040644943958232675
mkg_y_mhyper_adamf,2,3,25,0.35,0.0033450066767907035,0.6362994350282486,False,0.002648246841815393
mkg_y_mhyper_adamf,2,3,50,0.35,0.0023943076010554645,0.451271186440678,False,0.0014791827856328712
mkg_y_mhyper_adamf,2,3,100,0.35,0.0004925929989913793,0.22245762711864406,False,-2.2690725338755443e-05
mkg_y_mhyper_adamf,3,1,10,0.85,0.0051387965589283725,0.8232394366197183,True,0.005239645028542285
mkg_y_mhyper_adamf,3,1,25,0.85,0.0023431350893606154,0.6464788732394366,False,0.004108228171158224
mkg_y_mhyper_adamf,3,1,50,0.85,0.0010948652852927642,0.4704225352112676,False,0.0025348276091342326
mkg_y_mhyper_adamf,3,1,100,0.85,0.0007397960419284724,0.21267605633802816,False,0.0006962282115388143
mkg_y_mhyper_adamf,3,2,10,0.35,0.0033516259317466464,0.8026685393258427,True,0.005239645028542285
mkg_y_mhyper_adamf,3,2,25,0.35,0.004245130049017588,0.6088483146067416,False,0.004108228171158224
mkg_y_mhyper_adamf,3,2,50,0.35,0.003959182006960764,0.4691011235955056,False,0.0025348276091342326
mkg_y_mhyper_adamf,3,2,100,0.35,0.00024368545594218412,0.19662921348314608,False,0.0006962282115388143
mkg_y_mhyper_adamf,3,3,10,0.8,0.007236643632695139,0.8272214386459803,True,0.005239645028542285
mkg_y_mhyper_adamf,3,3,25,0.8,0.005738329653584789,0.6488011283497884,False,0.004108228171158224
mkg_y_mhyper_adamf,3,3,50,0.8,0.002546439624190582,0.4689703808180536,False,0.0025348276091342326
mkg_y_mhyper_adamf,3,3,100,0.8,0.001107056536515039,0.20874471086036672,False,0.0006962282115388143
mkg_y_mhyper_adamf,4,1,10,0.95,0.006095524064249297,0.8283898305084746,True,0.005021226687335738
mkg_y_mhyper_adamf,4,1,25,0.95,0.0022311464477748925,0.5988700564971752,False,0.003372170143108007
mkg_y_mhyper_adamf,4,1,50,0.95,0.002820983256739,0.4781073446327684,False,0.0035332974867898527
mkg_y_mhyper_adamf,4,1,100,0.95,0.0015126954683789844,0.1977401129943503,False,5.4905015340859324e-05
mkg_y_mhyper_adamf,4,2,10,0.35,0.005014655030728414,0.7997198879551821,True,0.005021226687335738
