pair_id,level,group_key,fold_count,median_alpha,foldwise_mad,mean_support_original_triples
mkg_y_mhyper_native,L4,"[6,""tail"",1,""text_and_image""]",2,0.32499999999999996,0.024999999999999994,44.0
mkg_y_mhyper_native,L4,"[8,""tail"",1,""text_and_image""]",2,0.4,0.05000000000000002,12.0
mkg_y_mhyper_native,L4,"[9,""tail"",3,""text_and_image""]",5,0.1,0.0,189.6
mkg_y_mhyper_native,L4,"[9,""tail"",2,""text_and_image""]",5,0.7,0.0,85.6
mkg_y_mhyper_native,L4,"[9,""tail"",3,""image_only""]",5,0.6,0.0,111.2
mkg_y_mhyper_native,L4,"[9,""tail"",2,""image_only""]",5,0.75,0.0,68.0
mkg_y_mhyper_native,L4,"[9,""tail"",1,""text_and_image""]",5,0.85,0.0,100.8
mkg_y_mhyper_native,L4,"[9,""tail"",1,""image_only""]",2,0.05,0.05,45.0
mkg_y_mhyper_native,L4,"[9,""tail"",0,""text_and_image""]",2,0.475,0.475,12.5
mkg_y_mhyper_native,L4,"[12,""tail"",3,""text_and_image""]",2,0.575,0.22500000000000003,30.0
mkg_y_mhyper_adamf,L0,"[""global""]",5,0.35,0.0,2132.0
mkg_y_mhyper_adamf,L1,"[""head""]",5,0.4,0.10000000000000003,2132.0
mkg_y_mhyper_adamf,L1,"[""tail""]",5,0.9,0.0,2132.0
mkg_y_mhyper_adamf,L2,[0],5,0.35,0.0,58.4
mkg_y_mhyper_adamf,L2,[1],5,0.95,0.0,264.8
mkg_y_mhyper_adamf,L2,[2],5,0.45,0.0,108.0
mkg_y_mhyper_adamf,L2,[3],5,0.4,0.0,332.0
mkg_y_mhyper_adamf,L2,[4],5,1.0,0.0,298.4
mkg_y_mhyper_adamf,L2,[5],5,0.6,0.0,103.2
mkg_y_mhyper_adamf,L2,[6],5,0.4,0.0,148.0
mkg_y_mhyper_adamf,L2,[8],5,0.95,0.0,36.0
mkg_y_mhyper_adamf,L2,[9],5,0.25,0.0,623.2
mkg_y_mhyper_adamf,L2,[10],5,0.25,0.0,27.2
mkg_y_mhyper_adamf,L2,[12],5,0.25,0.0,63.2
mkg_y_mhyper_adamf,L3,"[0,""head""]",5,0.35,0.0,58.4
mkg_y_mhyper_adamf,L3,"[1,""head""]",5,1.0,0.0,264.8
mkg_y_mhyper_adamf,L3,"[2,""head""]",5,0.45,0.0,108.0
mkg_y_mhyper_adamf,L3,"[3,""head""]",5,0.4,0.0,332.0
