pair_id,level,outer_fold,global_alpha,minimum_support,training_adaptive_gain,oof_delta_mrr,support_coverage,supported_group_count,degree_edges
mkg_y_mhyper_native,L3,5,0.35,25,0.004352008188043789,0.00277186170590433,0.9735349716446124,22,
mkg_y_mhyper_native,L4,5,0.35,50,0.004603639283492927,0.0013406012342321164,0.5623818525519849,21,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_native,L5,1,0.35,,,0.002422047302890499,1.0,,
mkg_y_mhyper_native,L5,2,0.35,,,0.0042838817186958466,1.0,,
mkg_y_mhyper_native,L5,3,0.35,,,0.002311089568317246,1.0,,
mkg_y_mhyper_native,L5,4,0.35,,,0.005216363835505402,1.0,,
mkg_y_mhyper_native,L5,5,0.35,,,0.004286736447164907,1.0,,
mkg_y_mhyper_adamf,L0,1,0.95,1,0.0,0.0,1.0,1,
mkg_y_mhyper_adamf,L1,1,0.95,1,0.0,0.0,1.0,2,
mkg_y_mhyper_adamf,L2,1,0.95,25,0.005895351489697178,0.007533392949943753,0.9680451127819549,11,
mkg_y_mhyper_adamf,L3,1,0.95,25,0.006585457860116029,0.006685912132789154,0.9680451127819549,22,
mkg_y_mhyper_adamf,L4,1,0.95,10,0.009858717371284267,0.00973140463417887,0.8402255639097744,76,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_adamf,L0,2,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_adamf,L1,2,0.35,1,0.0010154400875709304,-0.0014690577451821401,1.0,2,
mkg_y_mhyper_adamf,L2,2,0.35,25,0.0062769794377229874,0.004485327507419324,0.9644859813084112,11,
mkg_y_mhyper_adamf,L3,2,0.35,25,0.007578308054214582,0.005221840918480508,0.9644859813084112,22,
mkg_y_mhyper_adamf,L4,2,0.35,10,0.011180786124840419,0.0011063509448289105,0.8598130841121495,76,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_adamf,L0,3,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_adamf,L1,3,0.35,1,0.0005930931684908341,0.001036524208920127,1.0,2,
mkg_y_mhyper_adamf,L2,3,0.35,25,0.006316009814876813,0.005598111154529021,0.9662921348314607,11,
mkg_y_mhyper_adamf,L3,3,0.35,25,0.0077223107248783245,0.003761358715318578,0.9662921348314607,22,
mkg_y_mhyper_adamf,L4,3,0.35,10,0.010862374585342532,0.0009954822198003316,0.8473782771535581,74,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_adamf,L0,4,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_adamf,L1,4,0.35,1,0.001326772740870565,-0.0031691507645212023,1.0,2,
mkg_y_mhyper_adamf,L2,4,0.35,25,0.006694266602892365,0.0021730362713098966,0.9644859813084112,11,
mkg_y_mhyper_adamf,L3,4,0.35,25,0.008067158419188453,0.0006594361870743961,0.9644859813084112,22,
mkg_y_mhyper_adamf,L4,4,0.35,10,0.011408575420162333,0.0026566761334977183,0.8542056074766355,76,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_adamf,L0,5,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_adamf,L1,5,0.35,1,0.0002059813019373819,6.026111690111312e-06,1.0,2,
mkg_y_mhyper_adamf,L2,5,0.35,25,0.00647614576944806,0.004823127395011202,0.9735349716446124,11,
mkg_y_mhyper_adamf,L3,5,0.35,25,0.0073181384280215376,0.0028621357723659043,0.9735349716446124,22,
mkg_y_mhyper_adamf,L4,5,0.35,50,0.0061917652657424585,0.0023109155562501273,0.5623818525519849,21,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_adamf,L5,1,0.95,,,0.012002419510631973,1.0,,
