dataset,pair_id,representation,delta_alpha,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_mhyper_adamf,R3,-0.1,47532,0.021043265506280936,0.017836504857644958,0.08115283933131368,0.34023394765631576,0.41043474263726315,0.07020079498094739,0.5972341118846128,0.18360262559959606,0.16592446737536648,-0.01767815822422958,0.4513854482178398,0.5238061080862112,0.023806108086211197,0.4677157730541556,0.5238365732559118,-0.056120800201756194,-0.002968294403738437,0.43888070692194403,0.2112350094677046,False,47532
db15k,db15k_mhyper_adamf,R3,-0.05,47532,0.011159384203127783,0.008823992611649897,0.04994968657339939,0.31027518303458723,0.3482957991955975,0.03802061616101027,0.5619475421587303,0.14802659261129344,0.13290783577690962,-0.015118756834383823,0.45710175594936603,0.5053703671366275,0.00537036713662753,0.41683738105735024,0.45830177564588065,-0.04146439458853041,-0.0015576753183940003,0.3561960866820955,0.14285714285714285,False,47532
db15k,db15k_mhyper_native,R0,-0.3,47532,0.0379368036835658,0.03372670674301777,0.07612166022002281,0.36179836741563576,0.4411755267811578,0.07937715936552203,0.6027500474700535,0.24208953967853236,0.22142302236448,-0.020666517314052363,0.4562055091590449,0.5323786418332558,0.032378641833255783,0.5317557844859744,0.6038879070941682,-0.0721321226081938,0.0008319836835770434,0.49400378708184306,0.25268251630549127,False,47532
db15k,db15k_mhyper_native,R0,-0.2,47532,0.02483502059160336,0.021545909267340697,0.057129215791426866,0.3490701001430615,0.3981944856168551,0.04912438547379361,0.5737665442540045,0.2092274678111588,0.19491881371660272,-0.01430865409455609,0.46980642181799026,0.5240863805898691,0.024086380589869116,0.5085562446454513,0.5582975679542204,-0.049741323308769014,-0.0001108633069685375,0.4294130023143278,0.21018304228908058,False,47532
db15k,db15k_mhyper_native,R0,-0.1,47532,0.012679809747976434,0.010382958535408526,0.024594978979374255,0.32201464276697805,0.3262494461417491,0.004234803374771057,0.5239599732433268,0.16900193553816376,0.16688214846142907,-0.002119787076734686,0.4951512086997448,0.5115092138629967,0.011509213862996748,0.45605940405024226,0.4910165783051418,-0.034957174254899526,-0.001348919231796688,0.2960235640648012,0.13633494634967389,False,47532
db15k,db15k_mhyper_native,R0,-0.05,47532,0.007012736283183074,0.005234867853390485,0.0010151883726175733,0.2882689556509299,0.27421087006971745,-0.014058085581212465,0.49538372268669023,0.14102078599680215,0.14921177450132547,0.008190988504523322,0.5133810965122153,0.5074781881890682,0.007478188189068202,0.3981197810491899,0.42928974164773204,-0.031169960598542157,-0.0020500147291982033,0.22301704186829371,0.09257311171891437,False,47532
db15k,db15k_mhyper_native,R1,-0.3,47532,0.037635065500881755,0.03360363823062314,0.12237457910367214,0.36179836741563576,0.4758220794121484,0.11402371199651262,0.6390757540583601,0.24208953967853236,0.22452384179539253,-0.01756569788313983,0.46271121575998725,0.5633855157497115,0.06338551574971152,0.5461306712468952,0.6038879070941682,-0.05775723584727299,0.0054636076147736475,0.5280875236692615,0.25120976225541763,False,47532
db15k,db15k_mhyper_native,R1,-0.2,47532,0.024765124967565035,0.021499157748823897,0.10563650244045458,0.3490701001430615,0.43734423166450187,0.08827413152144037,0.6140439563556302,0.2092274678111588,0.19546593258678185,-0.013761535224376953,0.4700348551507979,0.552286236305466,0.05228623630546603,0.5256890730404427,0.5582975679542204,-0.03260849491377771,0.0022010194412624084,0.4839049021670524,0.2112350094677046,False,47532
db15k,db15k_mhyper_native,R1,-0.1,47532,0.012746575429732124,0.010380054037105032,0.07784032652205758,0.32201464276697805,0.3737917494411625,0.05177710667418445,0.5751274559607925,0.16900193553816376,0.16085661295085937,-0.008145322587304382,0.4877995357557377,0.5424214443136683,0.042421444313668344,0.4743588182818532,0.4910165783051418,-0.01665776002328856,0.0021472443461712783,0.4020618556701031,0.15379760151483274,False,47532
db15k,db15k_mhyper_native,R1,-0.05,47532,0.00716629899427061,0.005245337750650622,0.05432857617076246,0.2882689556509299,0.3138159207412666,0.02554696509033666,0.5429977976378497,0.14102078599680215,0.14179856050526915,0.0007777745084669996,0.5084525820598734,0.5387170246198504,0.03871702461985038,0.416933352841249,0.42928974164773204,-0.012356388806483043,-0.0004673507932162171,0.33010730065221966,0.11824111087734063,False,47532
db15k,db15k_mhyper_native,R2,-0.3,47532,0.037904155238242636,0.03367570938927918,0.06867033658744769,0.36179836741563576,0.44583095966324154,0.08403259224760579,0.5998542357142168,0.24208953967853236,0.21825200658744276,-0.023837533091089602,0.44391226123289645,0.5213814422806794,0.021381442280679397,0.6090070075052612,0.6038879070941682,0.0051191004110929805,0.0031395802056792296,0.5019987376393856,0.265937302756154,False,47532
db15k,db15k_mhyper_native,R2,-0.2,47532,0.024954444030972977,0.02154120494414922,0.06163792203029532,0.3490701001430615,0.431645137911698,0.0825750377686365,0.596682745681909,0.2092274678111588,0.18486020605127257,-0.02436726175988624,0.4354263063605624,0.512216258248719,0.01221625824871897,0.5843640374256263,0.5582975679542204,0.026066469471405895,0.004910202694039692,0.4851672627814012,0.27856090889964236,False,47532
db15k,db15k_mhyper_native,R2,-0.1,47532,0.012831418859997449,0.010395086441690416,0.021731948567936442,0.32201464276697805,0.3650307713944554,0.043016128627477335,0.5483587209271538,0.16900193553816376,0.15052897200013732,-0.018472963538026438,0.44533807348719545,0.48756982926936904,-0.012430170730630963,0.5240839069206891,0.4910165783051418,0.03306732861554729,0.0012283131658445661,0.4020618556701031,0.24384599200504944,False,47532
db15k,db15k_mhyper_native,R2,-0.05,47532,0.007073778308184194,0.005233156768689989,-0.0009427704883324225,0.2882689556509299,0.31069731944540663,0.022428363794476713,0.52256370590535,0.14102078599680215,0.12488183068769178,-0.016138955309110373,0.4535667634098613,0.47637182021535396,-0.023628179784646042,0.44776740675973314,0.42928974164773204,0.018477665112001107,-0.00045855568678981336,0.33368398905954133,0.19250999368819693,False,47532
db15k,db15k_mhyper_native,R3,-0.3,47532,0.03800804373495726,0.03373488540719502,0.096035698320339,0.36179836741563576,0.4597724101150206,0.09797404269938487,0.6131070551468939,0.24208953967853236,0.22740766270790133,-0.01468187697063103,0.46446595491734294,0.5473347090117532,0.047334709011753184,0.5468723069108883,0.6038879070941682,-0.05701560018327989,0.005152200718829022,0.5236692615190406,0.24300441826215022,False,47532
db15k,db15k_mhyper_native,R3,-0.2,47532,0.02503639421459297,0.021583653743757432,0.08440266338738267,0.3490701001430615,0.42873632961349234,0.07966622947043084,0.5976005659848689,0.2092274678111588,0.19654299581096765,-0.012684472000191155,0.46483647262968647,0.5374991970059046,0.03749919700590465,0.5148582552214421,0.5582975679542204,-0.043439312732778235,0.0037550776029189673,0.4799074268882811,0.20828950136755733,False,47532
db15k,db15k_mhyper_native,R3,-0.1,47532,0.012787316645031343,0.010407714430957239,0.05503019552616904,0.32201464276697805,0.370449908997878,0.04843526623089994,0.5628028512922533,0.16900193553816376,0.15520635636011468,-0.013795579178049078,0.4702868714478042,0.5197434634790576,0.019743463479057644,0.46447897174760655,0.4910165783051418,-0.02653760655753523,0.0012395480585482782,0.3953292657269093,0.16515884704397224,False,47532
db15k,db15k_mhyper_native,R3,-0.05,47532,0.007008780054283108,0.005237638217971087,0.03890729362463088,0.2882689556509299,0.3139489504949485,0.02567999484401856,0.5409378162762087,0.14102078599680215,0.13311264290285527,-0.007908143093946884,0.48396092504549904,0.5162083892094754,0.016208389209475427,0.41121185635545765,0.42928974164773204,-0.018077885292274387,9.813708679770288e-05,0.32568903850199876,0.1409636019356196,False,47532
db15k,db15k_native_adamf,R0,-0.3,47532,0.05705649497599426,0.051912398082989315,0.1229431641924045,0.4239038963224775,0.5155972929304115,0.09169339660793396,0.6101125296742316,0.2642009593536986,0.26436259468729034,0.00016163533359175863,0.5020246059427961,0.5662247771857268,0.06622477718572684,0.6264901364001845,0.6881048556761761,-0.0616147192759916,0.003752363664711527,0.5644855880496529,0.22596254996844098,True,47532
db15k,db15k_native_adamf,R0,-0.2,47532,0.04275107593185674,0.03839075152034778,0.1296440681122082,0.41584616679289743,0.5050661391295415,0.08921997233664403,0.6090669443742963,0.23369519481612389,0.2313312945179469,-0.002363900298176985,0.499570365920336,0.5650837270862028,0.0650837270862028,0.5970114243426494,0.6495413616090213,-0.052529937266371896,0.005269671524752735,0.5579633915421839,0.19419314117399536,False,47532
