dataset,pair_id,representation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass
mkg_w,mkgw_mhyper_adamf,R0,102624,0.02249094340567499,0.018647034644569203,0.14249186918451323,0.4211100717181166,0.512219219390632,0.09110914767251538,0.6155690211356518,0.1611416432803243,0.16407032159880575,0.0029286783184814535,0.5070305836143145,0.5729804839257718,0.07298048392577183,0.5338133736782691,0.5822517149984409,-0.048438341320171774,0.0008875953316967997,0.5546677061001754,0.15630481387643735,True
mkg_w,mkgw_mhyper_adamf,R1,102624,0.022509569809411895,0.018622382171920072,0.1629609250368285,0.4211100717181166,0.530339220850191,0.10922914913207443,0.6327438587136384,0.1611416432803243,0.1677718000359289,0.006630156755604605,0.509075396506645,0.5840014337834916,0.08400143378349156,0.5182898744504375,0.5822517149984409,-0.06396184054800336,0.004806954990342609,0.5718183589943481,0.15338140713311246,True
mkg_w,mkgw_mhyper_adamf,R2,102624,0.023360152055012653,0.019002627462635653,0.1544997685761585,0.4211100717181166,0.5424291228264391,0.12131905110832247,0.6260733881062245,0.1611416432803243,0.17414924821479114,0.013007604934466843,0.5204153593103192,0.5891299664499767,0.08912996644997673,0.5359199845931967,0.5822517149984409,-0.04633173040524419,0.004244900373571654,0.6277528746832977,0.1509452348470084,True
mkg_w,mkgw_mhyper_adamf,R3,102624,0.023081239022444255,0.018899368816973225,0.1575899938775212,0.4211100717181166,0.5421176220050279,0.12100755028691129,0.6333942162836843,0.1611416432803243,0.1714104018592827,0.010268758578958398,0.5145043526863703,0.5886708920279449,0.08867089202794487,0.5236998041474689,0.5822517149984409,-0.058551910850972,0.005313035463964866,0.6185928668875463,0.1495809783667901,True
mkg_w,mkgw_mhyper_native,R0,205248,0.0217778590015683,0.019205128520834717,0.21346011937116413,0.2762755300904272,0.3664003622525643,0.09012483216213707,0.6171573336772403,0.30351574680386656,0.38852637611402707,0.08501062931016051,0.605306637255518,0.6559162570345329,0.15591625703453293,0.604450426574506,0.5797912768942938,0.02465914968021221,0.005182573798215932,0.41554202192448236,0.1961510353227771,True
mkg_w,mkgw_mhyper_native,R1,205248,0.021683008881685832,0.019194555766175226,0.2247095705847279,0.2762755300904272,0.3771297762753664,0.10085424618493921,0.6205402491425037,0.30351574680386656,0.4119486500356791,0.10843290323181254,0.6147475151271612,0.6606797799904967,0.16067977999049665,0.6365067834388874,0.5797912768942938,0.056715506544593675,0.004085406034851703,0.44560292326431183,0.21851400730816078,True
mkg_w,mkgw_mhyper_native,R2,205248,0.021624107185512408,0.019179929333907813,0.22957427322303764,0.2762755300904272,0.4081652959685529,0.13188976587812568,0.6375536971878312,0.30351574680386656,0.40277030265087294,0.09925455584700638,0.6051468050814619,0.6637172655274883,0.16371726552748833,0.6582778587423596,0.5797912768942938,0.07848658184806578,0.00793485835711611,0.5038733252131546,0.2379537149817296,True
mkg_w,mkgw_mhyper_native,R3,205248,0.02164887016720879,0.019185556136185004,0.2205860120892106,0.2762755300904272,0.38415666217946765,0.10788113208904043,0.6191166604836826,0.30351574680386656,0.41199716947179527,0.1084814226679287,0.6132515514353664,0.6582027408743331,0.15820274087433306,0.6457337725147599,0.5797912768942938,0.06594249562046617,0.006548052155703383,0.4687941534713764,0.22781973203410474,True
mkg_w,mkgw_native_adamf,R0,128280,0.03252641522282313,0.029004187257929324,0.0234781763363983,0.29045837231057064,0.29623238411759384,0.005774011807023194,0.5200013349923507,0.31273776114748986,0.3082796403852589,-0.004458120762230955,0.5012916405066749,0.5153125798352723,0.015312579835272344,0.5673726994791845,0.6031961334580604,-0.035823433978875996,-0.0030809641031638918,0.2846897411911444,0.2694106641721235,False
mkg_w,mkgw_native_adamf,R1,128280,0.03226730178028667,0.02896781746247999,0.030902394490354673,0.29045837231057064,0.3040605198012728,0.013602147490702154,0.5251178903659167,0.31273776114748986,0.314448831032063,0.0017110698845731465,0.5035915909809218,0.5204167308559984,0.020416730855998377,0.5916254295944916,0.6031961334580604,-0.011570703863568843,-0.00378371177521645,0.3016838166510758,0.295681322107889,False
mkg_w,mkgw_native_adamf,R2,128280,0.0324368599218333,0.02901022848009432,0.035345334513889506,0.29045837231057064,0.30663381108162774,0.016175438771057093,0.5223824425344397,0.31273776114748986,0.3200738190931455,0.007336057945655616,0.5114999107027318,0.5238102569240387,0.02381025692403871,0.600518546578671,0.6031961334580604,-0.0026775868793894597,-0.0039525691672694496,0.31976925475522294,0.2987215466167758,False
mkg_w,mkgw_native_adamf,R3,128280,0.03221160678999345,0.028992252413094784,0.04087048539309485,0.29045837231057064,0.3055642735265559,0.015105901215985262,0.5187060099748624,0.31273776114748986,0.3308152758650274,0.018077514717537546,0.5203198730755003,0.5271458818064809,0.02714588180648092,0.6119541364470331,0.6031961334580604,0.008758002988972668,-0.00280009064366067,0.3094792641097599,0.2964608668537574,False
