dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_mhyper_native,R2,1,63376,0.020828481084046075,0.017871658754304305,0.0420721076584337,0.3203420853319869,0.3846108251409338,0.06426873980894693,0.5690990350394011,0.1976931330472103,0.18101387380724798,-0.01667925923996233,0.4501719646426348,0.5070109181984959,0.0070109181984958635,0.5520740032472758,0.5180352183791972,0.03403878486807865,0.0031860224372274567,0.4496686651940675,0.26680340801514674,False,15844
db15k,db15k_mhyper_native,R2,2,63376,0.01790703925908745,0.0150562292840037,0.03353260236945432,0.32748990154001517,0.38639512491668404,0.05890522337666887,0.563655279657806,0.17937389548093916,0.15909887086484506,-0.020275024616094095,0.4355591987363824,0.4896829821154988,-0.010317017884501178,0.5456609581825194,0.5068637970209543,0.038797161161565064,0.0020986071225334484,0.4411486273272326,0.2630167245187756,False,15844
db15k,db15k_mhyper_native,R2,3,63376,0.023337326984914426,0.02020598011954859,0.05499635223868675,0.3430320626104519,0.41409216878785526,0.07106010617740338,0.5768505830042521,0.19393776824034334,0.1813189889767067,-0.012618779263636637,0.450069864224579,0.509218677221506,0.009218677221506044,0.5755271647147256,0.5369698308507953,0.03855733386393034,0.003155380256219888,0.4790154622909435,0.26790785736825495,False,15844
db15k,db15k_mhyper_native,R3,1,63376,0.020846911978227266,0.017890739549149246,0.06941497250561537,0.3203420853319869,0.38112313829521016,0.06078105296322328,0.5723596273692145,0.1976931330472103,0.19525052950547964,-0.0024426035417306757,0.48564136678155956,0.5381446617092361,0.03814466170923614,0.4982224163891698,0.5180352183791972,-0.019812801990027384,0.0016046485451722313,0.4275796781319028,0.20069422530766803,False,15844
db15k,db15k_mhyper_native,R3,2,63376,0.017906143662694444,0.015085180480332102,0.054887269412083974,0.32748990154001517,0.37999614011377353,0.05250623857375836,0.5614729447055411,0.17937389548093916,0.17300010964721182,-0.00637378583372733,0.47872646852847084,0.5245648840202144,0.024564884020214395,0.48764008719011764,0.5068637970209543,-0.019223709830836655,0.0030444195281813407,0.41322183654149575,0.1844430419690754,False,15844
db15k,db15k_mhyper_native,R3,3,63376,0.023377345345726795,0.02024699882042924,0.08777415037807232,0.3430320626104519,0.4187058482638015,0.07567378565334959,0.5901294876488157,0.19393776824034334,0.19175957748063838,-0.002178190759704962,0.48439677881836257,0.546951492618027,0.046951492618027,0.5118372195458489,0.5369698308507953,-0.025132611304946373,0.0026970632872040756,0.47775323445881984,0.19990533291259072,False,15844
db15k,db15k_native_adamf,R0,1,63376,0.032864625920011624,0.029169075159916263,0.10613108612079873,0.40622633173441053,0.47289918994894975,0.06667285821453922,0.5826557928259408,0.20416245897500632,0.21252199875032762,0.008359539775321306,0.5141043361092067,0.5608443287625183,0.06084432876251833,0.5770378936204574,0.6103887907094168,-0.03335089708895933,0.0021628815901314656,0.5119911644051751,0.17434521931208583,True,15844
db15k,db15k_native_adamf,R0,2,63376,0.04178492391301485,0.03761800485790265,0.12050278817742849,0.4074728603887907,0.4823829701413756,0.07491010975258489,0.58753030267257,0.2243436001009846,0.24132191263845842,0.01697831253747381,0.5288480783306052,0.5744599007022531,0.07445990070225306,0.6092803827868187,0.6318164604897754,-0.022536077702956625,0.0026570719021762304,0.5392868412748502,0.20179867466077628,True,15844
db15k,db15k_native_adamf,R0,3,63376,0.0286229961567841,0.025189000451528554,0.08985505345813025,0.3895323150719515,0.4487069435110333,0.05917462843908178,0.5713632903078597,0.20327884372633173,0.2042895244734838,0.0010106807471520762,0.5045018286888362,0.5477451511129384,0.04774515111293842,0.5609967887680591,0.5928111587982833,-0.03181437003022414,0.0023495590614910195,0.4826443673082991,0.17308299147996214,True,15844
db15k,db15k_native_adamf,R1,1,63376,0.03384039654427379,0.029517575120276467,0.09270192742442122,0.40622633173441053,0.4964187220069063,0.09019239027249576,0.6030740518862987,0.20416245897500632,0.20339998428266834,-0.0007624746923379777,0.4791481337107804,0.5435985062255836,0.04359850622558359,0.5748012550457313,0.6103887907094168,-0.03558753566368544,0.005650700249937027,0.5462290943515304,0.22246765541180183,False,15844
