dataset,pair_id,representation,direction,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_mhyper_native,R3,tail,95064,0.02483117677208684,0.021726088552429076,0.08250696363184482,0.23940713624505597,0.30524555881255266,0.0658384225674967,0.5797171921664461,0.1278717495581924,0.14525785264081273,0.01738610308262034,0.4966573467979581,0.554403460304788,0.05440346030478804,0.3770857588052434,0.36727888580324836,0.009806873001995065,-9.139845312416568e-06,0.3555649063749211,0.15527035556490637,False,23766
db15k,db15k_native_adamf,R0,head,95064,0.023967397097437036,0.020571067666214603,0.0863034556112326,0.4664015820920643,0.5224616775820395,0.05606009548997526,0.5779266670925219,0.2673356896406631,0.2707276215763123,0.003391931935649184,0.5069035166727295,0.5470254908100715,0.04702549081007146,0.6829885625555117,0.7337372717327274,-0.050748709177215745,-0.002046338403237208,0.5440774247843467,0.2386913528297917,False,23766
db15k,db15k_native_adamf,R0,tail,95064,0.044880966895770015,0.040746319313350376,0.12633276708362484,0.33575275603803756,0.4356768452004146,0.09992408916237705,0.6035773619766835,0.1538542455608853,0.16571962189743794,0.01186537633655263,0.509432665349744,0.5747993122452176,0.07479931224521763,0.5038129931541662,0.48960700159892284,0.014205991555243325,0.004958145484909445,0.5169366715758469,0.164317273301073,True,23766
db15k,db15k_native_adamf,R1,head,95064,0.02472901187858659,0.020824651426870604,0.04525020449666204,0.4664015820920643,0.5252643586926071,0.05886277660054284,0.5821591429339846,0.2673356896406631,0.2543682416312946,-0.012967448009368499,0.4697817384599192,0.5209079339493573,0.020907933949357305,0.6779021546347253,0.7337372717327274,-0.05583511709800215,0.00021721834314907185,0.5439722280664844,0.2811908268462024,False,23766
db15k,db15k_native_adamf,R1,tail,95064,0.0461547336230038,0.041306864173998155,0.12420537672083784,0.33575275603803756,0.44331958082670003,0.10756682478866247,0.5974302405623402,0.1538542455608853,0.17967121357439447,0.02581696801350916,0.531314537625494,0.5879460710748717,0.08794607107487173,0.5029492853864566,0.48960700159892284,0.013342283787533715,0.008197665638272195,0.5386071954555018,0.148116978750263,True,23766
db15k,db15k_native_adamf,R2,head,95064,0.024439176572742246,0.02071213506427279,0.06269787701445921,0.4664015820920643,0.5271256069218468,0.060724024829782564,0.5762978069771587,0.2673356896406631,0.263621286354675,-0.0037144032859880993,0.48858645157794955,0.5323809575045794,0.032380957504579366,0.6845338872155968,0.7337372717327274,-0.04920338451713058,-0.00041786622000500686,0.5625920471281296,0.265411319166842,False,23766
db15k,db15k_native_adamf,R2,tail,95064,0.04586269958928418,0.041201571734128875,0.11355786843683506,0.33575275603803756,0.43511581447925585,0.09936305844121829,0.5882553813252975,0.1538542455608853,0.18303083940990514,0.029176593849019827,0.5215678728393197,0.5738364758140705,0.07383647581407049,0.5335278481945362,0.48960700159892284,0.043920846595613405,0.009763191381145413,0.5393435724805387,0.1598990111508521,True,23766
db15k,db15k_native_adamf,R3,head,95064,0.024507023115501625,0.020778817598750846,0.04921974368294109,0.4664015820920643,0.5165000788576077,0.050098496765543454,0.5671308491808152,0.2673356896406631,0.2577334698827969,-0.009602219757866237,0.4780330595404707,0.5195236321315355,0.019523632131535518,0.6927923593122263,0.7337372717327274,-0.040944912420501134,-0.0013088539928360287,0.5357668840732169,0.25983589312013466,False,23766
db15k,db15k_native_adamf,R3,tail,95064,0.045922575121051926,0.04124943833870345,0.12044996221460576,0.33575275603803756,0.4356022260289462,0.09984946999090866,0.5867218183590669,0.1538542455608853,0.18278908901029317,0.02893484344940786,0.5271078626551627,0.5774211735327829,0.07742117353278288,0.5446132816053003,0.48960700159892284,0.05500628000637747,0.0139033277942271,0.5361876709446666,0.15243004418262152,True,23766
mkg_w,mkgw_mhyper_adamf,R0,head,51312,0.016500291183208365,0.01305536735485271,0.1315278484516245,0.5505339881509199,0.6235109111279785,0.0729769229770586,0.6083425349400904,0.20088868101029,0.2023217420852309,0.0014330610749409,0.51069374858116,0.5581440529012514,0.05814405290125135,0.6872114062051039,0.7514226691612098,-0.06421126295610591,-0.0020581628518409763,0.6503605534983434,0.18865718183589944,False,12828
