dataset,pair_id,representation,relation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
mkg_w,mkgw_mhyper_native,R1,33,672,0.022062060490379107,0.01884003956523088,0.269398164424407,0.27827380952380953,0.34009019014316677,0.061816380619357236,0.6223827112850764,0.3005952380952381,0.439426038581405,0.13883080048616692,0.6768274699810407,0.7128183406575952,0.2128183406575952,0.5602583249394754,0.5788690476190477,-0.01861072267957231,-0.00468129434651315,0.34328358208955223,0.1791044776119403,False,84
mkg_w,mkgw_mhyper_native,R1,34,4416,0.03566550191325368,0.032719827275090776,0.241810361998613,0.22894021739130435,0.31503283220648026,0.08609261481517591,0.6236976227721205,0.2760416666666667,0.4374182576693476,0.16137659100268092,0.6400067947211585,0.6863658898953189,0.18636588989531888,0.5879352533581265,0.5049818840579711,0.0829533693001554,0.008356235706533576,0.3506787330316742,0.23529411764705882,True,552
mkg_w,mkgw_mhyper_native,R1,35,240,0.02963478196367147,0.026822517414027674,0.1719205997804234,0.29583333333333334,0.35993882325264537,0.06410548991931203,0.5932161013417785,0.23333333333333334,0.27376534377565587,0.04043201044232253,0.6164596273291926,0.6659959758551308,0.16599597585513082,0.4862802104778373,0.5291666666666667,-0.04288645618882936,-0.037651384606420014,0.2916666666666667,0.08333333333333333,False,30
mkg_w,mkgw_mhyper_native,R1,36,144,0.03191563810459441,0.02745918225180897,0.2790036590469063,0.2708333333333333,0.547629966440152,0.27679663310681873,0.7697191697191698,0.3402777777777778,0.3675485465231939,0.02727076874541612,0.5215896885069817,0.7116692830978545,0.2116692830978545,0.781413350619144,0.6111111111111112,0.1703022395080328,0.012528296461830998,0.5714285714285714,0.42857142857142855,True,18
mkg_w,mkgw_mhyper_native,R1,37,1968,0.019838637760195642,0.01732586692768357,0.1519812506819989,0.2190040650406504,0.3055925290328516,0.08658846399220121,0.5952446007001315,0.2703252032520325,0.3014977773983284,0.031172574146295873,0.5614711395480344,0.6198515430106589,0.11985154301065892,0.4915763120162811,0.4893292682926829,0.0022470437235981855,0.006941590647251393,0.40609137055837563,0.1065989847715736,True,246
mkg_w,mkgw_mhyper_native,R1,38,336,0.019459506620291632,0.01655480861836614,0.19089736130301163,0.24404761904761904,0.40721393944748546,0.16316632039986642,0.6131649702323795,0.2916666666666667,0.43704311378427674,0.14537644711761005,0.618547418967587,0.6633897461423593,0.16338974614235935,0.6273947756781914,0.5357142857142857,0.09168048996390565,-0.01851741855711632,0.5,0.2647058823529412,False,42
mkg_w,mkgw_mhyper_native,R1,39,672,0.07569933734798802,0.07222998379419351,0.20460687833759875,0.10714285714285714,0.10051574729496944,-0.006627109847887697,0.49421296296296297,0.16666666666666666,0.4066193330721769,0.23995266640551025,0.7100127551020409,0.6861359126984127,0.18613591269841268,0.36658816447975434,0.27380952380952384,0.0927786406702305,0.015179782903663501,0.05970149253731343,0.014925373134328358,False,84
mkg_w,mkgw_mhyper_native,R1,40,720,0.03365544550093001,0.030283475694129893,0.23917404579564086,0.25972222222222224,0.3808606201908703,0.12113839796864806,0.5955794564115942,0.29444444444444445,0.5091992076741317,0.21475476322968728,0.6569974743723073,0.6714509131268288,0.1714509131268288,0.6697647621337288,0.5541666666666667,0.11559809546706212,0.027544373585803212,0.4861111111111111,0.16666666666666666,True,90
mkg_w,mkgw_mhyper_native,R1,41,528,0.038408056047497974,0.03507935493034225,0.2503610055762803,0.14583333333333334,0.25281749590471886,0.10698416257138552,0.7013562933740317,0.24053030303030304,0.32986203761202215,0.08933173458171911,0.5959707031633514,0.7426117189896717,0.2426117189896717,0.42581527400046904,0.38636363636363635,0.03945163763683268,0.01159479093630553,0.2830188679245283,0.18867924528301888,True,66
mkg_w,mkgw_mhyper_native,R1,43,48,0.04161416621917827,0.03729667921042933,0.7441666174963876,0.2916666666666667,0.6139983266033686,0.32233165993670193,0.8676470588235294,0.2916666666666667,0.8341930128694834,0.5425263462028167,0.9138655462184874,1.0,0.5,0.6898502217750151,0.5833333333333334,0.10651688844168172,0.018011845877699502,0.6,0.0,True,6
