relation_id,relation_name,n_queries,mean_rr_gate,mean_rr_residual,mean_delta_rr,mean_delta_rr_raw,mean_delta_rr_shrunk,fusion_win_rate,struct_win_rate,head_has_img_ratio,tail_no_img_ratio,is_visual_prior
25,rel_0025,48,0.08812494681261042,0.1321526652944365,-0.031078389516583087,-0.04402771848182604,-0.031078389516583087,0.8125,0.1875,0.4375,0.5,0
26,rel_0026,12,0.05875546271070948,0.26816284201956103,-0.07852776724081932,-0.20940737930885153,-0.07852776724081932,0.5,0.5,0.0,0.5,0
27,rel_0027,6,0.21436588103254764,0.5000695488169414,-0.06593161564255241,-0.28570366778439377,-0.06593161564255241,0.5,0.5,0.0,0.5,0
28,rel_0028,318,0.22898754662987847,0.4600999526663965,-0.21743711573849941,-0.23111240603651823,-0.21743711573849941,0.39308176100628933,0.5031446540880503,0.3867924528301887,0.5,0
29,rel_0029,78,0.12735367075140164,0.2694542717997746,-0.11310047838543966,-0.1421006010483729,-0.11310047838543966,0.5769230769230769,0.3717948717948718,0.3076923076923077,0.5,0
30,rel_0030,12,0.07243783060612688,0.03405629559853108,0.014393075627848423,0.03838153500759579,0.014393075627848423,0.5833333333333334,0.3333333333333333,0.5,0.5,1
31,rel_0031,324,0.15678794315569244,0.3065093947131744,-0.14101671600181442,-0.14972145155748198,-0.14101671600181442,0.49691358024691357,0.4567901234567901,0.35185185185185186,0.5,0
32,rel_0032,684,0.1770114874641964,0.31125083825814215,-0.13042573287366316,-0.13423935079394572,-0.13042573287366316,0.5263157894736842,0.42105263157894735,0.36403508771929827,0.5,0
33,rel_0033,6,0.0393306523591715,0.00025714583437445,0.009016963044183934,0.03907350652479705,0.009016963044183934,1.0,0.0,0.0,0.5,1
34,rel_0034,36,0.14807207654993,0.2737763084776602,-0.08080986338211231,-0.12570423192773025,-0.08080986338211231,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.5,0
35,rel_0035,102,0.11332162955746346,0.16901848684623022,-0.046566224946345894,-0.05569685728876665,-0.046566224946345894,0.5980392156862745,0.3627450980392157,0.35294117647058826,0.5,0
36,rel_0036,162,0.2210594901181173,0.40162392942802716,-0.16072219323189788,-0.18056443930990998,-0.16072219323189788,0.47530864197530864,0.4074074074074074,0.24074074074074073,0.5,0
37,rel_0037,12,0.0009450509758417083,0.00020345776244532344,0.00027809745502364435,0.0007415932133963849,0.00027809745502364435,0.75,0.25,0.25,0.5,1
38,rel_0038,510,0.13257735560322292,0.3155887978770225,-0.1761053501125243,-0.18301144227379976,-0.1761053501125243,0.4,0.5509803921568628,0.4,0.5,0
39,rel_0039,60,0.037776097623466454,0.04479241498689892,-0.005262238022574351,-0.007016317363432468,-0.005262238022574351,0.7166666666666667,0.2833333333333333,0.0,0.5,0
40,rel_0040,6,0.15071726981626934,0.5000655443846335,-0.08061883259269943,-0.3493482745683642,-0.08061883259269943,0.5,0.5,0.5,0.5,0
41,rel_0041,42,0.08838460784391097,0.19673542565874197,-0.0733989411003694,-0.10835081781483102,-0.0733989411003694,0.6904761904761905,0.2857142857142857,0.2857142857142857,0.5,0
42,rel_0042,12,0.0043772579852091415,0.000191921991738675,0.0015695009975514249,0.004185335993470467,0.0015695009975514249,1.0,0.0,0.25,0.5,1
43,rel_0043,1026,0.06515542620978451,0.22769235058428905,-0.15942914379373027,-0.16253692437450476,-0.15942914379373027,0.48148148148148145,0.5038986354775828,0.3567251461988304,0.5,0
44,rel_0044,156,0.3031707084364599,0.3401098098138875,-0.03274147622090156,-0.036939101377427404,-0.03274147622090156,0.6217948717948718,0.22435897435897437,0.36538461538461536,0.5,0
45,rel_0045,1272,0.23150349157638403,0.2802859114540634,-0.048027274059139174,-0.0487824198776791,-0.048027274059139174,0.5385220125786163,0.3742138364779874,0.3231132075471698,0.5,0
46,rel_0046,126,0.12623063516402813,0.4063831797283724,-0.24177548366511895,-0.2801525445643442,-0.24177548366511895,0.3492063492063492,0.6111111111111112,0.42857142857142855,0.5,0
47,rel_0047,48,0.3378410094707795,0.3761422410131526,-0.027036163441675098,-0.038301231542373054,-0.027036163441675098,0.5625,0.25,0.3125,0.5,0
48,rel_0048,690,0.08571610101364181,0.1269876860782374,-0.04010900520362117,-0.041271585064595696,-0.04010900520362117,0.5608695652173913,0.4318840579710145,0.36086956521739133,0.5,0
49,rel_0049,138,0.1409567972979486,0.11072541713773557,0.02640462317790759,0.03023138016021304,0.02640462317790759,0.6304347826086957,0.35507246376811596,0.3695652173913043,0.5,1
50,rel_0050,12,0.06554279477866304,0.018460454506091416,0.017655877602214362,0.04708234027257163,0.017655877602214362,0.6666666666666666,0.3333333333333333,0.0,0.5,1
51,rel_0051,12,0.26106151476185013,0.001068658578969692,0.09749732106858018,0.2599928561828805,0.09749732106858018,1.0,0.0,0.5,0.5,1
