split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
test,pair,MKG-W,M-Hyper + NativE,pooled,0.2,20,0.3671076081219217,0.0028028672353035662,0.008773982218062705,0.009163936983309936,0.07814349323458741,0.20000779909530494,0.20000779909530494,25644,5129,5129,5129,225,235,25184,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.2,20,0.360057779922373,0.0003368404462912356,0.00042895024177195444,0.0050694119482140075,0.043159558201372385,0.20000779909530494,0.005537357666510685,25644,5129,5129,142,11,130,25503,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.2,20,0.37480408119572656,0.0002374224079481786,0.002322763078166027,0.005268295967144685,0.03216460078236475,0.19999326735339662,0.007910859758971251,59412,11882,11882,470,138,313,58961,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.2,20,0.3749543216673331,0.0003876628795547875,0.003753450481384232,0.00888709351646132,0.03734369619987595,0.19999326735339662,0.012977176328014543,59412,11882,11882,771,223,528,58661,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.3,30,0.3680222757420318,0.0037175348554136464,0.03154734050850101,0.03677273436281391,0.0559583967591316,0.299992200904695,0.299992200904695,25644,7693,7693,7693,809,943,23892,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.3,30,0.3608454094580389,0.0011244699819571435,0.00698019029792544,0.03509592887225082,0.036526651661057626,0.299992200904695,0.04340196537201685,25644,7693,7693,1113,179,900,24565,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.3,30,0.37508407618166595,0.0005174173938875794,0.013566282905810275,0.0318117552009695,0.03868634955129196,0.3000067326466034,0.04967010031643439,59412,17824,17824,2951,806,1890,56716,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.3,30,0.3752958419404787,0.0007291831527003157,0.016091025382077694,0.03468996162391436,0.03946763111485932,0.3000067326466034,0.05305325523463274,59412,17824,17824,3152,956,2061,56395,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.4,40,0.3688915055606423,0.004586764674024204,0.06297769458742786,0.08656995788488535,0.03991679338464068,0.4000155981906099,0.4000155981906099,25644,10258,10258,10258,1615,2220,21809,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.4,40,0.36136112459664405,0.0016401851205623144,0.02004367493370769,0.08290438309156138,0.019928362086921173,0.4000155981906099,0.10688660115426611,25644,10258,10258,2741,514,2126,23004,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.4,40,0.37538437632441196,0.0008177175366335377,0.030010772234565407,0.06784824614555982,0.037953343839394985,0.4000033663233017,0.10970847640207365,59412,23765,23765,6518,1783,4031,53598,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.4,40,0.3754962947049878,0.0009296359172093969,0.03381471756547499,0.0748501986130748,0.03886461677013509,0.4000033663233017,0.11527974146637043,59412,23765,23765,6849,2009,4447,52956,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.5,50,0.36933928325088516,0.005034542364267114,0.09031352363125877,0.13979878334113244,0.0371663631219061,0.5,0.5,25644,12822,12822,12822,2316,3585,19743,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.5,50,0.36162406524533885,0.0019031257692571578,0.03513492434877554,0.13262361566058337,0.02368481607054141,0.5,0.17688348151614414,25644,12822,12822,4536,901,3401,21342,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.5,50,0.3755925700776837,0.0010259112899053265,0.047078031374133175,0.10435602235238672,0.037311979365247744,0.5,0.17417356762943514,59412,29706,29706,10348,2797,6200,50415,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.5,50,0.375303878935793,0.0007372201480146531,0.052733454520972195,0.11331044233488184,0.043466031081794074,0.5,0.17979532754325725,59412,29706,29706,10682,3133,6732,49547,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.6,60,0.36959566237902797,0.0052909214924098625,0.11601154266105132,0.19107783497114333,0.036425521094353826,0.59998440180939,0.59998440180939,25644,15386,15386,15386,2975,4900,17769,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.6,60,0.36178707826225376,0.0020661387861720002,0.05100608329433785,0.17934019653720168,0.02332980191441269,0.59998440180939,0.24793323974418968,25644,15386,15386,6358,1308,4599,19737,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.6,60,0.3757481206006936,0.001181461812915203,0.06264727664444893,0.14045983976301085,0.0367805667680112,0.5999966336766983,0.24054063152225139,59412,35647,35647,14291,3722,8345,47345,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.6,60,0.3751371484803145,0.0005704896925360872,0.0697165555779977,0.1508617787652326,0.04651659510873071,0.5999966336766983,0.2441425974550596,59412,35647,35647,14505,4142,8963,46307,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.7,70,0.37009646286699893,0.005791721980380813,0.14022773358290438,0.24181094992980814,0.03450708045321364,0.700007799095305,0.700007799095305,25644,17951,17951,17951,3596,6201,15847,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.7,70,0.3616971807497247,0.001976241273642948,0.06574637342068321,0.22211823428482297,0.024749745284342692,0.700007799095305,0.31683824676337546,25644,17951,17951,8125,1686,5696,18262,0
