split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
dev,pooled,Pooled,Pooled,head,0.6,60,0.22669565963698904,0.0015090172440377725,0.10366453516969995,0.24308629830026782,0.028025797535125654,0.6171913428430891,0.4046291741815598,73188,43913,45171,29614,7587,17791,47810,0
dev,pooled,Pooled,Pooled,tail,0.6,60,0.5228032778686533,0.0024452522823252207,0.03787506148548942,0.08450838935344591,0.06302850886790645,0.5828141225337488,0.21595070230092364,73188,43913,42655,15805,2772,6185,64231,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.7,70,0.19684984514298517,0.003522089923886787,0.1739164328032429,0.3635796694730278,0.01636638569230333,0.6967570938571874,0.6967570938571874,12828,8980,8938,8938,2231,4664,5933,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.7,70,0.5280009368230456,0.00861657709875965,0.10352354225132522,0.1323666978484565,0.052981686050063814,0.7032273152478953,0.7032273152478953,12828,8980,9021,9021,1328,1698,9802,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.7,70,0.19006419564677793,0.0009287173170674754,0.08613969441845962,0.3086997193638915,0.014907815404385715,0.6417212347988774,0.41791393826005613,12828,8980,8232,5361,1105,3960,7763,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.7,70,0.5205631565120697,0.004054704108240113,0.03835360149672591,0.14998440910508262,0.04790482233056991,0.7582631743062052,0.21881821016526348,12828,8980,9727,2807,492,1924,10412,0
dev,pair,DB15K,M-Hyper + NativE,head,0.7,70,0.24546683676565295,0.0019525385351725423,0.1254312883951864,0.27337372717327274,0.03253362800355163,0.7660102667676513,0.48863923251704117,23766,16636,18205,11613,2981,6497,14288,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.7,70,0.5222462797979446,0.0005865519802066992,0.030505764537574687,0.071362450559623,0.05537900397164304,0.6339729024657074,0.1368341327947488,23766,16636,15067,3252,725,1696,21345,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.7,70,0.24407444492761032,0.0005601466971299359,0.1139442901624169,0.25885719094504755,0.03784872213826587,0.7416056551375915,0.4160986282925187,23766,16636,17625,9889,2708,6152,14906,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.7,70,0.5215089049152354,-0.00015082290250247382,0.04885130017672305,0.11794159723975427,0.08495564589395993,0.6583775140957671,0.20693427585626525,23766,16636,15647,4918,1161,2803,19802,0
