dataset,pair_id,coverage_target,metric,observed,random_mean,random_ci95_low,random_ci95_high,observed_minus_random_mean,random_samples,matching_strata
mkg_w,mkgw_native_adamf,0.1,consensus_gain_capture,0.17367086894157385,0.16242716487854442,0.15402242266346258,0.17139869604988325,0.011243704063029436,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.1,high_gain_precision,0.11067809820732658,0.11862217459080282,0.10872954014029618,0.1289945440374123,-0.007944076383476245,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.1,high_gain_recall,0.11059190031152648,0.11852978971962616,0.10864485981308411,0.12889408099688474,-0.007937889408099683,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.1,high_gain_enrichment,1.1057466073236646,1.1851131274539084,1.086279237476417,1.2887398838877921,-0.07936652013024381,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.1,raw_oracle_gain_capture,0.16580669092923833,0.15486901274613626,0.1472874406730767,0.16310085499619775,0.010937678183102068,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,selected_mean_realized_utility,0.005933487669081746,0.004032473988060063,0.0021369622950456707,0.005886421964472244,0.0019010136810216826,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,selective_population_gain,0.0011868825505818336,0.0008066205373684223,0.00042745909331830294,0.0011774679420670235,0.0003802620132134113,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,positive_transfer_rate,0.28955572876071706,0.152242790335152,0.14555728760717068,0.15900233826968044,0.13731293842556505,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,negative_transfer_rate,0.23402182385035075,0.11778770459859703,0.11184236165237724,0.12412314886983632,0.11623411925175373,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,changed_rate,1.0,0.5744619056897895,0.5662461028838659,0.583008573655495,0.4255380943102105,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,stable2_opportunity_rate,0.4793452844894778,0.43989984411535465,0.4310210444271239,0.4485580670303975,0.03944544037412312,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,stable2_opportunity_enrichment,0.8455777378205473,0.7759949395368219,0.7603325024630287,0.7912682733589025,0.06958279828372549,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,stable2_gain_capture,0.293023848262858,0.26654019889662395,0.24987467191465385,0.28245996484215496,0.02648364936623404,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,stable3_opportunity_rate,0.2538971161340608,0.22241319173811377,0.21395167575993765,0.2309041309431021,0.03148392439594702,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,stable3_opportunity_enrichment,0.917333391287912,0.8035815867107516,0.7730100258128376,0.8342594540876253,0.11375180457716039,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,stable3_gain_capture,0.32264632219194916,0.28313413875561244,0.25687764830751664,0.3093246176314651,0.03951218343633672,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,consensus_gain_capture,0.2814462099972142,0.2738384741856781,0.26416188110904043,0.28387589059883567,0.0076077358115361204,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,high_gain_precision,0.10190958690568978,0.11029949337490257,0.10366328916601715,0.11691348402182385,-0.008389906469212782,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,high_gain_recall,0.20366043613707166,0.22042718068535824,0.2071651090342679,0.2336448598130841,-0.016766744548286583,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,high_gain_enrichment,1.0181434430110503,1.1019640973623444,1.0356640758735731,1.1680421908348568,-0.08382065435129404,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.2,raw_oracle_gain_capture,0.26939027041226216,0.26249831047253475,0.253818108994899,0.2718998415063217,0.00689195993972741,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,selected_mean_realized_utility,0.0034832430950675593,0.002921071677002077,0.0016777733663856421,0.004117160757932479,0.0005621714180654822,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,selective_population_gain,0.0010450000819588012,0.0008763442741614042,0.0005033450889098179,0.0012351803224901112,0.00016865580779739698,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,positive_transfer_rate,0.3268806028322723,0.18381811095231906,0.17929063271404444,0.18838508509809015,0.14306249187995326,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,negative_transfer_rate,0.26997531505781475,0.14213972976484343,0.1378459139924646,0.14629076263479276,0.12783558529297132,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,changed_rate,1.0,0.5706748733272705,0.5646355723008964,0.5771079641418735,0.4293251266727295,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,stable2_opportunity_rate,0.5734701831882552,0.5394388722879043,0.53293490970508,0.5459269845394309,0.03403131090035083,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,stable2_opportunity_enrichment,1.011616544271031,0.9515844133263527,0.9401112516084661,0.9630296146413393,0.0600321309446783,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,stable2_gain_capture,0.35319244278154993,0.34187126641783677,0.3250045213134919,0.3585820502140407,0.011321176363713159,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,stable3_opportunity_rate,0.2967389892165779,0.2763572170975705,0.26984539430947124,0.2829673898921658,0.02038177211900738,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,stable3_opportunity_enrichment,1.072121603624915,0.998482011245637,0.974954715730713,1.0223646465389953,0.07363959237927808,2000,seed|direction|relation_id
