pair,method,deployable,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation,hits_at_1,hits_at_3,hits_at_10
db15k_mhyper_native,Primary,True,59412,0.3745666587877784,0.3745666587877784,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.29956911061738367,0.4092775870194573,0.517336565003703
db15k_mhyper_native,Secondary,True,59412,0.31276148478023846,0.3745666587877784,-0.061805174007539945,0.5006059381943042,0.2834107587692722,0.7840166969635763,0.192814819676342,0.09652424370184075,0.034719069694300796,,,0.20681007203931864,0.37808860162930047,0.49951188312125494
db15k_mhyper_native,Equal-z,True,59412,0.36074416807261356,0.3745666587877784,-0.01382249071516486,0.303137413317175,0.3662223119908436,0.6693597253080186,0.11889117193549023,0.036040362326772005,0.02221787161160715,,,0.2641890527166229,0.41723894162795394,0.5324345250117821
db15k_mhyper_native,RRF,True,59412,0.3542964075196441,0.3745666587877784,-0.020270251268134278,0.38623510401939004,0.3290412711236787,0.7152763751430687,0.1315133526590361,0.05079507344420153,0.030524822176067255,,,0.25767521712785296,0.4098666935972531,0.5300612670840907
db15k_mhyper_native,Global,True,59412,0.3745666587877784,0.3745666587877784,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.29956911061738367,0.4092775870194573,0.517336565003703
db15k_mhyper_native,Relation,True,59412,0.37449136832184715,0.3745666587877784,-7.529046593127939e-05,0.10528176126035145,0.19275567225476334,0.2980374335151148,0.07648374829488862,0.008052343728279277,0.007977053262347997,,,0.2963542718642698,0.4124924257725712,0.5219315963105097
db15k_mhyper_native,Expert-oracle,False,59412,0.4092857284820792,0.3745666587877784,0.034719069694300796,0.0,0.2834107587692722,0.2834107587692722,,0.0,0.034719069694300796,,,0.3298996835656096,0.4491348549114657,0.5586918467649633
db15k_mhyper_adamf,Primary,True,59412,0.3745666587877784,0.3745666587877784,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.29956911061738367,0.4092775870194573,0.517336565003703
db15k_mhyper_adamf,Secondary,True,59412,0.2825884394797199,0.3745666587877784,-0.09197821930805855,0.5344374873762876,0.29046320608631254,0.8249006934626002,0.2290488882944859,0.122412312346437,0.03043409303837845,,,0.15890729145627147,0.365262909849862,0.49641486568370025
db15k_mhyper_adamf,Equal-z,True,59412,0.3381083603629499,0.3745666587877784,-0.03645829842482851,0.3488689153706322,0.3668787450346731,0.7157476604053054,0.1654051967006197,0.05770473156961126,0.021246433144782764,,,0.22569514576179897,0.4100350097623376,0.531491954487309
db15k_mhyper_adamf,RRF,True,59412,0.32678419210282034,0.3745666587877784,-0.04778246668495802,0.4233319868040127,0.33232343634282635,0.755655423146839,0.1753579420612066,0.07423462601463354,0.02645215932967552,,,0.21313875984649566,0.4000706927893355,0.5263078166027065
db15k_mhyper_adamf,Global,True,59412,0.3745666587877784,0.3745666587877784,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.29956911061738367,0.4092775870194573,0.517336565003703
db15k_mhyper_adamf,Relation,True,59412,0.3731788090863422,0.3745666587877784,-0.0013878497014362021,0.039924594358042145,0.07113041136470746,0.11105500572274961,0.09728074324046707,0.0038838942127244983,0.0024960445112882966,,,0.2963206086312529,0.4097993671312193,0.518649431091362
db15k_mhyper_adamf,Expert-oracle,False,59412,0.4050007518261569,0.3745666587877784,0.03043409303837845,0.0,0.29046320608631254,0.29046320608631254,,0.0,0.03043409303837845,,,0.3229145627146031,0.4469467447653673,0.5579680872550999
mkgw_native_adamf,Primary,True,25644,0.33803667583727187,0.34412700905997506,-0.006090333222703151,0.28965839962564344,0.23892528466697863,0.528583684292622,0.04403490078382065,0.012755078888715478,0.006664745666012328,,,0.24220090469505537,0.39560910934331617,0.49617844330057714
mkgw_native_adamf,Secondary,True,25644,0.2963189096948776,0.34412700905997506,-0.047808099365097424,0.5105287786616752,0.26961472469193576,0.7801435033536109,0.1553884350819147,0.07933026798051891,0.031522168615421495,,,0.2009436905318983,0.35645765091249415,0.44883793479956324
mkgw_native_adamf,Equal-z,True,25644,0.3272677976070048,0.34412700905997506,-0.01685921145297023,0.400561534861956,0.3088831695523319,0.709444704414288,0.10528385649406999,0.04217266315345059,0.02531345170048036,,,0.22761659647480892,0.38936983309936046,0.4865465605989705
