split,dataset,pair,variant_id,variant,seed,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
dev,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,1,15844,0.3727826577355627,0.3841293779489628,-0.01134672021340014,0.30377429941933853,0.34845998485231,0.11047655036074949,0.0,1.0,0.47333059833375407,0.65,0.0,4813,5521,5510,7922
dev,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,2,15844,0.3770215677388832,0.38203732246464484,-0.005015754725761611,0.2684928048472608,0.36821509719767737,0.10117426217691523,0.0,1.0,0.45535533956071694,0.6,0.0,4254,5834,5756,7922
dev,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,3,15844,0.36957487218813095,0.38159433865871994,-0.01201946647058887,0.296137339055794,0.364869982327695,0.12329773185333569,0.0,1.0,0.4693701085584448,0.65,0.0,4692,5781,5371,7922
dev,DB15K,M-Hyper + NativE,C_no_bound,No Bound,1,15844,0.38527273445571575,0.3841293779489628,0.0011433565067529485,0.12869224943196161,0.23037111840444333,0.05993246917207432,0.05150214592274678,0.4582807371875789,0.15145796516031304,0.5,0.5016409997475385,2039,3650,10155,7922
dev,DB15K,M-Hyper + NativE,C_no_bound,No Bound,2,15844,0.384841355073372,0.38203732246464484,0.002804032608727249,0.10723302196415047,0.21894723554657913,0.04862636117461381,0.054089876293865184,0.4217369351173946,0.12386076748295884,0.44999999999999996,0.5325675334511487,1699,3469,10676,7922
dev,DB15K,M-Hyper + NativE,C_no_bound,No Bound,3,15844,0.3843232782636174,0.38159433865871994,0.002728939604897497,0.12282251956576622,0.24002777076495835,0.06010097917428639,0.053395607169906587,0.4491290078263065,0.14376104519060842,0.5,0.5077000757384499,1946,3803,10095,7922
dev,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,1,15844,0.38488282353596953,0.3841293779489628,0.0007534455870067309,0.10622317596566523,0.22570058066144913,0.03905123140552217,0.0,0.4674955819237566,0.07731317849028022,0.25,0.5016409997475385,1683,3576,10585,7922
dev,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,2,15844,0.3839960888879849,0.38203732246464484,0.001958766423340119,0.08823529411764706,0.21238323655642516,0.026854415092087445,0.0,0.4301943953547084,0.06334574602373139,0.25,0.5325675334511487,1398,3365,11081,7922
dev,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,3,15844,0.38289968633124466,0.38159433865871994,0.0013053476725247498,0.10180509972229235,0.23794496339308255,0.039702800540291155,0.0,0.46168896743246657,0.0733400656399899,0.25,0.5077000757384499,1613,3770,10461,7922
test,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,1,19804,0.3767455158670009,0.37537340126984575,0.001372114597155162,0.10558473035750353,0.22369218339729346,0.03389004994881412,0.0,0.4585942233892143,0.07465663502322764,0.25,0.5098464956574429,2091,4430,13283,9902
test,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,2,19804,0.3756129887517452,0.3748110422730253,0.0008019464787198388,0.08745707937790345,0.212027873156938,0.032945124657818896,0.0,0.42269238537669157,0.06197232882246011,0.25,0.5405978590183801,1732,4199,13873,9902
test,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,3,19804,0.37515570616824556,0.3735155328204642,0.0016401733477814286,0.09907089476873358,0.23439709149666735,0.03629024321200758,0.0,0.45122197535851344,0.07117501514845484,0.25,0.515501918804282,1962,4642,13200,9902
