split,dataset,pair,variant_id,variant,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
dev,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,tail,12828,0.5084538338931004,0.5165084524038296,-0.008054618510729137,0.18233551605862178,0.3319301527907702,0.16851667999817282,0.0,0.9774711568444029,0.3759939195509822,0.7,0.0,2339,4258,6231,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,head,12828,0.19118454582012567,0.1891354783297105,0.0020490674904151676,0.12106329903336452,0.3276426566884939,0.019467046195838295,0.28710632990333645,0.4680386654193951,0.19283988150919862,0.6,0.3604614904895541,1553,4203,7072,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,tail,12828,0.5235230654933477,0.5165084524038296,0.007014613089518138,0.05441222326161522,0.16541939507327721,0.06991474923429307,0.19644527595884004,0.2456345494231369,0.11437480511381352,0.65,0.6490489554100405,698,2122,10008,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,head,12828,0.1896872403331838,0.1891354783297105,0.0005517620034732695,0.1212192079825382,0.4119893981914562,0.01650502450252426,0.0,0.5984565014031805,0.10089257873401933,0.30000000000000004,0.3604614904895541,1555,5285,5988,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,tail,12828,0.520164666583889,0.5165084524038296,0.003656214180059417,0.05199563454942314,0.1937168693483006,0.04587822436447586,0.0,0.32444652323043344,0.059818366074212655,0.30000000000000004,0.6490489554100405,667,2485,9676,4276
test,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,head,12822,0.18565498214345744,0.18416065738512905,0.0014943247583283858,0.104507877086258,0.3401965372016846,0.013432113443023747,0.28614880673841836,0.4801123069723912,0.09849867415379815,0.30000000000000004,0.3454219310559975,1340,4362,7120,4274
test,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,tail,12822,0.5377554310369844,0.5352812215670345,0.002474209469949993,0.04156917797535486,0.15091249415067853,0.05161897793849961,0.1982530026516924,0.23241304008734986,0.053548588363749795,0.30000000000000004,0.661831227577601,533,1935,10354,4274
test,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,head,12822,0.17918696232125728,0.18416065738512905,-0.004973695063871796,0.2947278115738574,0.5418031508345031,0.06856718793905728,0.0,0.9813601622211824,0.5053579784744969,0.65,0.0,3779,6947,2096,4274
test,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,tail,12822,0.5257538062520116,0.5352812215670345,-0.00952741531502295,0.1856184682576821,0.31991888940882857,0.18098576234893574,0.0,0.9793323974418967,0.3710263609421307,0.7,0.0,2380,4102,6340,4274
test,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,head,12822,0.18604996818456646,0.18416065738512905,0.0018893107994374296,0.12735922632974575,0.3304476680705038,0.02449503146008519,0.28614880673841836,0.4801123069723912,0.19734440804866638,0.6,0.3454219310559975,1633,4237,6952,4274
test,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,tail,12822,0.5406535002277292,0.5352812215670345,0.005372278660694696,0.05201996568398066,0.15559195133364528,0.07445457280479481,0.1982530026516924,0.23241304008734986,0.10738184370613008,0.65,0.661831227577601,667,1995,10160,4274
test,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,head,12822,0.1857032404389927,0.18416065738512905,0.0015425830538636838,0.1261113710809546,0.41662767119014193,0.014769284208636763,0.0,0.6130088909686476,0.10741693963500233,0.30000000000000004,0.3454219310559975,1617,5342,5863,4274
test,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,tail,12822,0.5376203972759378,0.5352812215670345,0.002339175708903251,0.05155201996568398,0.18093901107471533,0.05285293480093337,0.0,0.3125097488691312,0.05878178131336765,0.30000000000000004,0.661831227577601,661,2320,9841,4274
dev,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,head,23766,0.2453993821150567,0.24351429823048046,0.001885083884576291,0.14360851636792055,0.3155768745266347,0.03187022753563845,0.03879491710847429,0.5937894471093158,0.10727509888075402,0.25,0.3631658672052512,3413,7500,12853,7922
dev,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,tail,23766,0.5223753321782012,0.5216597278177378,0.0007156043604633236,0.048304300260876884,0.11810990490616848,0.047743068757734874,0.06719683581587141,0.26525288226878735,0.03225616426828243,0.15000000000000002,0.6647732054195069,1148,2807,19811,7922
dev,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,head,23766,0.23913139204919082,0.24351429823048046,-0.004382906181289611,0.35500294538416227,0.435201548430531,0.0736921292678469,0.0,1.0,0.5025814188336278,0.65,0.0,8437,10343,4986,7922
dev,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,tail,23766,0.5071213397258604,0.5216597278177378,-0.014538388091877472,0.2239333501641,0.2858284944879239,0.17265904009956998,0.0,1.0,0.4294559454683161,0.6,0.0,5322,6793,11651,7922
dev,DB15K,M-Hyper + NativE,C_no_bound,No Bound,head,23766,0.24631985861533226,0.24351429823048046,0.002805560384851778,0.17541866532020534,0.32504418076243374,0.05295040880812373,0.03879491710847429,0.6042665993436,0.2147269208112429,0.55,0.3631658672052512,4169,7725,11872,7922
dev,DB15K,M-Hyper + NativE,C_no_bound,No Bound,tail,23766,0.5233050532464711,0.5216597278177378,0.0016453254287333513,0.06374652865438021,0.13451990238155348,0.06668299896344679,0.06719683581587141,0.28183118741058655,0.06465959774467726,0.35,0.6647732054195069,1515,3197,19054,7922
dev,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,head,23766,0.24543204369386185,0.24351429823048046,0.0019177454633814072,0.14621728519734073,0.32302448876546325,0.03142633677452912,0.0,0.6126399057477068,0.10854582176218126,0.25,0.3631658672052512,3475,7677,12614,7922
dev,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,tail,23766,0.5224203554762709,0.5216597278177378,0.0007606276585329924,0.05129176133972903,0.1276613649751746,0.047661847197894174,0.0,0.2936127240595809,0.03412017167381975,0.15000000000000002,0.6647732054195069,1219,3034,19513,7922
test,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,head,29706,0.2387055438608147,0.23722596474809207,0.0014795791127226148,0.1434053726519895,0.3185888372719316,0.03163225089447293,0.0,0.5955025920689423,0.10485928768598936,0.25,0.379754931663637,4260,9464,15982,9902
test,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,tail,29706,0.5129705966638464,0.5119073528274648,0.0010632438363816716,0.05133643035077089,0.12815592809533427,0.04221188112906022,0.0,0.2928364640140039,0.0336766983101057,0.15000000000000002,0.664209250656433,1525,3807,24374,9902
test,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,head,29706,0.23386815594243973,0.23722596474809207,-0.003357808805652373,0.3535985996095065,0.440719046657241,0.06835693057560178,0.0,1.0,0.49713189254696016,0.65,0.0,10504,13092,6110,9902
