pair,label,comparator,seed,direction,n,delta
mkgw_mhyper_adamf,W-A,No-fallback,1,tail,4274,-0.0002404732476607089
mkgw_mhyper_adamf,W-A,No-fallback,2,head,4274,0.0005079439466809117
mkgw_mhyper_adamf,W-A,No-fallback,2,tail,4274,-0.00015916505877876222
mkgw_mhyper_adamf,W-A,No-fallback,3,head,4274,-3.1831570032596464e-05
mkgw_mhyper_adamf,W-A,No-fallback,3,tail,4274,-0.00045317238155767164
db15k_mhyper_native,D-N,Primary,1,head,9902,-0.00021661664903475242
db15k_mhyper_native,D-N,Primary,1,tail,9902,1.5804648919224822e-05
db15k_mhyper_native,D-N,Primary,2,head,9902,-5.8391917720076395e-05
db15k_mhyper_native,D-N,Primary,2,tail,9902,7.754887330702302e-05
db15k_mhyper_native,D-N,Primary,3,head,9902,-0.00028804544277247636
db15k_mhyper_native,D-N,Primary,3,tail,9902,-1.763904048414825e-05
db15k_mhyper_native,D-N,Secondary,1,head,9902,0.02769803021676058
db15k_mhyper_native,D-N,Secondary,1,tail,9902,0.09384956206994298
db15k_mhyper_native,D-N,Secondary,2,head,9902,0.031158282802893816
db15k_mhyper_native,D-N,Secondary,2,tail,9902,0.09063347196591835
db15k_mhyper_native,D-N,Secondary,3,head,9902,0.029457578376133116
db15k_mhyper_native,D-N,Secondary,3,tail,9902,0.09754677908580567
db15k_mhyper_native,D-N,Equal-z,1,head,9902,0.005702429119988541
db15k_mhyper_native,D-N,Equal-z,1,tail,9902,0.023544597293372917
db15k_mhyper_native,D-N,Equal-z,2,head,9902,0.005785876136660773
db15k_mhyper_native,D-N,Equal-z,2,tail,9902,0.016817982585166157
db15k_mhyper_native,D-N,Equal-z,3,head,9902,0.004057246981897699
db15k_mhyper_native,D-N,Equal-z,3,tail,9902,0.026539472646117866
db15k_mhyper_native,D-N,RRF,1,head,9902,0.007808088545175752
db15k_mhyper_native,D-N,RRF,1,tail,9902,0.030383535522363725
db15k_mhyper_native,D-N,RRF,2,head,9902,0.011461475991442378
db15k_mhyper_native,D-N,RRF,2,tail,9902,0.030903483869362276
db15k_mhyper_native,D-N,RRF,3,head,9902,0.005769534932977743
db15k_mhyper_native,D-N,RRF,3,tail,9902,0.03480804921969859
db15k_mhyper_native,D-N,Global,1,head,9902,-0.00021661664903475242
db15k_mhyper_native,D-N,Global,1,tail,9902,1.5804648919224822e-05
db15k_mhyper_native,D-N,Global,2,head,9902,-5.8391917720076395e-05
db15k_mhyper_native,D-N,Global,2,tail,9902,7.754887330702302e-05
db15k_mhyper_native,D-N,Global,3,head,9902,-0.00028804544277247636
db15k_mhyper_native,D-N,Global,3,tail,9902,-1.763904048414825e-05
db15k_mhyper_native,D-N,Relation,1,head,9902,-0.001074591118862717
