pair,label,dataset,split,partition,group,defined_relations,direction,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,1-99,128,tail,807,269,63,0.03145463049579046,0.00017023539532392065,0.600303634634056,0.605715727945618,0.005412093311561968,0.011235702353263077,0.005823609041701109,0.024783147459727387,0.09665427509293681,0.16480793060718713,0.30855018587360594
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,100-999,30,head,4485,1495,30,0.17481290926099158,1.6593490283409254e-05,0.2576439756656071,0.25773889708962294,9.49214240158635e-05,0.0017749455237770911,0.001680024099761228,0.044816053511705686,0.12129319955406911,0.1959866220735786,0.5761426978818284
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,100-999,30,tail,4485,1495,30,0.17481290926099158,0.00044256377922567664,0.5978617651357936,0.6003934075705347,0.0025316424347411283,0.004814535601055469,0.002282893166314342,0.021181716833890748,0.06978818283166109,0.115273132664437,0.40914158305462656
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,1000+,10,head,7533,2511,10,0.2936155285313377,0.00010219390840045696,0.1376686904535885,0.13801674394010413,0.00034805348651561444,0.001382236223193291,0.0010341827366776764,0.07155183857692818,0.2712066905615293,0.37528209212797026,0.5405548918093721
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,1000+,10,tail,7533,2511,10,0.2936155285313377,0.0004624056121658029,0.45930108425827754,0.4608759519584934,0.0015748677002158289,0.0021395693681740898,0.0005647016679582608,0.009425195805124121,0.039824771007566706,0.06491437674233373,0.42731979291119077
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R1,1,head,2487,829,1,0.09693638914873713,2.925338714459306e-05,0.06648100898030743,0.06678278819244321,0.00030177921213577787,0.0004758648549112457,0.00017408564277546787,0.0546843586650583,0.22396461600321674,0.30317651789304384,0.6240450341777242
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R1,1,tail,2487,829,1,0.09693638914873713,2.9628422928954924e-05,0.1391772385342277,0.1394828866318012,0.00030564809757348916,0.0005362245429990563,0.00023057644542556709,0.010052271813429835,0.04101326899879373,0.05629272215520708,0.4977885002010454
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R2,1,head,1386,462,1,0.05402245088868101,0.0002022175492168857,0.020368971996409305,0.02411218515853659,0.003743213162127287,0.005140441546644551,0.0013972283845172626,0.16666666666666666,0.7792207792207793,0.9588744588744589,0.03535353535353535
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R2,1,tail,1386,462,1,0.05402245088868101,0.00019182296831487945,0.9631144689219581,0.966665269841934,0.0035508009199758635,0.005002896909886979,0.001452095989911116,0.0036075036075036075,0.01875901875901876,0.05988455988455989,0.14357864357864358
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R3,1,head,564,188,1,0.021983161833489244,-7.422636990920746e-05,0.4234505900561354,0.42007407986749956,-0.0033765101886358627,7.490472350635318e-05,0.0034514149121422167,0.040780141843971635,0.05673758865248227,0.15780141843971632,0.6613475177304965
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R3,1,tail,564,188,1,0.021983161833489244,1.4499934218918174e-05,0.6270449615626799,0.6277045543150214,0.0006595927523414266,0.0009599789258393156,0.000300386173497889,0.012411347517730497,0.031914893617021274,0.047872340425531915,0.3882978723404255
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R4,1,head,534,178,1,0.020813844714686624,-6.6628123684584896e-06,0.07613930547619961,0.07581919103027233,-0.0003201144459272865,0.00040644847984312304,0.0007265629257704095,0.0599250936329588,0.18164794007490637,0.27153558052434457,0.6217228464419475
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R4,1,tail,534,178,1,0.020813844714686624,0.00010696272157071514,0.32036054810398945,0.32549956605271274,0.005139017948723347,0.0056688668237473705,0.0005298488750240236,0.00749063670411985,0.03932584269662921,0.06554307116104868,0.7191011235955056
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R5,1,head,504,168,1,0.019644527595884004,-7.103968957121247e-07,0.062419546078470486,0.06238338349363638,-3.616258483410768e-05,4.041104221844509e-05,7.657362705255279e-05,0.00992063492063492,0.025793650793650792,0.041666666666666664,0.9047619047619048
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R5,1,tail,504,168,1,0.019644527595884004,1.6653235450224704e-06,0.22967610771113847,0.22976088060969221,8.47728985537629e-05,9.682372200946269e-05,1.2050823455699797e-05,0.003968253968253968,0.011904761904761904,0.021825396825396824,0.5575396825396826
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,Other,164,head,7353,2451,99,0.286599625818522,-2.1179242099977996e-05,0.2613513230454207,0.2612774246862044,-7.389835921624308e-05,0.0018209538092849354,0.0018948521685011785,0.04732762137902897,0.12199102407180742,0.20685434516523868,0.5846593227254182
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,Other,164,tail,7353,2451,99,0.286599625818522,0.00073062541613691,0.5853770341330847,0.5879263236307604,0.002549289497675583,0.004745379071233953,0.00219608957355837,0.01944784441724466,0.07044743642050863,0.11464708282333741,0.4059567523459812
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,Train-zero,1,head,0,0,0,0.0,0.0,,,,,,,,,
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,Train-zero,1,tail,0,0,0,0.0,0.0,,,,,,,,,
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,1-99,128,head,789,263,58,0.030767430978006553,6.165106355990348e-05,0.25516059043848005,0.25716436721152214,0.002003776773042034,0.002120549215038632,0.00011677244199659815,0.04055766793409379,0.12801013941698353,0.19518377693282637,0.467680608365019
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,1-99,128,tail,789,263,58,0.030767430978006553,7.308945145533797e-05,0.5924291438553204,0.5948046899809487,0.002375546125628247,0.006154934593880741,0.0037793884682524943,0.025348542458808618,0.10392902408111533,0.16603295310519645,0.33079847908745247
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,100-999,30,head,4536,1512,30,0.17688348151614414,-4.750128301990219e-06,0.22924449886982448,0.22921764430849823,-2.6854561326330948e-05,0.0020099795563784037,0.0020368341177047335,0.050705467372134036,0.15652557319223986,0.23809523809523808,0.5588624338624338
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,100-999,30,tail,4536,1512,30,0.17688348151614414,0.00023718440054214138,0.6029547618823485,0.6042956694589584,0.0013409075766099368,0.0035896402875976547,0.0022487327109877173,0.019400352733686066,0.0650352733686067,0.11596119929453262,0.41887125220458554
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,1000+,10,head,7497,2499,10,0.2923490875058493,0.0002583058839503643,0.14941085717788974,0.15029441007745264,0.0008835528995629108,0.002044929411865741,0.00116137651230283,0.06776043750833667,0.2747765772975857,0.38241963452047484,0.5328798185941043
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,1000+,10,tail,7497,2499,10,0.2923490875058493,0.00038843094094776696,0.48832151907860943,0.48965017361371216,0.0013286545351026459,0.0020387784906706063,0.0007101239555679604,0.006669334400426837,0.038948912898492734,0.05949046285180739,0.426437241563292
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R1,1,head,2406,802,1,0.09382311651848385,-9.361261595976209e-05,0.09872214264662206,0.09772438623611826,-0.0009977564105037985,0.00022969522590719175,0.0012274516364109902,0.04738154613466334,0.2144638403990025,0.29842061512884455,0.6292601828761429
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R1,1,tail,2406,802,1,0.09382311651848385,5.830332206844856e-06,0.1851379737447553,0.18520011549002224,6.214174526696987e-05,0.0002522373348718382,0.00019009558960486836,0.007896924355777223,0.03948462177888612,0.06026600166251039,0.5120532003325021
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R2,1,head,1455,485,1,0.05673841834347216,0.0004312822602720379,0.028604990155047996,0.036206228837120935,0.007601238682072948,0.008299122625853727,0.0006978839437807785,0.16151202749140894,0.7855670103092783,0.9676975945017182,0.029553264604810996
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R2,1,tail,1455,485,1,0.05673841834347216,0.00020423803199077356,0.9740236852942569,0.9776233279694262,0.003599642675169345,0.004653480017666482,0.0010538373424971363,0.0027491408934707906,0.015120274914089347,0.03986254295532646,0.14845360824742268
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R3,1,head,513,171,1,0.020004679457182966,-4.0988248098219196e-05,0.45903765114370654,0.45698871813351016,-0.002048933010196361,0.0005511813068754151,0.0026001143170717757,0.023391812865497075,0.056530214424951264,0.17153996101364521,0.621832358674464
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R3,1,tail,513,171,1,0.020004679457182966,-6.306640535674614e-06,0.6264183482599617,0.6261030899950556,-0.0003152582649061205,9.628024892450097e-06,0.00032488628979857054,0.001949317738791423,0.015594541910331383,0.021442495126705652,0.32748538011695905
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R4,1,head,465,155,1,0.018132896583996257,-4.4438600322248176e-06,0.09412059198712712,0.09387552027386611,-0.00024507171326101766,0.00222722763076324,0.0024722993440242573,0.08387096774193549,0.23010752688172043,0.34838709677419355,0.5612903225806452
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R4,1,tail,465,155,1,0.018132896583996257,1.5107804601565287e-05,0.3128887438569113,0.31372191491326085,0.0008331710563495488,0.0019176564634156008,0.0010844854070660524,0.004301075268817204,0.025806451612903226,0.04946236559139785,0.7526881720430108
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R5,1,head,468,156,1,0.018249883013570427,1.181098500081107e-06,0.08363790542372788,0.08370262356461694,6.471814088905963e-05,8.570910320792631e-05,2.0990962318866673e-05,0.008547008547008548,0.02564102564102564,0.038461538461538464,0.8675213675213675
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R5,1,tail,468,156,1,0.018249883013570427,-1.9447397787105327e-05,0.2456086765719245,0.2445430589034362,-0.0010656176684883097,2.2325727147393805e-05,0.0010879433956357035,0.004273504273504274,0.004273504273504274,0.01282051282051282,0.6217948717948718
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,Other,164,head,7515,2505,93,0.2930510060832943,2.1788184526364768e-05,0.2346995719307673,0.23477392139237663,7.434946160932776e-05,0.0016147461804354223,0.0015403967188260944,0.048702594810379245,0.141583499667332,0.22714570858283434,0.5796407185628742
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,Other,164,tail,7515,2505,93,0.2930510060832943,0.0004992826624688425,0.5880157893297415,0.5897195291296552,0.001703739799913639,0.0037443486038194235,0.0020406088039057833,0.017298735861610112,0.07052561543579508,0.11443779108449767,0.41264138389886895
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,Train-zero,6,head,0,0,0,0.0,0.0,,,,,,,,,
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,Train-zero,6,tail,0,0,0,0.0,0.0,,,,,,,,,
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,1-99,186,head,984,328,101,0.020701842968947236,2.114926881151007e-06,0.35755485226451067,0.3576570135495868,0.00010216128507608706,0.001221001375188696,0.001118840090112609,0.026422764227642278,0.07621951219512195,0.19613821138211382,0.7845528455284553
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,1-99,186,tail,984,328,101,0.020701842968947236,0.0,0.42791100726611564,0.42791100726611564,0.0,0.0,0.0,0.0,0.0,0.009146341463414634,0.7774390243902439
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,100-999,68,head,6927,2309,68,0.1457334006563999,-2.3716742730917118e-05,0.330341871014089,0.3301791304026431,-0.00016274061144592935,0.001339265210001508,0.0015020058214474375,0.03190414320773784,0.06972715461238631,0.2107694528655984,0.7708964919878736
