pair,label,dataset,split,direction,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
db15k_mhyper_native,D-N,db15k,test,tail,29706,9902,191,0.5,1.261908029034994e-05,0.5119073528274647,0.5119325909880453,2.523816058069988e-05,5.4411141152077214e-05,2.9172980571377325e-05,0.0009089072914562715,0.0027603851073857134,0.006597993671312193,0.8762202921968626
db15k_mhyper_adamf,D-A,db15k,dev_oof,head,23766,7922,188,0.5,4.501800984929727e-05,0.24351429823048043,0.243604334250179,9.003601969859454e-05,0.0002959166074522222,0.00020588058775362767,0.0015989228309349491,0.003408230244887655,0.005974922157704283,0.9209795506185307
db15k_mhyper_adamf,D-A,db15k,dev_oof,tail,23766,7922,188,0.5,-8.574686584976525e-06,0.5216597278177378,0.521642578444568,-1.714937316995305e-05,2.6111119963744763e-05,4.326049313369781e-05,0.00025246149962130775,0.0007573844988639232,0.00130438441471009,0.993057308760414
db15k_mhyper_adamf,D-A,db15k,test,head,29706,9902,191,0.5,0.00016808946793462416,0.23722596474809204,0.2375621436839613,0.00033617893586924833,0.0004144212451033514,7.824230923410305e-05,0.0014138557867097556,0.004881168787450347,0.007271258331650172,0.934356695617047
db15k_mhyper_adamf,D-A,db15k,test,tail,29706,9902,191,0.5,4.346412137970818e-05,0.5119073528274647,0.511994281070224,8.692824275941636e-05,0.00010534921694638613,1.8420974186969778e-05,0.00047128526223658526,0.0009762337574900693,0.0017168248838618462,0.9927960681343836
mkgw_native_adamf,W-NA,mkg_w,dev_oof,head,12828,4276,104,0.5,3.560901904644755e-06,0.18312550424949808,0.18313262605330735,7.12180380928951e-06,0.0001699015065687743,0.00016277970275948477,0.0028843155597131276,0.002806361085126286,0.008730901153726224,0.9912690988462738
mkgw_native_adamf,W-NA,mkg_w,dev_oof,tail,12828,4276,104,0.5,0.00014339873192247842,0.48725793642839565,0.48754473389224057,0.00028679746384495684,0.0018698897164908547,0.0015830922526458983,0.01691612098534456,0.029856563766760214,0.07148425319613345,0.9285157468038665
mkgw_native_adamf,W-NA,mkg_w,test,head,12822,4274,98,0.5,-2.7663319309430343e-05,0.1819401154916026,0.18188478885298373,-5.5326638618860686e-05,9.469303216618773e-05,0.0001500196707850484,0.0028076743097800653,0.003821556699422867,0.009514896272032444,0.9904851037279676
mkgw_native_adamf,W-NA,mkg_w,test,tail,12822,4274,98,0.5,0.00016658290534604387,0.5063139026283474,0.5066470684390395,0.00033316581069208775,0.0018838700035708666,0.001550704192878779,0.015520199656839807,0.027530806426454533,0.0627047262517548,0.9372952737482452
db15k_native_adamf,D-NA,db15k,dev_oof,head,23766,7922,188,0.5,-9.156047866378526e-05,0.2139189076083994,0.21373578665107185,-0.0001831209573275705,0.00019517096002445494,0.0003782919173520255,0.006059075990911386,0.02023899688630817,0.03538668686358663,0.9617100058907683
db15k_native_adamf,D-NA,db15k,dev_oof,tail,23766,7922,188,0.5,0.00012207327754057003,0.4281249289498713,0.42836907550495246,0.00024414655508114006,0.000651164823160351,0.00040701826807921083,0.003955230160733822,0.017714381890095093,0.041571993604308674,0.9467727004965076
db15k_native_adamf,D-NA,db15k,test,head,29706,9902,191,0.5,-8.207644809751536e-05,0.20760031627965378,0.20743616338345874,-0.0001641528961950307,0.00021745445356902463,0.00038160734976405535,0.007607890661819161,0.02322763078166027,0.039722614959940755,0.9574160102336229
db15k_native_adamf,D-NA,db15k,test,tail,29706,9902,191,0.5,6.720486289269881e-05,0.41792265328082306,0.4180570630066085,0.00013440972578539762,0.0006523192255563228,0.0005179094997709252,0.004207904127112368,0.018582104625328215,0.041607756008887095,0.9479566417558742
