pair,label,dataset,split,partition,group,defined_relations,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
mkgw_mhyper_native,W-N,mkg_w,test,frequency,1-99,128,1578,263,58,0.061534861956013105,4.311351409049685e-05,0.4427469267642281,0.44344756235062655,0.0007006355863984165,0.01042437396303018,0.009723738376631763,0.14575411913814956,0.09885931558935361,0.5830164765525983,0.41698352344740175
mkgw_mhyper_native,W-N,mkg_w,test,frequency,100-999,30,9072,1512,30,0.3537669630322883,0.0015165883795824925,0.4230431855913247,0.42733015565371585,0.004286970062391252,0.009075793836506332,0.004788823774115078,0.11937830687830688,0.1283068783068783,0.5703262786596119,0.429673721340388
mkgw_mhyper_native,W-N,mkg_w,test,frequency,1000+,10,14994,2499,10,0.5846981750116986,0.0008869467749363314,0.32112644893328923,0.32264337991211184,0.0015169309788226812,0.006939666421311758,0.005422735442489077,0.17153528077897826,0.24409763905562226,0.6766706682673069,0.32332933173269307
mkgw_mhyper_native,W-N,mkg_w,test,named_group,R1,1,4812,802,1,0.1876462330369677,0.00019828675785802714,0.14323533702688135,0.14429204226763595,0.0010567052407546235,0.004723316794743708,0.0036666115539890844,0.23815461346633415,0.328761429758936,0.6814214463840399,0.3185785536159601
mkgw_mhyper_native,W-N,mkg_w,test,named_group,R2,1,2910,485,1,0.11347683668694432,0.0006281316847877885,0.5010423076109366,0.5065776371383244,0.005535329527387645,0.011741207869158167,0.006205878341770524,0.20549828178694157,0.2927835051546392,0.9855670103092784,0.01443298969072165
mkgw_mhyper_native,W-N,mkg_w,test,named_group,R3,1,1026,171,1,0.04000935891436593,7.492727084285969e-05,0.5377910700975852,0.5396638136974822,0.0018727435998969727,0.008538452911515218,0.006665709311618246,0.08674463937621832,0.1539961013645224,0.6325536062378168,0.36744639376218324
mkgw_mhyper_native,W-N,mkg_w,test,named_group,R4,1,930,155,1,0.03626579316799251,1.0347818877728946e-06,0.215270036322434,0.21529856959848784,2.8533276053815172e-05,0.0022420944588871813,0.002213561182833366,0.13548387096774195,0.2967741935483871,0.5645161290322581,0.43548387096774194
mkgw_mhyper_native,W-N,mkg_w,test,named_group,R5,1,936,156,1,0.036499766027140855,2.3195437566146792e-05,0.1729389051620089,0.17357440067584037,0.0006354955138314832,0.006792365397849814,0.0061568698840183305,0.1452991452991453,0.08440170940170941,0.4252136752136752,0.5747863247863247
mkgw_mhyper_native,W-N,mkg_w,test,named_group,Other,164,15030,2505,93,0.5861020121665886,0.0015210727356667255,0.4185193121471312,0.42111454762507117,0.002595235477939954,0.008565525765646802,0.005970290287706848,0.11909514304723885,0.13526280771789753,0.5669328010645376,0.4330671989354624
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,Train-zero,1,6,1,1,0.00023386342376052386,0.0,0.00011400318367292875,0.00011400318367292875,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,1-99,128,1614,269,63,0.06290926099158092,0.00018014011172817716,0.4449089832911893,0.44777247443524015,0.002863491144050875,0.007850962707983668,0.004987471563932794,0.03407682775712516,0.10346964064436183,0.1771995043370508,0.4033457249070632
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,100-999,30,8970,1495,30,0.34962581852198316,0.0004591572695090859,0.4277528704007004,0.42906615233007883,0.001313281929378496,0.003294740562416281,0.0019814586330377847,0.03299888517279822,0.09554069119286511,0.1556298773690078,0.4926421404682274
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,frequency,1000+,10,15066,2511,10,0.5872310570626754,0.0005645995205662599,0.2984848873559331,0.29944634794929875,0.0009614605933657217,0.0017609027956836905,0.0007994422023179686,0.040488517191026155,0.155515730784548,0.220098234435152,0.4839373423602814
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R1,1,4974,829,1,0.19387277829747426,5.888181007354797e-05,0.10282912375726756,0.1031328374121222,0.00030371365485463346,0.000506044698955151,0.00020233104410051744,0.03236831523924407,0.13248894250100524,0.17973462002412546,0.5609167671893848
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R2,1,2772,462,1,0.10804490177736202,0.0003940405175317651,0.49174172045918363,0.49538872750023527,0.003647007041051575,0.005071669228265765,0.0014246621872141892,0.08513708513708514,0.398989898989899,0.5093795093795094,0.08946608946608947
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R3,1,1128,188,1,0.04396632366697849,-5.972643569028931e-05,0.5252477758094076,0.5238893170912604,-0.0013584587181472184,0.0005174418246728345,0.0018759005428200526,0.026595744680851064,0.044326241134751775,0.10283687943262411,0.524822695035461
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R4,1,1068,178,1,0.04162768942937325,0.00010029990920225664,0.1982499267900945,0.20065937854149254,0.00240945175139803,0.0030376576517952467,0.0006282059003972165,0.033707865168539325,0.1104868913857678,0.16853932584269662,0.6704119850187266
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,R5,1,1008,168,1,0.03928905519176801,9.549266493103456e-07,0.14604782689480447,0.1460721320516643,2.4305156859827606e-05,6.861738211395389e-05,4.43122252541263e-05,0.006944444444444444,0.018849206349206348,0.031746031746031744,0.7311507936507936
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,named_group,Other,164,14706,2451,99,0.573199251637044,0.0007094461740369319,0.4233641785892527,0.42460187415848233,0.0012376955692296697,0.003283166440259445,0.0020454708710297745,0.03338773289813682,0.09621923024615803,0.16075071399428806,0.49530803753569974
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,Train-zero,1,0,0,0,0.0,0.0,,,,,,,,,
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,1-99,128,1578,263,58,0.061534861956013105,0.00013474051501524145,0.4237948671469002,0.42598452859623537,0.0021896614493351406,0.004137741904459686,0.0019480804551245462,0.032953105196451206,0.11596958174904944,0.1806083650190114,0.39923954372623577
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,100-999,30,9072,1512,30,0.3537669630322883,0.00023243427224015116,0.4160996303760865,0.41675665688372837,0.000657026507641803,0.0027998099219880292,0.002142783414346225,0.03505291005291005,0.11078042328042328,0.17702821869488536,0.4888668430335097
mkgw_mhyper_adamf,W-A,mkg_w,test,frequency,1000+,10,14994,2499,10,0.5846981750116986,0.0006467368248981313,0.31886618812824963,0.31997229184558246,0.0011061037173327785,0.0020418539512681733,0.0009357502339353952,0.03721488595438175,0.1568627450980392,0.22095504868614113,0.47965853007869813
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R1,1,4812,802,1,0.1876462330369677,-8.778228375291723e-05,0.14193005819568869,0.14146225086307027,-0.0004678073326184143,0.00024096628038951495,0.0007087736130079291,0.027639235245220283,0.12697423108894432,0.17934330839567747,0.5706566916043225
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R2,1,2910,485,1,0.11347683668694432,0.0006355202922628115,0.5013143377246524,0.5069147784032736,0.005600440678621147,0.006476301321760103,0.0008758606431389576,0.08213058419243986,0.40034364261168387,0.5037800687285223,0.08900343642611684
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R3,1,1026,171,1,0.04000935891436593,-4.729488863389381e-05,0.5427279997018342,0.5415459040642829,-0.0011820956375512407,0.0002804046658839326,0.001462500303435173,0.012670565302144249,0.036062378167641324,0.09649122807017543,0.4746588693957115
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R4,1,930,155,1,0.03626579316799251,1.066394456934046e-05,0.2035046679220192,0.20379871759356347,0.0002940496715442653,0.0020724420470894203,0.0017783923755451548,0.04408602150537634,0.12795698924731183,0.1989247311827957,0.656989247311828
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,R5,1,936,156,1,0.036499766027140855,-1.8266299287024218e-05,0.16462329099782616,0.1641228412340266,-0.000500449763799625,5.4017415177660055e-05,0.0005544671789772851,0.00641025641025641,0.014957264957264958,0.02564102564102564,0.7446581196581197
mkgw_mhyper_adamf,W-A,mkg_w,test,named_group,Other,164,15030,2505,93,0.5861020121665886,0.0005210708469952074,0.41135768063025435,0.41224672526101586,0.0008890446307614836,0.0026795473921274226,0.0017905027613659389,0.033000665335994675,0.10605455755156354,0.170791749833666,0.4961410512308716
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,Train-zero,6,0,0,0,0.0,0.0,,,,,,,,,
