pair,method,base_seed,selector_seed,direction,mrr,delta_vs_global,n
mkgw_mhyper_adamf,R1_source,1,37,head,0.17234501997425988,-0.012373480767622722,4274
mkgw_mhyper_adamf,R1_source,1,37,tail,0.5141816131925437,-0.022320368932203172,4274
mkgw_mhyper_adamf,R1_source,2,11,head,0.1798629592931127,-0.0038798309493919495,4274
mkgw_mhyper_adamf,R1_source,2,11,tail,0.521579209025877,-0.012386244398759258,4274
mkgw_mhyper_adamf,R1_source,2,23,head,0.18058070409578666,-0.0031620861467179834,4274
mkgw_mhyper_adamf,R1_source,2,23,tail,0.5234827029448682,-0.01048275047976808,4274
mkgw_mhyper_adamf,R1_source,2,37,head,0.17606158700966704,-0.007681203232837596,4274
mkgw_mhyper_adamf,R1_source,2,37,tail,0.5111089271146876,-0.022856526309948597,4274
mkgw_mhyper_adamf,R1_source,3,11,head,0.179338913689687,-0.004681767481312797,4274
mkgw_mhyper_adamf,R1_source,3,11,tail,0.5248898665019526,-0.010486362649767815,4274
mkgw_mhyper_adamf,R1_source,3,23,head,0.1798192750675876,-0.004201406103412175,4274
mkgw_mhyper_adamf,R1_source,3,23,tail,0.5239803293930023,-0.011395899758718075,4274
mkgw_mhyper_adamf,R1_source,3,37,head,0.1768820628907871,-0.007138618280212672,4274
mkgw_mhyper_adamf,R1_source,3,37,tail,0.5130679578321932,-0.022308271319527215,4274
mkgw_mhyper_adamf,R2_init,1,11,head,0.17547071147151322,-0.009247789270369402,4274
mkgw_mhyper_adamf,R2_init,1,11,tail,0.521317771419393,-0.015184210705353918,4274
mkgw_mhyper_adamf,R2_init,1,23,head,0.17752736118387763,-0.007191139558004981,4274
mkgw_mhyper_adamf,R2_init,1,23,tail,0.5225648617317671,-0.013937120392979828,4274
mkgw_mhyper_adamf,R2_init,1,37,head,0.1775545195600445,-0.0071639811818381026,4274
mkgw_mhyper_adamf,R2_init,1,37,tail,0.5214051613628493,-0.01509682076189763,4274
mkgw_mhyper_adamf,R2_init,2,11,head,0.17959473357383193,-0.0041480566686727055,4274
mkgw_mhyper_adamf,R2_init,2,11,tail,0.5210461855403271,-0.012919267884309056,4274
mkgw_mhyper_adamf,R2_init,2,23,head,0.18008395887703077,-0.0036588313654738933,4274
mkgw_mhyper_adamf,R2_init,2,23,tail,0.5233166700872406,-0.01064878333739562,4274
mkgw_mhyper_adamf,R2_init,2,37,head,0.18057879217648576,-0.003163998066018871,4274
mkgw_mhyper_adamf,R2_init,2,37,tail,0.5210719163793335,-0.012893537045302687,4274
mkgw_mhyper_adamf,R2_init,3,11,head,0.17961621586069565,-0.0044044653103041415,4274
mkgw_mhyper_adamf,R2_init,3,11,tail,0.5243850921148648,-0.010991137036855664,4274
mkgw_mhyper_adamf,R2_init,3,23,head,0.17870554852989773,-0.005315132641102027,4274
mkgw_mhyper_adamf,R2_init,3,23,tail,0.5251361620852089,-0.01024006706651169,4274
mkgw_mhyper_adamf,R2_init,3,37,head,0.17982849849772156,-0.004192182673278208,4274
mkgw_mhyper_adamf,R2_init,3,37,tail,0.5241053556682118,-0.011270873483508474,4274
mkgw_mhyper_adamf,R3_softplus_fixed,1,11,head,0.17463259881760237,-0.010085901924280235,4274
mkgw_mhyper_adamf,R3_softplus_fixed,1,11,tail,0.5200533305711611,-0.016448651553585852,4274
mkgw_mhyper_adamf,R3_softplus_fixed,1,23,head,0.17561832992738136,-0.00910017081450125,4274
mkgw_mhyper_adamf,R3_softplus_fixed,1,23,tail,0.5214249143513588,-0.015077067773388063,4274
mkgw_mhyper_adamf,R3_softplus_fixed,1,37,head,0.17732017050567003,-0.007398330236212558,4274
mkgw_mhyper_adamf,R3_softplus_fixed,1,37,tail,0.5192763029356661,-0.01722567918908077,4274
mkgw_mhyper_adamf,R3_softplus_fixed,2,11,head,0.17923696723923757,-0.004505823003267101,4274
mkgw_mhyper_adamf,R3_softplus_fixed,2,11,tail,0.521074737793357,-0.012890715631279222,4274
mkgw_mhyper_adamf,R3_softplus_fixed,2,23,head,0.1791939842743405,-0.004548805968164171,4274
mkgw_mhyper_adamf,R3_softplus_fixed,2,23,tail,0.5218161207895545,-0.012149332635081632,4274
mkgw_mhyper_adamf,R3_softplus_fixed,2,37,head,0.17937137365253036,-0.004371416589974265,4274
mkgw_mhyper_adamf,R3_softplus_fixed,2,37,tail,0.5207724315345926,-0.013193021890043526,4274
mkgw_mhyper_adamf,R3_softplus_fixed,3,11,head,0.17904791455191868,-0.004972766619081099,4274
mkgw_mhyper_adamf,R3_softplus_fixed,3,11,tail,0.5245684736839382,-0.010807755467782218,4274
mkgw_mhyper_adamf,R3_softplus_fixed,3,23,head,0.177287311483983,-0.006733369687016757,4274
mkgw_mhyper_adamf,R3_softplus_fixed,3,23,tail,0.522777207011537,-0.012599022140183477,4274
mkgw_mhyper_adamf,R3_softplus_fixed,3,37,head,0.1799642240398148,-0.004056457131184981,4274
mkgw_mhyper_adamf,R3_softplus_fixed,3,37,tail,0.5236772890020336,-0.011698940149686851,4274
mkgw_mhyper_adamf,R3_softplus,1,11,head,0.18437593291254414,-0.000342567829338492,4274
mkgw_mhyper_adamf,R3_softplus,1,11,tail,0.5363484863489252,-0.0001534957758217128,4274
