pair,method,n_observations,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters,delta_mrr_ci95,delta_mrr_vs_adc,delta_mrr_vs_adc_ci95,n_selector_seeds_per_base,interval_scope
db15k_mhyper_native,ADC,59412,0.3744854355331475,-8.122325463086762e-05,0.014239547566148253,0.033983033730559484,0.9517774187032922,0.04336259985729121,0.015779655014927813,0.0,846,2019,56547,9902,"[-0.0002540773129084094, 9.106007636528283e-05]",0.0,"[0.0, 0.0]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,Query-soft,59412,0.36099008589554277,-0.013576572892235649,0.3007304921564667,0.3669797347337238,0.33228977310980945,0.11888011024879507,0.060423775679572404,0.0,17867,21803,19742,9902,"[-0.01525310694687556, -0.011939415758140013]",-0.013495349637604782,"[-0.015128641859368809, -0.011884691361211161]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,R1_source,178236,0.3608124359131819,-0.01375422287459648,0.24696469848964295,0.375300163827734,0.377735137682623,0.10746035069362997,0.03406524021640294,0.0,44018,66892,67326,9902,"[-0.014896868704856646, -0.012597307265537027]",-0.013965776463910813,"[-0.015095425839737062, -0.01282017848865329]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,R2_init,178236,0.36281955768356633,-0.01174710110421207,0.23606903206983998,0.3749410893422204,0.3889898785879396,0.09895077466475877,0.030970498629078337,0.0,42076,66828,69332,9902,"[-0.012847943799595082, -0.010642646918097945]",-0.011958654693526404,"[-0.013044224156044695, -0.010866999151442121]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,R3_softplus_fixed,178236,0.3617622525831591,-0.012804406204619357,0.24147759150788842,0.37611369195897576,0.38240871653313585,0.1039225980323784,0.032677811880409795,0.0,43040,67037,68159,9902,"[-0.013953745406327624, -0.01167210154245867]",-0.013015959793933688,"[-0.014158546610968971, -0.011904399443439186]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,R3_softplus,178236,0.37235269865209536,-0.002213960135683011,0.14660899032743105,0.31629973742678247,0.5370912722457865,0.03449451191359711,0.008989085640531592,0.0,26131,56376,95729,9902,"[-0.0026488713596588254, -0.0017797914846326124]",-0.0024255137249973436,"[-0.0028780640142474245, -0.0019889814670581434]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,R4_swap,178236,0.30089824467672865,-0.07366841411104981,0.4939293969792859,0.3087591732309971,0.197311429789717,0.2141197834949496,0.10393745097878157,0.0,88036,55032,35168,9902,"[-0.07684132823604892, -0.07057760813297893]",-0.07387996770036415,"[-0.0770329140402485, -0.07078082499808032]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,R0_historical,59412,0.30461586725273637,-0.06995079153504201,0.4672793375075742,0.3173601292668148,0.215360533225611,0.20968215789029504,0.08832032037499099,0.0,27762,18855,12795,9902,"[-0.07282606888967484, -0.06713578823618564]",-0.07016234512435635,"[-0.07301421611628735, -0.0673702105204182]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,Global,59412,0.37456665878777834,0.0,0.0,0.0,1.0,,,0.0,0,0,59412,9902,"[0.0, 0.0]",-0.00021155358931433234,"[-0.0003775525826632393, -6.997517892385679e-05]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,ADC,59412,0.37477821237709275,0.00021155358931433237,0.0009425705244731704,0.002928701272470208,0.9961287282030566,0.05127641959475696,0.0887373640554569,0.0,56,174,59182,9902,"[6.997517892385674e-05, 0.0003775525826632393]",0.0,"[0.0, 0.0]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_adamf,Query-soft,59412,0.3387601539584993,-0.03580650482927906,0.3455025920689423,0.36777082070962097,0.28672658722143674,0.1651527836806588,0.057791996599348125,0.0,20527,21850,17035,9902,"[-0.03785972374347206, -0.033778959389986284]",-0.03601805841859338,"[-0.038033533063684226, -0.034009014875184304]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
