pair,variant,base_seed,selector_seed,learning_rate,epochs,permanent_zero_gradient,final_all_zero_weight,initial_zero_weight_fraction,final_zero_weight_fraction,initial_weight_std,final_weight_std,first_epoch_mean_loss,last_epoch_mean_loss,last_epoch_max_gradient_norm,full_dev_resubstitution_mrr
mkgw_mhyper_adamf,R2_init,2,11,5e-05,1,False,False,0.0,0.0,0.0003414538223296404,0.036304932087659836,1.291780446892354,1.291780446892354,5.167319297790527,0.3359747890563453
mkgw_mhyper_adamf,R3_softplus_fixed,2,11,5e-05,1,False,False,0.0,0.0,0.0002161106385756284,0.02836449071764946,1.3204103276800754,1.3204103276800754,3.829399347305298,0.3358844029260791
mkgw_mhyper_adamf,R3_softplus,2,11,0.0001,10,False,False,0.0,0.0,0.0002161106385756284,0.7330952882766724,1.2027359464720113,0.37284370596562305,0.736640453338623,0.34441167180896315
mkgw_mhyper_adamf,R4_swap,2,11,0.0001,10,False,False,0.0,0.0,0.0002161106385756284,0.9831099510192871,1.2781455034195488,0.3403801516866061,0.6544079184532166,0.30810292332426603
mkgw_mhyper_adamf,R1_source,2,23,5e-05,1,False,False,0.0,0.0,0.05710477754473686,0.10691412538290024,1.272947160610512,1.272947160610512,4.799674034118652,0.3370928651156408
mkgw_mhyper_adamf,R2_init,2,23,5e-05,1,False,False,0.0,0.0,0.0002169101353501901,0.031728487461805344,1.2724319033658327,1.2724319033658327,5.270071029663086,0.33508903744599855
mkgw_mhyper_adamf,R3_softplus_fixed,2,23,5e-05,1,False,False,0.0,0.0,0.00013729417696595192,0.025305861607193947,1.3053431653264742,1.3053431653264742,3.889371395111084,0.33486261900656494
mkgw_mhyper_adamf,R3_softplus,2,23,0.0001,10,False,False,0.0,0.0,0.00013729417696595192,0.7036497592926025,1.1748151227609436,0.3670732523731665,0.6932100057601929,0.3445142783646991
mkgw_mhyper_adamf,R4_swap,2,23,0.0001,10,False,False,0.0,0.0,0.00013729417696595192,0.9598507881164551,1.259331894232266,0.33572309353013535,0.8702254295349121,0.30766115819193207
mkgw_mhyper_adamf,R1_source,2,37,5e-05,1,False,False,0.7438026070594788,0.0,0.015059694647789001,0.006575318053364754,1.6232268930371128,1.6232268930371128,5.439981937408447,0.32814042958066875
mkgw_mhyper_adamf,R2_init,2,37,5e-05,1,False,False,0.0,0.0,0.0004872343270108104,0.047705601900815964,1.2564595550743503,1.2564595550743503,6.285902976989746,0.33674587555386587
mkgw_mhyper_adamf,R3_softplus_fixed,2,37,5e-05,1,False,False,0.0,0.0,0.0003088992671109736,0.03909407928586006,1.2932319138477097,1.2932319138477097,4.91040563583374,0.3353266593138975
mkgw_mhyper_adamf,R3_softplus,2,37,0.0001,10,False,False,0.0,0.0,0.0003088992671109736,0.7926039099693298,1.1549512401445587,0.370555975547394,0.8863503336906433,0.3441209959544033
mkgw_mhyper_adamf,R4_swap,2,37,0.0001,10,False,False,0.0,0.0,0.0003088992671109736,1.076215386390686,1.245026355581497,0.3321238804135972,0.8498592972755432,0.30773669355753985
