pair,run,stage,variant,base_seed,selector_seed,learning_rate,epochs,all_layers_updated_every_epoch,min_epoch_parameter_update,min_epoch_layer_max_gradient,permanent_zero_gradient,final_all_zero_weight
mkgw_mhyper_native,cv_b3_s23_f0_lr5e-05,cv,R3_softplus,3,23,5e-05,10,True,0.0024353861808776855,0.013367239385843277,False,False
mkgw_mhyper_native,cv_b3_s23_f0_lr0.0001,cv,R3_softplus,3,23,0.0001,10,True,0.0018514394760131836,0.008981126360595226,False,False
mkgw_mhyper_native,cv_b3_s23_f1_lr1e-05,cv,R3_softplus,3,23,1e-05,10,True,0.0017763972282409668,0.0027101770974695683,False,False
mkgw_mhyper_native,cv_b3_s23_f1_lr5e-05,cv,R3_softplus,3,23,5e-05,10,True,0.002397775650024414,0.014387113973498344,False,False
mkgw_mhyper_native,cv_b3_s23_f1_lr0.0001,cv,R3_softplus,3,23,0.0001,10,True,0.0017319917678833008,0.010657630860805511,False,False
mkgw_mhyper_native,cv_b3_s23_f2_lr1e-05,cv,R3_softplus,3,23,1e-05,10,True,0.00179368257522583,0.002355265198275447,False,False
mkgw_mhyper_native,cv_b3_s23_f2_lr5e-05,cv,R3_softplus,3,23,5e-05,10,True,0.0023748278617858887,0.012553025968372822,False,False
mkgw_mhyper_native,cv_b3_s23_f2_lr0.0001,cv,R3_softplus,3,23,0.0001,10,True,0.0017652511596679688,0.012117729522287846,False,False
mkgw_mhyper_native,cv_b3_s37_f0_lr1e-05,cv,R3_softplus,3,37,1e-05,10,True,0.0017183423042297363,0.0029364502988755703,False,False
mkgw_mhyper_native,cv_b3_s37_f0_lr5e-05,cv,R3_softplus,3,37,5e-05,10,True,0.0023018717765808105,0.015268820337951183,False,False
mkgw_mhyper_native,cv_b3_s37_f0_lr0.0001,cv,R3_softplus,3,37,0.0001,10,True,0.0017099380493164062,0.009024328552186489,False,False
mkgw_mhyper_native,cv_b3_s37_f1_lr1e-05,cv,R3_softplus,3,37,1e-05,10,True,0.0017317533493041992,0.002409829758107662,False,False
mkgw_mhyper_native,cv_b3_s37_f1_lr5e-05,cv,R3_softplus,3,37,5e-05,10,True,0.0024436116218566895,0.012337069027125835,False,False
mkgw_mhyper_native,cv_b3_s37_f1_lr0.0001,cv,R3_softplus,3,37,0.0001,10,True,0.0018630623817443848,0.009263267740607262,False,False
