outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
2,w32_lr3e-4_neg1p0,32,0.0003,1.0,152184,0.020651846551152396,0.017841463476656542,0.07830931938628664,0.33228197445197916,0.3897093838352167,0.05742740938323754,0.5803812624579113,0.188350943594596,0.17513366713133666,-0.013217276463259348,0.470770073122087
2,w32_lr3e-4_neg1p5,32,0.0003,1.5,152184,0.021276222221162593,0.017985161090265878,0.0357445643973481,0.33228197445197916,0.36518300166505263,0.032901027213073475,0.5549951510648512,0.188350943594596,0.17024038777997116,-0.01811055581462484,0.4626110753893783
2,w32_lr3e-4_neg2p0,32,0.0003,2.0,152184,0.0214379685567044,0.018024807377825754,0.039797605496157365,0.33228197445197916,0.35518842621632907,0.02290645176434991,0.5459544352373382,0.188350943594596,0.1794408313618434,-0.008910112232752593,0.4870825799345354
2,w32_lr3e-4_neg3p0,32,0.0003,3.0,152184,0.0219354609036519,0.018180676391870074,0.03224611802854337,0.33228197445197916,0.3619024770835619,0.029620502631582724,0.5531861554161821,0.188350943594596,0.17832560726187158,-0.010025336332724427,0.4719012324453486
2,w32_lr1e-3_neg1p0,32,0.001,1.0,152184,0.020362983407478115,0.01779006880027438,0.09440207817389953,0.33228197445197916,0.4058782339862933,0.07359625953431415,0.5992544269800156,0.188350943594596,0.17043114116084382,-0.017919802433752186,0.4618612417351331
2,w32_lr1e-3_neg1p5,32,0.001,1.5,152184,0.02043906260355503,0.017806324365110978,0.06663883868531881,0.33228197445197916,0.403634345899654,0.07135237144767487,0.5990372684482518,0.188350943594596,0.16263963389847264,-0.02571130969612337,0.4294564275122954
2,w32_lr1e-3_neg2p0,32,0.001,2.0,152184,0.020346256681877173,0.017808139122441217,0.0693735628297437,0.33228197445197916,0.40185526592899573,0.06957329147701657,0.5964155153876152,0.188350943594596,0.16921476969274876,-0.019136173901847242,0.44875735349010654
2,w32_lr1e-3_neg3p0,32,0.001,3.0,152184,0.02114729954520283,0.01798076927332538,0.042189052596050415,0.33228197445197916,0.37967702826006283,0.047395053808083676,0.5708698343447316,0.188350943594596,0.17796450129881974,-0.01038644229577626,0.4630232307766489
2,w64_lr1e-4_neg1p0,64,0.0001,1.0,152184,0.021641375800283313,0.018062599051940166,0.054200009138787184,0.33228197445197916,0.36578309137254633,0.033501116920567175,0.5528976029517716,0.188350943594596,0.1772653095266702,-0.011085634067925815,0.4857750495139595
2,w64_lr1e-4_neg1p5,64,0.0001,1.5,152184,0.022083907823243938,0.018221478476457425,0.04066805481111556,0.33228197445197916,0.3544120713557372,0.022130096903758056,0.5426425616833427,0.188350943594596,0.17777456691590876,-0.010576376678687244,0.4882913956618961
2,w64_lr1e-4_neg2p0,64,0.0001,2.0,152184,0.022364780421764822,0.01832343331596479,0.03143800268918118,0.33228197445197916,0.3505523136913755,0.01827033923939636,0.5359326900332861,0.188350943594596,0.18018557271098712,-0.008165370883608886,0.4918633398675597
2,w64_lr1e-4_neg3p0,64,0.0001,3.0,152184,0.023174937655801652,0.018643052380192874,0.02154818978630802,0.33228197445197916,0.34957921880373405,0.017297244351754892,0.5379822678939753,0.188350943594596,0.1754947123270208,-0.012856231267575208,0.4771971683950929
