dataset,pair_id,level,scope,value,count,delta_mrr,clustered_ci95_low,clustered_ci95_high
db15k,db15k_mhyper_native,L2,direction,tail,23766,-0.0007653396841928373,-0.001997310645902005,0.00048775096744320433
db15k,db15k_mhyper_native,L3,seed,1,15844,0.0010098016123565095,-0.0002972201248382221,0.0023017604910845727
db15k,db15k_mhyper_native,L3,seed,2,15844,0.000786697788074072,-0.00047253674332834816,0.002025424813713611
db15k,db15k_mhyper_native,L3,seed,3,15844,0.0013958617992941987,4.020196440645086e-05,0.002812772312877107
db15k,db15k_mhyper_native,L3,direction,head,23766,0.0014780264989883818,9.742082825407822e-05,0.0028382493697945246
db15k,db15k_mhyper_native,L3,direction,tail,23766,0.0006502143008281384,-0.0003754154493187581,0.0017095795592198652
db15k,db15k_mhyper_native,L4,seed,1,15844,-9.157513520933257e-05,-0.0008429482803996924,0.0006640911160574176
db15k,db15k_mhyper_native,L4,seed,2,15844,-0.00011840414125364082,-0.0008987321536690386,0.0006411317342661364
db15k,db15k_mhyper_native,L4,seed,3,15844,0.00011864830777326523,-0.0007401591378901902,0.0009442736177237354
db15k,db15k_mhyper_native,L4,direction,head,23766,0.0004206727416181468,-0.0003879590841052544,0.0012423293606179076
db15k,db15k_mhyper_native,L4,direction,tail,23766,-0.0004815600540779521,-0.0011237195037624367,0.0001727224980222307
db15k,db15k_mhyper_native,L5,seed,1,15844,0.0013259138927988147,5.987820133730321e-05,0.002566353161970706
db15k,db15k_mhyper_native,L5,seed,2,15844,0.0025816867946247216,0.0013360551344657678,0.0038388286878123313
db15k,db15k_mhyper_native,L5,seed,3,15844,0.0024688122104687886,0.0012379328805884645,0.003722865114323812
db15k,db15k_mhyper_native,L5,direction,head,23766,0.00256156030259368,0.0013814048109872948,0.003747987678468885
db15k,db15k_mhyper_native,L5,direction,tail,23766,0.0016893816293345365,0.0006095648396520518,0.002761444024387601
db15k,db15k_mhyper_adamf,L0,seed,1,15844,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L0,seed,2,15844,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L0,seed,3,15844,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L0,direction,head,23766,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L0,direction,tail,23766,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L1,seed,1,15844,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L1,seed,2,15844,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L1,seed,3,15844,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L1,direction,head,23766,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L1,direction,tail,23766,0.0,0.0,0.0
db15k,db15k_mhyper_adamf,L2,seed,1,15844,3.62781377040848e-05,-0.0007566425763348393,0.0008295297290472211
db15k,db15k_mhyper_adamf,L2,seed,2,15844,-0.0001517538621173135,-0.0008995593347840985,0.0005906875891881194
db15k,db15k_mhyper_adamf,L2,seed,3,15844,5.6171406868278504e-05,-0.0006377738783256545,0.0007440639837158594
db15k,db15k_mhyper_adamf,L2,direction,head,23766,-9.27910998736105e-06,-0.000589039208214061,0.0005443604371542928
db15k,db15k_mhyper_adamf,L2,direction,tail,23766,-3.025710170927249e-05,-0.0007432968706301054,0.0007157595666757809
db15k,db15k_mhyper_adamf,L3,seed,1,15844,-8.386368554655913e-05,-0.0010727755152798663,0.000877501881354416
db15k,db15k_mhyper_adamf,L3,seed,2,15844,-0.0003577654120545616,-0.001389903416189633,0.0006711177708302526
db15k,db15k_mhyper_adamf,L3,seed,3,15844,0.00014525125685532693,-0.0007501626263605968,0.001057388131199795
db15k,db15k_mhyper_adamf,L3,direction,head,23766,-0.0003266913877955758,-0.0014050553681818508,0.0007615937302772632
db15k,db15k_mhyper_adamf,L3,direction,tail,23766,0.0001291061606317133,-0.0005403670780101515,0.0008067077530245508
db15k,db15k_mhyper_adamf,L4,seed,1,15844,-0.00010774951804856324,-0.0006292680367064692,0.00041266179654460495
db15k,db15k_mhyper_adamf,L4,seed,2,15844,-9.895543652873576e-05,-0.0006261480562314497,0.0004198917672165381
db15k,db15k_mhyper_adamf,L4,seed,3,15844,-5.645525664735783e-06,-0.0004928398103421595,0.00045567002715385206
db15k,db15k_mhyper_adamf,L4,direction,head,23766,0.0001299640424192905,-0.0005047059840337621,0.0007737497303503249
db15k,db15k_mhyper_adamf,L4,direction,tail,23766,-0.0002715310292473137,-0.0005602203763181052,2.287841790906287e-05
db15k,db15k_mhyper_adamf,L5,seed,1,15844,0.0001513393467166038,-0.0007052747343855544,0.001011921139199458
db15k,db15k_mhyper_adamf,L5,seed,2,15844,0.0006804643664412094,-0.00022137283732463837,0.001600948858645638
