pair_id,level,outer_fold,global_alpha,minimum_support,training_adaptive_gain,oof_delta_mrr,support_coverage,supported_group_count,degree_edges
db15k_mhyper_native,L3,2,1.0,25,0.003560770018672766,0.0005873641165643861,0.8532574320050601,84,
db15k_mhyper_native,L4,2,1.0,50,0.0014148516695328714,-1.1441048749592666e-06,0.40227703984819735,46,"[2.079441547393799, 2.70805025100708, 3.8501474857330322]"
db15k_mhyper_native,L0,3,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_native,L1,3,1.0,1,1.0279041554594968e-05,-0.00013892951385332083,1.0,2,
db15k_mhyper_native,L2,3,1.0,25,0.0023626790104739944,-0.0011140717939380927,0.8511979823455234,42,
db15k_mhyper_native,L3,3,1.0,25,0.003825412947573978,0.0002316854567783843,0.8511979823455234,84,
db15k_mhyper_native,L4,3,1.0,50,0.001614568683220738,9.48105054832829e-05,0.4010088272383354,48,"[2.079441547393799, 2.70805025100708, 3.828641414642334]"
db15k_mhyper_native,L0,4,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_native,L1,4,1.0,1,2.5026379367736912e-05,-0.00019728379612450513,1.0,2,
db15k_mhyper_native,L2,4,1.0,25,0.0018486457754535491,0.0009902517613662658,0.8490566037735849,42,
db15k_mhyper_native,L3,4,1.0,25,0.003340402111015074,0.0024389085094764767,0.8490566037735849,84,
db15k_mhyper_native,L4,4,1.0,100,0.00030447699953185944,8.675240899994846e-05,0.2320754716981132,14,"[2.079441547393799, 2.7725887298583984, 3.8501474857330322]"
db15k_mhyper_native,L0,5,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_native,L1,5,1.0,1,0.0,0.0,1.0,2,
db15k_mhyper_native,L2,5,1.0,25,0.0021711808315114534,0.0002161868429416417,0.852365930599369,42,
db15k_mhyper_native,L3,5,1.0,25,0.003666865001466546,0.0008446938668280398,0.852365930599369,84,
db15k_mhyper_native,L4,5,1.0,25,0.0039002815939029427,-0.0003280945090235058,0.5766561514195584,112,"[2.079441547393799, 2.70805025100708, 3.8501474857330322]"
db15k_mhyper_native,L5,1,1.0,,,0.0026497303088604163,1.0,,
db15k_mhyper_native,L5,2,1.0,,,0.0024714965025780158,1.0,,
db15k_mhyper_native,L5,3,1.0,,,0.0015574406151245407,1.0,,
db15k_mhyper_native,L5,4,1.0,,,0.00299678770759919,1.0,,
db15k_mhyper_native,L5,5,1.0,,,0.0009520365067016589,1.0,,
db15k_mhyper_adamf,L0,1,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_adamf,L1,1,1.0,1,0.0,0.0,1.0,2,
db15k_mhyper_adamf,L2,1,1.0,25,0.0006330034644346639,0.0004203378876209159,0.8512658227848101,42,
db15k_mhyper_adamf,L3,1,1.0,25,0.001407766778908976,0.0005038117839953125,0.8512658227848101,84,
db15k_mhyper_adamf,L4,1,1.0,100,0.0002959883776329663,0.00018112414932142684,0.23132911392405064,16,"[2.1972246170043945, 2.70805025100708, 3.8501474857330322]"
db15k_mhyper_adamf,L0,2,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_adamf,L1,2,1.0,1,0.0,0.0,1.0,2,
db15k_mhyper_adamf,L2,2,1.0,25,0.0007229789892113087,-0.0011351800313308357,0.8532574320050601,42,
db15k_mhyper_adamf,L3,2,1.0,25,0.001577775153931145,-7.386604670574218e-05,0.8532574320050601,84,
db15k_mhyper_adamf,L4,2,1.0,50,0.0010563147744074859,-0.0002668399556757455,0.40227703984819735,46,"[2.079441547393799, 2.70805025100708, 3.8501474857330322]"
db15k_mhyper_adamf,L0,3,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_adamf,L1,3,1.0,1,0.0,0.0,1.0,2,
db15k_mhyper_adamf,L2,3,1.0,25,0.0008120004108512581,6.366692761271872e-05,0.8511979823455234,42,
db15k_mhyper_adamf,L3,3,1.0,25,0.0015297569420043124,8.427697084681031e-05,0.8511979823455234,84,
db15k_mhyper_adamf,L4,3,1.0,50,0.0010454310248529837,-8.241443705578519e-05,0.4010088272383354,48,"[2.079441547393799, 2.70805025100708, 3.828641414642334]"
db15k_mhyper_adamf,L0,4,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_adamf,L1,4,1.0,1,0.0,0.0,1.0,2,
