pair,label,outer_fold,inner_fold,fit_triples,heldout_triples,fit_rows,heldout_rows,anchor,random_state,n_iter,fit_triple_sha256,heldout_triple_sha256,disjoint
mkgw_native_adamf,W-NA,0,3,2842,1434,13602,8604,0.95,20260905,3,7ab600a48dcef1b9a4ee9b9fd1115d18c6bbd14c78d5beec076c35cc6a79a2b1,da04a47e67fbda4b3eb453f97262bb8857bbcc5eebdf92d7b105c38ec013ec8f,True
db15k_native_adamf,D-NA,1,1,4223,2119,20532,12714,1.0,20261003,5,31dedabfe4e53e3125a64182d4daa1e1a658d895080a4517fb07722eb4547ece,4dc94fb620464f00c056e45a4c5ca0715181399eda33f4c8079826cf94bf97e2,True
db15k_native_adamf,D-NA,1,2,4229,2113,20501,12678,1.0,20261004,5,b9905b909b25c515f10c06370706e81eba520e7d9112d87fc843cf4bd8395512,ef6323e5777b84332798912e270acac60745aacad6616190e8b9b821110b1a35,True
db15k_native_adamf,D-NA,1,3,4232,2110,20589,12660,1.0,20261005,4,4d8163fde95bfcd2f6a1f414bf63cbd4121c44a99d72b12e85f7f8716ef85a9f,6a1cb2be699fdb2d8faf2111d0ec85b7ba8ea12eeccdbec79b1f2223794e2d87,True
db15k_native_adamf,D-NA,2,1,4224,2117,20478,12702,1.0,20261103,5,bf95027ec217a8381bb260ef8139ac128cf572c2a32f7e0d318b548deaa57fb0,f0c12e05c0ac65f45749daf6b1af72333e7cb4ea11fb8cec391b1b9579d4180f,True
db15k_native_adamf,D-NA,2,2,4231,2110,20520,12660,1.0,20261104,4,d6bd30bc81153981c60c0a432c7da9079326d1b72ed4129260487b693bf20701,6d6c60b0ba28eae0da1bceef60db14813d7245369294eb56b5dd99381369fde8,True
db15k_native_adamf,D-NA,2,3,4227,2114,20634,12684,1.0,20261105,5,b76793327fad6629a42b0b816af93217c8c257f1202bb52598c73ef046615e67,0c1463694445af7dfc821792efa3a388fbf0697555a4809070a06b5c13b1f3de,True
db15k_native_adamf,D-NA,3,1,4221,2115,20491,12690,1.0,20261203,5,5fda4091d7c73a67dadc4bc595dc9f222b232f98058be9f5bdd1be6390462ffe,1d2d1066dec10c6a295bceaa552e6981b2861b61015a6eb75168cb330806f330,True
db15k_native_adamf,D-NA,3,2,4227,2109,20513,12654,1.0,20261204,3,3778943eedb4d16b4ede0e99f5c1c6011cda158b1296ec8d21ec2181d311650e,815146460e4c9cb8e10f9b99497f42cd4eff2eb06c8dd46f2f7a389d4042c294,True
db15k_native_adamf,D-NA,3,3,4224,2112,20542,12672,1.0,20261205,5,a120f731c9517276587426430be1fe3ec69cb96f8ae7623ce296d07ee99d444e,c355e8b4a4525d74d70c753c8495668f14f84584cd0b564ab58b77384778cf99,True
db15k_native_adamf,D-NA,4,1,4221,2111,20567,12666,1.0,20261303,4,0d17e7d57984aa8c1ef84cc718db91fc01c77751ae3f8adb8a8c9a98e3835753,ac8ff7ff1f9b25d576ac3c0cf5e68cc9b3bbbe605677469f8d280c416e0c6f2a,True
db15k_native_adamf,D-NA,4,2,4224,2108,20680,12648,1.0,20261304,4,75592f4a38863e589bedb7cba37162b92301ad8e6a3f0dae056b0497d2608174,ceffb1422157077c76fc2c5cdf12488694ccb6c83b3b2e5f8363d5ab96d6284a,True
db15k_native_adamf,D-NA,4,3,4219,2113,20443,12678,1.0,20261305,3,462cfe2cf5bdd1f5656ea2a678410075d38bc24f77b6cc5a68460f640d3834ee,d3ae783bbaac381f33dbbe016078fc2dd11d85379710641d3ad7d881edc63953,True
db15k_native_adamf,D-NA,5,1,4220,2117,20622,12702,1.0,20261403,5,bdd50c4f5c5c3ff78d1f8610c61dbe9d40aee1a1fb4dcdb79ff3fe6ec9b03537,4c76d9ddf6e587ee8b2b14a2416725151475c49cdbf16e1ee86521d3f8b8f62b,True
db15k_native_adamf,D-NA,5,2,4226,2111,20480,12666,1.0,20261404,3,7c7fd18d721c8befe6e9e38fec73f64d767b4cf0f631adfb6a64f63d7c5e9803,bc36cf401d731a959acc4c6f85aa97854e9a15de59fd2a5ca3bfb12eabbe19af,True
